,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85514.0,6043.0,612.0991801023489,343.1737617629013,962.1600730232208,12.741053204268827,7.143278898362671,20.02769008669841,127.41053204268827,71.4327889836267,200.2769008669841
1,2020-05-13,East Midlands,1048.0,28.0,4804149.0,88007.0,6264.0,638.3801458101934,370.40490122236815,981.1467453630853,13.28810046920263,7.710104354015002,20.422904147291966,132.88100469202632,77.10104354015002,204.22904147291962
2,2020-05-14,East Midlands,1065.0,30.0,4804149.0,88356.0,6098.0,642.7721466060308,380.9393520380997,974.7712152476306,13.379521463760405,7.929382540760074,20.290195313418266,133.79521463760403,79.29382540760075,202.9019531341827
3,2020-05-15,East Midlands,1130.0,27.0,4804149.0,88708.0,5995.0,507.91936228796914,291.87466840176467,786.0197270812163,10.572514763550613,6.0754707733204105,16.36126870921814,105.72514763550613,60.7547077332041,163.6126870921814
4,2020-05-16,East Midlands,1165.0,24.0,4804149.0,89027.0,6043.0,436.230443926688,241.4010761688677,691.199280709227,9.080285476713733,5.024845735818512,14.387548777301182,90.80285476713732,50.24845735818512,143.87548777301183
5,2020-05-17,East Midlands,1205.0,24.0,4804149.0,89327.0,5977.0,426.2976050822858,235.64502447084683,675.7372792116479,8.873530048345417,4.905031556491,14.065701942459485,88.73530048345417,49.05031556491,140.65701942459484
6,2020-05-18,East Midlands,1243.0,25.0,4804149.0,89710.0,5963.0,422.27394221648683,236.593866140182,663.7448268681602,8.789776133431472,4.924782019462384,13.816074956629373,87.89776133431472,49.24782019462386,138.1607495662937
7,2020-05-19,East Midlands,1280.0,26.0,4804149.0,89317.0,5925.0,410.154243428846,232.72769038462226,639.6003606917762,8.537500469465996,4.844306252462658,13.313499658144993,85.37500469465996,48.443062524626576,133.13499658144994
8,2020-05-20,East Midlands,1311.0,26.0,4804149.0,88795.0,5882.0,406.2164924522205,230.32549683591873,633.6011089701798,8.455534839827418,4.794303774423289,13.18862318737782,84.55534839827418,47.9430377442329,131.8862318737782
9,2020-05-21,East Midlands,1334.0,29.0,4804149.0,88402.0,5864.0,432.84561867598364,253.9021323884965,660.7426223714288,9.009829184648178,5.2850594848015024,13.753583046059324,90.09829184648176,52.85059484801502,137.53583046059327
10,2020-05-22,East Midlands,1352.0,30.0,4804149.0,88561.0,5908.0,453.29718350526355,268.50891735696683,687.5751570269313,9.435535482044033,5.589104695898625,14.312111406763847,94.35535482044031,55.89104695898625,143.12111406763844
11,2020-05-23,East Midlands,1390.0,30.0,4804149.0,89136.0,6094.0,477.90628664792473,283.12257335396174,724.8033549834927,9.94778235745654,5.893292929798008,15.087029044758868,99.4778235745654,58.93292929798009,150.8702904475887
