,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
2997,2020-05-12,London,2139.0,44.0,8908081.0,223326.0,14113.0,808.4975742827527,529.2334310878923,1145.6713886627658,9.076001602171695,5.941048707211938,12.861034701668807,90.76001602171695,59.41048707211938,128.61034701668808
2998,2020-05-13,London,2229.0,39.0,8908081.0,224850.0,14290.0,689.5575745738736,438.44023189900713,996.7824481204983,7.740809435543678,4.9218258331845774,11.189642843621412,77.40809435543676,49.21825833184578,111.89642843621412
2999,2020-05-14,London,2283.0,38.0,8908081.0,223364.0,14164.0,645.2658073645757,407.5869547177337,937.2233740165456,7.2436005842849385,4.575474276869885,10.521046833953863,72.43600584284941,45.754742768698854,105.21046833953864
3000,2020-05-15,London,2378.0,39.0,8908081.0,222783.0,13966.0,596.9951565469203,379.56685448953317,863.2546334424871,6.701725731354713,4.2609272916302965,9.690691333436318,67.01725731354713,42.60927291630297,96.90691333436315
3001,2020-05-16,London,2451.0,41.0,8908081.0,222413.0,14154.0,611.3742098461793,393.51220649240616,876.7953056770098,6.8631415660250426,4.417474498631144,9.84269570154346,68.63141566025043,44.174744986311424,98.4269570154346
3002,2020-05-17,London,2492.0,37.0,8908081.0,221945.0,13956.0,550.4526615761337,345.2246451430652,803.6337243116435,6.179250745206894,3.8754098120915734,9.021401178454076,61.79250745206894,38.75409812091574,90.21401178454073
3003,2020-05-18,London,2546.0,39.0,8908081.0,221743.0,14029.0,564.3436138419349,358.68097135628625,816.1983022283567,6.3351872736893045,4.026467331811265,9.162448143751238,63.35187273689304,40.26467331811265,91.62448143751236
3004,2020-05-19,London,2636.0,39.0,8908081.0,219951.0,13909.0,525.3506981758726,333.81738176870726,760.0972270012725,5.8974620704040825,3.7473545847720433,8.532670807565314,58.974620704040824,37.47354584772043,85.32670807565314
3005,2020-05-20,London,2614.0,33.0,8908081.0,217969.0,13752.0,455.2884091970794,276.88611246536544,679.2253699363996,5.110959466994962,3.1082576872096856,7.624822562080427,51.109594669949615,31.082576872096855,76.24822562080426
3006,2020-05-21,London,2670.0,32.0,8908081.0,216728.0,13530.0,415.86168774736524,250.64601441596474,623.6563564411157,4.668364463091043,2.8136925833517314,7.0010180244332725,46.683644630910436,28.136925833517317,70.01018024433273
3007,2020-05-22,London,2716.0,30.0,8908081.0,216785.0,13681.0,395.9235862198663,234.22829556016305,600.3330812007765,4.4445440743058615,2.6293911737013063,6.7391964801484905,44.445440743058604,26.293911737013058,67.39196480148492
3008,2020-05-23,London,2786.0,28.0,8908081.0,216994.0,13833.0,385.1905825517636,223.30225853344746,595.0111770604448,4.324057926188183,2.5067380789807303,6.679454049199201,43.24057926188183,25.067380789807306,66.79454049199201
