,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
7238,2020-05-12,Scotland,394.0,27.0,5438100.0,108083.0,7360.0,1779.0135233209787,1033.5097277589605,2719.0898118652185,32.71388027658518,19.004978351978824,50.0007320914514,327.13880276585184,190.04978351978824,500.007320914514
7239,2020-05-13,Scotland,407.0,24.0,5438100.0,110229.0,7364.0,1498.524287544105,837.2028791343747,2347.46659960621,27.55602669211866,15.395135785189213,43.16703627381273,275.5602669211866,153.95135785189208,431.6703627381272
7240,2020-05-14,Scotland,397.0,19.0,5438100.0,110021.0,7174.0,1176.7406119456948,599.6218422954644,1937.4166583694323,21.63881892472913,11.02631143773495,35.62671996413145,216.3881892472913,110.26311437734951,356.26719964131445
7241,2020-05-15,Scotland,398.0,21.0,5438100.0,109952.0,7061.0,1210.744058036861,642.9257002278325,1956.5392231014398,22.264100660834867,11.822616359166483,35.978360513808866,222.6410066083487,118.22616359166484,359.78360513808866
7242,2020-05-16,Scotland,349.0,19.0,5438100.0,109926.0,7044.0,1236.388711897316,631.8164877411648,2033.3626073711666,22.735674443230465,11.618331544862446,37.3910484796375,227.35674443230462,116.18331544862448,373.910484796375
7243,2020-05-17,Scotland,354.0,21.0,5438100.0,109854.0,7054.0,1380.5250758756556,736.4009806475342,2226.6950309167732,25.386165680580632,13.541512304803774,40.94619501143366,253.86165680580632,135.41512304803774,409.46195011433656
7244,2020-05-18,Scotland,364.0,21.0,5438100.0,109775.0,7076.0,1332.0105126181475,709.6601895343038,2149.113960970316,24.49404226877306,13.049781900559086,39.519574133802536,244.9404226877306,130.49781900559086,395.19574133802536
7245,2020-05-19,Scotland,388.0,22.0,5438100.0,109049.0,7134.0,1280.0069223710275,692.600556191176,2046.12159962276,23.53775992296993,12.736076133046026,37.625670723649066,235.37759922969929,127.36076133046026,376.2567072364907
7246,2020-05-20,Scotland,403.0,20.0,5438100.0,108086.0,7091.0,1144.237302315036,595.1367791120216,1861.7496394243435,21.041122861202183,10.943836617789698,34.235296140643676,210.41122861202183,109.43836617789698,342.3529614064367
7247,2020-05-21,Scotland,412.0,21.0,5438100.0,107313.0,7016.0,1136.7596648500635,603.3624923545952,1837.5314492867305,20.903618264652426,11.095097411864351,33.789953279394105,209.03618264652428,110.95097411864351,337.899532793941
7248,2020-05-22,Scotland,419.0,22.0,5438100.0,107203.0,6998.0,1192.5088462258575,643.6462236376739,1908.3123089589994,21.928777444803465,11.835865902386384,35.09152661699857,219.2877744480347,118.35865902386381,350.91526616998567
7249,2020-05-23,Scotland,439.0,20.0,5438100.0,107214.0,7044.0,1104.367144949602,573.3738535891661,1802.8537955714348,20.30795948860084,10.543643066312978,33.15227369065363,203.0795948860084,105.43643066312977,331.52273690653635
