,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
10971,2020-05-12,South West,1576.0,25.0,5599735.0,159005.0,10906.0,428.36742415080704,239.308106669142,675.9826247890443,7.6497802869387055,4.273561278688045,12.071689549399107,76.49780286938704,42.73561278688045,120.71689549399107
10972,2020-05-13,South West,1693.0,25.0,5599735.0,164540.0,11407.0,401.2963231603341,223.93098415371261,632.4734587309051,7.166344892398195,3.998956810522509,11.294703387408605,71.66344892398195,39.989568105225096,112.94703387408606
10973,2020-05-14,South West,1775.0,22.0,5599735.0,165557.0,11253.0,326.34990720239483,174.38690408658215,527.9095371543153,5.8279527013759544,3.1141992270452468,9.4274021387497,58.279527013759534,31.14199227045247,94.274021387497
10974,2020-05-15,South West,1954.0,22.0,5599735.0,166669.0,11134.0,276.95254013231306,147.91041722619195,447.920332726663,4.945815116828084,2.6413824444583893,7.998955892138878,49.45815116828084,26.41382444458389,79.98955892138878
10975,2020-05-16,South West,2031.0,23.0,5599735.0,167209.0,11178.0,275.5794859186395,149.4829185980859,441.5120404582645,4.921295131263166,2.6694641549660103,7.884516686205053,49.212951312631674,26.6946415496601,78.84516686205052
10976,2020-05-17,South West,2067.0,23.0,5599735.0,167588.0,10830.0,268.3894896344896,145.5461646452626,430.0106024828629,4.792896264456972,2.599161650422075,7.679124145747306,47.928962644569715,25.991616504220747,76.79124145747306
10977,2020-05-18,South West,2124.0,21.0,5599735.0,167900.0,10734.0,233.6305172281325,122.56018532941977,381.6158875562202,4.172170955020774,2.1886783094096374,6.8148919110675825,41.72170955020773,21.88678309409637,68.14891911067582
10978,2020-05-19,South West,2153.0,24.0,5599735.0,167026.0,10560.0,250.38810104516156,138.19928009924672,398.4935914269457,4.471427684437952,2.467961074930273,7.116293742952938,44.71427684437952,24.679610749302732,71.16293742952936
10979,2020-05-20,South West,2176.0,22.0,5599735.0,165931.0,10425.0,229.69533502085707,122.48692413202656,371.59050576246085,4.10189651868985,2.187370011831391,6.635858764074744,41.018965186898505,21.873700118313913,66.35858764074744
10980,2020-05-21,South West,2210.0,22.0,5599735.0,165033.0,10275.0,217.86096055875782,116.14697726947055,352.45358715744,3.8905584024736486,2.0741513173296693,6.294111902749684,38.90558402473649,20.74151317329669,62.941119027496846
10981,2020-05-22,South West,2224.0,20.0,5599735.0,164922.0,10329.0,202.8400856234913,103.69208558046695,335.1399531307227,3.6223157992921315,1.8517320119696192,5.984925235403509,36.22315799292132,18.51732011969619,59.849252354035094
10982,2020-05-23,South West,2249.0,21.0,5599735.0,165712.0,10505.0,225.10719893853488,118.01384259848055,367.7283310397937,4.0199616399443,2.10748977582833,6.566888094522217,40.199616399443,21.0748977582833,65.66888094522217
10983,2020-05-24,South West,2235.0,22.0,5599735.0,165034.0,10355.0,255.91122304422717,136.4085737837367,414.0563480696647,4.570059530392548,2.435982663174894,7.394213263121643,45.700595303925475,24.35982663174895,73.94213263121642
10984,2020-05-25,South West,2182.0,16.0,5599735.0,164516.0,10106.0,190.41309920855133,89.0524482342235,331.1463359005155,3.4003948259792884,1.5902975450485335,5.913607267138811,34.003948259792885,15.902975450485338,59.13607267138811
10985,2020-05-26,South West,2068.0,14.0,5599735.0,163462.0,9797.0,173.90073920547982,76.69397315310613,312.5496981292112,3.1055173004701087,1.369600046307658,5.581508734417097,31.05517300470109,13.69600046307658,55.81508734417098
10986,2020-05-27,South West,1945.0,12.0,5599735.0,162785.0,9380.0,147.69620383855658,61.19038287312889,274.57952810854334,2.637557024369128,1.0927371183302226,4.903437896767317,26.375570243691286,10.927371183302226,49.034378967673156
10987,2020-05-28,South West,1855.0,13.0,5599735.0,162089.0,9022.0,165.31319467884504,70.61416774539951,301.4974303833901,2.9521610340283067,1.261026954764815,5.384137470494409,29.52161034028307,12.610269547648151,53.841374704944094
10988,2020-05-29,South West,1764.0,13.0,5599735.0,161350.0,8714.0,175.56111365444818,75.02409482514466,320.31895025012267,3.1351682473268494,1.3397793792946393,5.7202519449602995,31.351682473268493,13.397793792946391,57.202519449603
10989,2020-05-30,South West,1672.0,11.0,5599735.0,162450.0,8426.0,156.61711288512086,62.11281413476928,297.78439705423364,2.7968665103816672,1.1092098846600644,5.317830166145964,27.96866510381668,11.092098846600647,53.178301661459635
10990,2020-05-31,South West,1611.0,11.0,5599735.0,161752.0,8254.0,160.3585743101644,63.59826141635715,305.06340679084013,2.8636814833231288,1.1357369842743834,5.447818634111082,28.636814833231288,11.357369842743836,54.47818634111081
10991,2020-06-01,South West,1551.0,11.0,5599735.0,161148.0,7986.0,166.5644595029691,66.06307050691912,317.1083817064232,2.9745061061455425,1.1797535152452592,5.662917650682099,29.74506106145543,11.797535152452593,56.629176506820976
10992,2020-06-02,South West,1448.0,8.0,5599735.0,160215.0,7728.0,129.08932285030969,42.32552316527524,267.6731573467911,2.305275568402964,0.7558486815050219,4.780104011114652,23.05275568402964,7.55848681505022,47.80104011114653
10993,2020-06-03,South West,1448.0,9.0,5599735.0,159253.0,7670.0,145.3594449924914,51.14325863692385,292.6391311597578,2.5958272131179667,0.9133156950627817,5.225946069943627,25.958272131179672,9.133156950627816,52.25946069943628
10994,2020-06-04,South West,1459.0,10.0,5599735.0,158483.0,7763.0,169.33309274995474,63.3018970291193,330.1011113635733,3.0239483252324395,1.1304445126263885,5.894941659981647,30.239483252324394,11.304445126263886,58.94941659981647
10995,2020-06-05,South West,1482.0,6.0,5599735.0,157760.0,7708.0,96.64304403750288,26.392996975218786,221.5285832445884,1.7258503132291594,0.4713258212258042,3.956054764102022,17.258503132291597,4.713258212258042,39.560547641020214
10996,2020-06-06,South West,1557.0,6.0,5599735.0,157851.0,7926.0,88.17929126277664,24.099349353174357,202.4171491846716,1.5747047183978642,0.4303658896925365,3.6147630054756448,15.747047183978644,4.3036588969253655,36.147630054756455
10997,2020-06-07,South West,1578.0,6.0,5599735.0,157271.0,8020.0,96.17423655854057,26.290366098395605,220.8602729318064,1.7174783549318065,0.4694930402670056,3.944120086607784,17.174783549318065,4.694930402670057,39.44120086607784
10998,2020-06-08,South West,1677.0,7.0,5599735.0,156592.0,8182.0,110.87550822783899,34.03434226253396,241.2490017957465,1.9800134868496275,0.6077848730794218,4.308221760418064,19.800134868496283,6.0778487307942175,43.08221760418064
10999,2020-06-09,South West,1786.0,6.0,5599735.0,155795.0,8276.0,90.83898532860252,24.84589009735255,208.73664963117298,1.6222015029033072,0.44369760528583135,3.7276165681264017,16.222015029033074,4.436976052858314,37.276165681264025
11000,2020-06-10,South West,1846.0,7.0,5599735.0,155080.0,8529.0,111.48811570783542,34.246595096835925,242.27189095853143,1.9909534238287243,0.6115752816309329,4.3264885027332785,19.909534238287247,6.115752816309329,43.264885027332795
11001,2020-06-11,South West,1949.0,3.0,5599735.0,154509.0,8812.0,49.336853485664285,6.634664848369683,139.705913336175,0.8810569336881885,0.11848176473296827,2.4948665130791903,8.810569336881885,1.1848176473296828,24.94866513079191
11002,2020-06-12,South West,2052.0,3.0,5599735.0,153677.0,8969.0,47.324777133008496,6.36394942182471,134.03157118453936,0.8451252984830264,0.11364733191525513,2.3935341794663385,8.451252984830266,1.1364733191525511,23.935341794663387
