,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
11374,2020-05-12,Wales,249.0,34.0,3138631.0,90225.0,6675.0,2212.7151432559017,1400.0495491172296,3198.0742011919897,70.49937196363324,44.607013348088046,101.89392130492529,704.9937196363326,446.0701334808805,1018.9392130492528
11375,2020-05-13,Wales,255.0,35.0,3138631.0,92028.0,6740.0,2191.554294236324,1396.5652788378036,3151.9273457175905,69.82516562910146,44.49600092644862,100.42363520011084,698.2516562910147,444.9600092644863,1004.2363520011083
11376,2020-05-14,Wales,240.0,34.0,3138631.0,92197.0,6544.0,2160.767122416463,1367.356491708362,3119.193546526751,68.8442547854929,43.565379036540506,99.38070281363916,688.4425478549288,435.65379036540514,993.8070281363914
11377,2020-05-15,Wales,236.0,28.0,3138631.0,92127.0,6392.0,1684.587103398297,1004.8100116278032,2522.3239697211684,53.67267140986936,32.014276658447685,80.36382644921204,536.7267140986935,320.1427665844769,803.6382644921205
11378,2020-05-16,Wales,239.0,32.0,3138631.0,92299.0,6402.0,1877.931049844147,1167.6788268079467,2744.2262392585103,59.83280767456088,37.203444011352296,87.43386015299377,598.3280767456089,372.03444011352303,874.3386015299377
11379,2020-05-17,Wales,245.0,34.0,3138631.0,92453.0,6292.0,1956.6685132626956,1237.7760164098918,2827.423804970447,62.34146394599097,39.43681230478804,90.08461985402066,623.4146394599096,394.3681230478803,900.8461985402066
11380,2020-05-18,Wales,246.0,33.0,3138631.0,92602.0,6337.0,1880.2767182473885,1178.703135014794,2734.017592921301,59.90754307363271,37.55468976808022,87.10860221928931,599.075430736327,375.5468976808023,871.0860221928929
11381,2020-05-19,Wales,252.0,35.0,3138631.0,92401.0,6327.0,1876.8519275502858,1195.7839978693492,2699.303093783544,59.79842573243832,38.098903562392294,86.00256270276894,597.9842573243833,380.98903562392303,860.0256270276892
11382,2020-05-20,Wales,262.0,34.0,3138631.0,91859.0,6270.0,1776.76358090435,1121.4376663210935,2572.7242575015825,56.6095084418764,35.730153252201156,81.96963126603869,566.095084418764,357.30153252201166,819.6963126603869
11383,2020-05-21,Wales,283.0,38.0,3138631.0,91739.0,6230.0,1775.899978237447,1152.7695674132706,2524.0566402817362,56.58199317592437,36.72841972864189,80.41903110884127,565.8199317592438,367.2841972864188,804.1903110884127
11384,2020-05-22,Wales,299.0,36.0,3138631.0,91981.0,6352.0,1654.594979263675,1054.9781898100416,2382.475614266566,52.71709160024466,33.612686225620074,75.90811453358378,527.1709160024466,336.12686225620075,759.0811453358377
11385,2020-05-23,Wales,324.0,35.0,3138631.0,92771.0,6611.0,1621.3272900003094,1020.3849580904438,2353.053536042211,51.657148928953724,32.510510413312176,74.9706969708198,516.5714892895372,325.1051041331217,749.7069697081979
11386,2020-05-24,Wales,333.0,27.0,3138631.0,92938.0,6578.0,1322.6781702214928,770.3414684239806,2014.405488833686,42.14188192946201,24.54386859825129,64.18102315416137,421.4188192946201,245.43868598251288,641.8102315416136
11387,2020-05-25,Wales,336.0,24.0,3138631.0,92748.0,6405.0,1153.0625932066155,646.0805720088454,1801.0499568853759,36.737755830698646,20.584789101007587,57.38329726831145,367.37755830698654,205.84789101007587,573.8329726831145
11388,2020-05-26,Wales,332.0,21.0,3138631.0,92532.0,6312.0,1020.9060685035596,544.6032902373845,1645.9412446607016,32.52711352508656,17.351618914022847,52.4413747478025,325.27113525086565,173.51618914022845,524.413747478025
11389,2020-05-27,Wales,337.0,24.0,3138631.0,92249.0,6027.0,1057.3538037084295,592.0384372201519,1652.3786679781815,33.68837571885416,18.862951306482085,52.646477651504156,336.88375718854167,188.6295130648209,526.4647765150416
11390,2020-05-28,Wales,330.0,22.0,3138631.0,92037.0,5812.0,981.3437222051964,533.476516086893,1565.7998221881437,31.26661663015488,16.99710848732753,49.88798690219218,312.66616630154886,169.97108487327532,498.8798690219218
11391,2020-05-29,Wales,308.0,18.0,3138631.0,91730.0,5639.0,875.5725378330674,438.33623988284165,1457.343987785492,27.89663830609802,13.965841791623216,46.43247287704391,278.9663830609802,139.65841791623214,464.32472877043915
11392,2020-05-30,Wales,299.0,18.0,3138631.0,92238.0,5489.0,902.528150132798,452.420285572548,1502.996814786615,28.75547173697061,14.414573920048198,47.88701872843972,287.5547173697061,144.145739200482,478.8701872843973
11393,2020-05-31,Wales,279.0,16.0,3138631.0,91766.0,5295.0,838.4446067700895,399.7029332566348,1433.9268337337155,26.71370437525436,12.73494505268809,45.68637835201766,267.1370437525436,127.34945052688091,456.86378352017664
11394,2020-06-01,Wales,265.0,18.0,3138631.0,91090.0,4971.0,963.8657997804773,484.9749314452673,1608.1158918394626,30.70975211104705,15.451798298215602,51.236220245051506,307.0975211104705,154.51798298215598,512.3622024505149
11395,2020-06-02,Wales,259.0,17.0,3138631.0,90519.0,4680.0,889.247606037659,436.4851027102024,1502.638606306303,28.33233999274394,13.906862664333667,47.875605839179656,283.32339992743937,139.0686266433367,478.75605839179667
11396,2020-06-03,Wales,254.0,16.0,3138631.0,89982.0,4581.0,849.4355463092162,406.18590936580864,1453.0713001783133,27.063886972033863,12.941499315013733,46.29634067140461,270.6388697203386,129.4149931501373,462.9634067140461
11397,2020-06-04,Wales,245.0,14.0,3138631.0,89535.0,4553.0,806.9179373231102,364.4783960648037,1426.141703040305,25.709232379439005,11.61265520109894,45.43833611024377,257.09232379439004,116.1265520109894,454.3833611024377
11398,2020-06-05,Wales,240.0,14.0,3138631.0,88849.0,4405.0,752.795369938491,340.4232152078356,1329.5612586498464,23.9848319199833,10.846232488235652,42.361184180295375,239.84831919983296,108.46232488235655,423.61184180295373
11399,2020-06-06,Wales,242.0,13.0,3138631.0,88520.0,4442.0,655.7390277968296,286.34179424801874,1182.93887931149,20.892517400001136,9.123142996039316,37.68964492198955,208.92517400001137,91.23142996039316,376.8964492198955
11400,2020-06-07,Wales,246.0,12.0,3138631.0,88115.0,4461.0,656.4097558756001,279.01831720981465,1212.1142552028275,20.913887483925322,8.88980951280398,38.61920229561321,209.1388748392532,88.8980951280398,386.19202295613206
11401,2020-06-08,Wales,257.0,11.0,3138631.0,87866.0,4583.0,618.4360488354646,249.2369801409274,1172.5876646406834,19.704006263732964,7.9409455950995,37.35984461507848,197.04006263732964,79.409455950995,373.5984461507848
11402,2020-06-09,Wales,269.0,13.0,3138631.0,87643.0,4650.0,696.1557902279019,305.14426030004535,1259.7101781355818,22.18023686849145,9.722208832451008,40.13565717459561,221.80236868491448,97.22208832451008,401.35657174595605
11403,2020-06-10,Wales,266.0,10.0,3138631.0,87128.0,4731.0,595.9690537617081,229.0318730649919,1146.6785545827283,18.988184777430288,7.297190178297224,36.53435381804132,189.8818477743029,72.97190178297222,365.3435381804132
11404,2020-06-11,Wales,293.0,12.0,3138631.0,86759.0,4871.0,642.9149915748038,270.83564471350394,1192.3190419705675,20.483930464422354,8.629101181805185,37.98850651671279,204.83930464422355,86.29101181805186,379.88506516712783
11405,2020-06-12,Wales,316.0,11.0,3138631.0,86247.0,4948.0,553.1511528516739,222.00551633584732,1052.540420823582,17.623962576412264,7.0733232525851975,33.53501640758605,176.2396257641227,70.73323252585199,335.35016407586045
11406,2020-06-13,Wales,340.0,12.0,3138631.0,86016.0,5040.0,556.2833008432294,233.79480722047836,1035.0511016684875,17.723756021119698,7.448942141350107,32.977788776969554,177.237560211197,74.48942141350109,329.7778877696956
11407,2020-06-14,Wales,340.0,16.0,3138631.0,85542.0,5076.0,696.6465493606555,330.9775919623012,1193.9193818475635,22.195872957370767,10.545285252146595,38.03949498515637,221.9587295737076,105.45285252146593,380.3949498515637
11408,2020-06-15,Wales,345.0,15.0,3138631.0,85080.0,5173.0,648.1417901698661,299.45575433685735,1132.2322392900355,20.65046162386933,9.540967203116818,36.07407940882619,206.50461623869327,95.40967203116816,360.74079408826185
11409,2020-06-16,Wales,342.0,14.0,3138631.0,84736.0,5246.0,636.6858333495122,285.7395251012768,1133.157708135868,20.285463099979328,9.103954083843462,36.10356579463684,202.85463099979333,91.0395408384346,361.0356579463684
11410,2020-06-17,Wales,344.0,14.0,3138631.0,84486.0,5237.0,661.1349341268677,296.693295175152,1177.0321693120616,21.064436505179092,9.452952423370316,37.50145108845422,210.64436505179097,94.52952423370316,375.0145108845422
11411,2020-06-18,Wales,340.0,12.0,3138631.0,84260.0,5187.0,577.1647283920901,242.62760936040613,1073.6690555955051,18.38905970125478,7.730364269020669,34.208196363175695,183.8905970125478,77.30364269020667,342.081963631757
11412,2020-06-19,Wales,323.0,13.0,3138631.0,83857.0,5042.0,620.4754169919097,270.9000276958257,1127.7684057106815,19.76898262305794,8.631152489598989,35.93185709663486,197.68982623057946,86.31152489598989,359.31857096634866
11413,2020-06-20,Wales,313.0,11.0,3138631.0,84076.0,4820.0,554.0014756758601,222.4357921706393,1054.038576234836,17.6510547329667,7.0870322816106555,33.58274917423666,176.51054732966702,70.87032281610655,335.82749174236665
11414,2020-06-21,Wales,313.0,13.0,3138631.0,84003.0,4677.0,562.1456109598577,245.87666167487083,1020.2522214733381,17.910535228889845,7.833882405254737,32.50628128866815,179.10535228889842,78.33882405254738,325.06281288668146
11415,2020-06-22,Wales,314.0,12.0,3138631.0,87095.0,4819.0,505.30001051529365,212.65628866009732,937.5315612613297,16.099376145691974,6.7754472781316855,29.870716285582137,160.99376145691974,67.75447278131685,298.70716285582137
11416,2020-06-23,Wales,309.0,8.0,3138631.0,87438.0,4714.0,350.0050099133065,117.32911438833521,728.8836732255501,11.151518286581204,3.738225818464649,23.222980758985372,111.51518286581205,37.38225818464649,232.2298075898537
11417,2020-06-24,Wales,305.0,8.0,3138631.0,87535.0,4548.0,337.15112751374147,113.02509223687208,702.1828607437201,10.741980421200884,3.6010952621340984,22.372265511419478,107.41980421200884,36.010952621340984,223.72265511419477
11418,2020-06-25,Wales,288.0,6.0,3138631.0,87236.0,4277.0,254.10003768587242,69.99847291822715,581.0774342594402,8.095887591942871,2.230223078731688,18.51372251976866,80.95887591942869,22.30223078731688,185.13722519768658
11419,2020-06-26,Wales,288.0,7.0,3138631.0,86783.0,4136.0,302.9356940023972,92.95413088174796,657.658444498198,9.651841646960003,2.961613865463891,20.953671983046046,96.51841646960006,29.61613865463891,209.53671983046047
11420,2020-06-27,Wales,271.0,4.0,3138631.0,86300.0,4054.0,207.5319723543413,40.247787894801284,542.6038341062393,6.612181309441643,1.282335766606565,17.28791419272413,66.12181309441642,12.823357666065647,172.87914192724133
11421,2020-06-28,Wales,265.0,3.0,3138631.0,85976.0,4012.0,174.38563628066032,23.59359219567695,496.3579951632553,5.556105075131812,0.7517160250974693,15.814474373166366,55.5610507513181,7.517160250974692,158.14474373166362
11422,2020-06-29,Wales,251.0,5.0,3138631.0,85574.0,4013.0,256.22969272804613,61.435339057192,621.9462071551765,8.163740583969448,1.9573928587716107,19.815843504864908,81.63740583969447,19.57392858771611,198.1584350486491
11423,2020-06-30,Wales,253.0,5.0,3138631.0,85048.0,3999.0,258.07118574432144,61.88412047085498,626.3781250795063,8.222412438554308,1.9716914945036537,19.957048951581317,82.22412438554308,19.71691494503654,199.57048951581316
11424,2020-07-01,Wales,251.0,5.0,3138631.0,84370.0,3970.0,246.26677900737263,59.04812290238874,597.7386327081031,7.846311943244448,1.881333705758617,19.04456537605418,78.46311943244449,18.81333705758617,190.4456537605418
11425,2020-07-02,Wales,242.0,5.0,3138631.0,83623.0,3874.0,233.83261246688042,56.09594874568101,567.6264949786304,7.450146655241741,1.7872744118592154,18.08516181031253,74.5014665524174,17.872744118592156,180.8516181031253
11426,2020-07-03,Wales,240.0,5.0,3138631.0,83367.0,3910.0,239.25753859442705,57.447250625579464,580.8368123546023,7.62299036090662,1.8303282745113858,18.506056059301084,76.2299036090662,18.303282745113854,185.06056059301088
11427,2020-07-04,Wales,251.0,4.0,3138631.0,83685.0,4020.0,187.5160967716673,36.4048682721316,489.53996946318046,5.974455001931328,1.1598964093622854,15.597245087529574,59.74455001931328,11.598964093622856,155.97245087529578
