,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
12408,2020-05-12,West Midlands,889.0,18.0,5900757.0,83544.0,5956.0,603.7117300278029,296.96507280735733,1022.8074232880684,10.231089503055337,5.0326606028236265,17.333495063227794,102.31089503055335,50.32660602823628,173.3349506322779
12409,2020-05-13,West Midlands,927.0,20.0,5900757.0,86095.0,6175.0,642.7006849880459,329.15655746556234,1063.1324992513323,10.891834471205065,5.5782089902289185,18.016883244833373,108.91834471205065,55.7820899022892,180.1688324483337
12410,2020-05-14,West Midlands,912.0,22.0,5900757.0,86242.0,5964.0,681.1201095730813,366.6552352211805,1098.4841702861672,11.542927620525322,6.213698263141161,18.615987241741482,115.42927620525322,62.13698263141161,186.15987241741482
12411,2020-05-15,West Midlands,983.0,22.0,5900757.0,86624.0,5944.0,595.8130147328051,320.50445854672637,962.8452756990132,10.097230147467604,5.43158205882273,16.317317857675096,100.97230147467606,54.315820588227304,163.17317857675096
12412,2020-05-16,West Midlands,1024.0,22.0,5900757.0,86874.0,5910.0,561.1754279741771,301.6053652794971,907.3662995783077,9.510227721191992,5.111299537999907,15.377116861079138,95.10227721191991,51.11299537999906,153.7711686107914
12413,2020-05-17,West Midlands,1055.0,21.0,5900757.0,87217.0,5755.0,517.5861316306507,273.1669012878309,845.6319417934076,8.771520868096257,4.62935350986036,14.330906048044472,87.71520868096258,46.29353509860361,143.30906048044474
12414,2020-05-18,West Midlands,1056.0,22.0,5900757.0,87548.0,5775.0,534.6409898419585,287.1277136853888,864.4226249611736,9.060549177706495,4.86594709264233,14.649351345279488,90.60549177706496,48.65947092642329,146.49351345279487
12415,2020-05-19,West Midlands,1093.0,24.0,5900757.0,87228.0,5760.0,542.7437066413378,300.65689734985983,859.7600980408037,9.19786574233336,5.0952258727119215,14.57033560339468,91.97865742333363,50.952258727119215,145.70335603394682
12416,2020-05-20,West Midlands,1117.0,23.0,5900757.0,86558.0,5702.0,516.3633850388819,282.327976519366,826.5755778988388,8.75079900831168,4.784606051721262,14.007958265335088,87.50799008311678,47.84606051721262,140.07958265335085
12417,2020-05-21,West Midlands,1168.0,23.0,5900757.0,86151.0,5613.0,474.7489725820098,259.4180716098937,760.2511983083502,8.045560469309446,4.396352393597867,12.883960453012222,80.45560469309443,43.963523935978664,128.83960453012222
12418,2020-05-22,West Midlands,1180.0,20.0,5900757.0,86274.0,5685.0,423.4305739536664,216.4168672683229,701.5078253346902,7.175868688604977,3.667611922814699,11.888437794247253,71.75868688604977,36.676119228146995,118.88437794247251
12419,2020-05-23,West Midlands,1210.0,19.0,5900757.0,86842.0,5816.0,422.2481981742495,211.46163719647342,707.3643273142769,7.155830992095583,3.5836357470147213,11.987687805382887,71.55830992095581,35.836357470147206,119.87687805382885
12420,2020-05-24,West Midlands,1171.0,20.0,5900757.0,86494.0,5726.0,494.4600538111002,252.78340037382895,819.2178449956482,8.379603732387219,4.2839147650687694,13.88326692652567,83.7960373238722,42.83914765068771,138.8326692652567
12421,2020-05-25,West Midlands,1159.0,17.0,5900757.0,86313.0,5568.0,420.5134488728056,201.21535213496918,722.5643693737669,7.126432233572839,3.4099921778675037,12.245282586179485,71.26432233572838,34.09992177867505,122.45282586179485
12422,2020-05-26,West Midlands,1110.0,17.0,5900757.0,85901.0,5389.0,430.818296124475,206.32181922252911,740.4551600607114,7.3010682548777215,3.496531364069544,12.548477425196655,73.0106825487772,34.96531364069544,125.48477425196657
12423,2020-05-27,West Midlands,1039.0,16.0,5900757.0,85502.0,5101.0,397.5556516795397,185.43982415297387,693.1644351784457,6.7373669459620125,3.1426446497114497,11.74704254349816,67.37366945962013,31.426446497114497,117.47042543498159
12424,2020-05-28,West Midlands,995.0,18.0,5900757.0,85076.0,4988.0,468.24073970617303,229.86621999769267,794.3703232150133,7.935265588909576,3.8955378097707234,13.462176517606355,79.35265588909576,38.955378097707246,134.62176517606358
12425,2020-05-29,West Midlands,975.0,16.0,5900757.0,84838.0,4767.0,424.93250089941176,198.29960983282447,741.1324448630037,7.201321811750794,3.360579156756065,12.55995535594846,72.01321811750793,33.60579156756065,125.59955355948459
12426,2020-05-30,West Midlands,912.0,15.0,5900757.0,85461.0,4617.0,424.22239740698495,192.37981669987363,754.0279560913114,7.189287703374076,3.260256551826717,12.778495303082492,71.89287703374075,32.60256551826718,127.78495303082492
12427,2020-05-31,West Midlands,861.0,14.0,5900757.0,85066.0,4481.0,411.0399211990274,181.46935402584415,740.6331808716224,6.965884566997548,3.075357179186402,12.551494339990995,69.65884566997546,30.753571791864022,125.51494339990994
12428,2020-06-01,West Midlands,816.0,15.0,5900757.0,84847.0,4229.0,451.6295061807203,204.94009028496723,801.3451729575435,7.653755377161274,3.4731152339431586,13.580379143854652,76.53755377161275,34.731152339431574,135.8037914385465
12429,2020-06-02,West Midlands,741.0,12.0,5900757.0,84376.0,4027.0,386.545362600681,159.90461778342944,721.2578187457353,6.5507758174193755,2.7099000650836738,12.223140501222732,65.50775817419375,27.09900065083674,122.23140501222731
12430,2020-06-03,West Midlands,738.0,12.0,5900757.0,83820.0,4006.0,392.21494326381736,162.25017345847368,731.8956749237013,6.646858077087692,2.7496501458791425,12.403420017528283,66.46858077087693,27.49650145879143,124.03420017528282
12431,2020-06-04,West Midlands,765.0,11.0,5900757.0,83432.0,4106.0,374.1826574866894,148.1981740249856,713.6605562709866,6.341265323867588,2.5115112183908885,12.094389859995706,63.41265323867587,25.115112183908888,120.94389859995701
12432,2020-06-05,West Midlands,789.0,11.0,5900757.0,82999.0,4098.0,341.227700625296,135.18330555860837,650.5366744909553,5.7827783897099305,2.290948526750184,11.024630814164276,57.827783897099316,22.909485267501847,110.24630814164276
12433,2020-06-06,West Midlands,809.0,9.0,5900757.0,83133.0,4162.0,260.042974075519,91.98857578669737,526.1336415538185,4.406942602034263,1.5589283847258473,8.916375332077196,44.06942602034264,15.589283847258473,89.16375332077197
12434,2020-06-07,West Midlands,846.0,11.0,5900757.0,82805.0,4225.0,333.8207166212007,132.27401795834157,635.5215349254531,5.657252393569176,2.2416448933304927,10.770169571894813,56.572523935691756,22.416448933304924,107.70169571894812
12435,2020-06-08,West Midlands,888.0,13.0,5900757.0,82423.0,4322.0,398.5315162622533,171.62046436423088,727.667996238692,6.7539049017313095,2.9084482612015856,12.331773639190564,67.53904901731309,29.084482612015858,123.31773639190568
12436,2020-06-09,West Midlands,930.0,13.0,5900757.0,81964.0,4344.0,379.6700921618862,163.2552924541973,693.6218530258186,6.434260759456563,2.76668387554677,11.754794393767083,64.34260759456562,27.6668387554677,117.54794393767081
12437,2020-06-10,West Midlands,959.0,12.0,5900757.0,81644.0,4432.0,371.4507602510952,153.67758557383763,693.7558307708489,6.294967921083604,2.6043706862329303,11.757064911685891,62.94967921083604,26.043706862329298,117.57064911685889
12438,2020-06-11,West Midlands,1005.0,12.0,5900757.0,81593.0,4548.0,351.1625825002658,145.29208554085227,655.6433296976854,5.951144615856336,2.462261800322437,11.111173188417784,59.511446158563345,24.62261800322437,111.11173188417784
12439,2020-06-12,West Midlands,1055.0,11.0,5900757.0,81090.0,4687.0,314.6853271359228,124.75942419596191,599.18631020235,5.3329653659000495,2.114295236966408,10.154397312113511,53.3296536590005,21.142952369664076,101.54397312113514
12440,2020-06-13,West Midlands,1117.0,12.0,5900757.0,81334.0,4818.0,322.9107928921853,133.62410293500756,602.4303499388371,5.472362154418244,2.264524753942716,10.209373982674377,54.723621544182436,22.64524753942716,102.09373982674377
12441,2020-06-14,West Midlands,1170.0,12.0,5900757.0,81106.0,4950.0,297.4123765222708,123.08335883904891,554.6710716471003,5.040241049110662,2.085890993969908,9.399998536579297,50.402410491106615,20.85890993969908,93.99998536579297
12442,2020-06-15,West Midlands,1205.0,12.0,5900757.0,80715.0,4995.0,287.40560065069917,118.948035191378,535.8873339326614,4.870656436974091,2.015809754432829,9.081670943790117,48.7065643697409,20.158097544328296,90.81670943790115
12443,2020-06-16,West Midlands,1252.0,15.0,5900757.0,80540.0,5055.0,355.53034260162184,160.5385669289349,631.6456990412338,6.0251649508973495,2.7206435874064114,10.70448586581745,60.25164950897349,27.206435874064113,107.04485865817449
12444,2020-06-17,West Midlands,1203.0,13.0,5900757.0,80331.0,4959.0,330.5168349849735,141.96274924277833,604.8720275101573,5.6012615836404285,2.4058396107953324,10.250753039146627,56.012615836404294,24.058396107953325,102.50753039146628
12445,2020-06-18,West Midlands,1139.0,13.0,5900757.0,80286.0,4915.0,348.816243777836,149.69275674433638,638.1568739630179,5.911381264773928,2.5368398790924003,10.814830605005731,59.11381264773928,25.368398790924005,108.1483060500573
12446,2020-06-19,West Midlands,1053.0,12.0,5900757.0,80049.0,4726.0,326.67705846188886,135.17411302970734,609.7350758576735,5.536188974768642,2.2907927411636737,10.333167013277675,55.361889747686426,22.907927411636738,103.33167013277678
12447,2020-06-20,West Midlands,967.0,9.0,5900757.0,80311.0,4564.0,276.9017600298028,97.43390630410684,559.8986843192937,4.6926480793871495,1.6512102820723988,9.488590774358164,46.9264807938715,16.512102820723992,94.88590774358164
12448,2020-06-21,West Midlands,906.0,9.0,5900757.0,80409.0,4424.0,254.78931719338016,89.77448937292795,515.1636608092598,4.317908993598282,1.521406310629771,8.730467307995564,43.179089935982816,15.214063106297713,87.30467307995562
