date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,East of England,113415.07160371475,107802.96648317788,119313.55321752453
2021-11-02,East of England,113869.70620849736,108249.94423407516,119775.41814205427
2021-11-03,East of England,114001.3376089528,108375.26173065834,119913.66813077079
2021-11-04,East of England,114098.81044299659,108449.31753658972,120036.74268308489
2021-11-05,East of England,113911.06999475544,108256.65105516982,119854.95482568175
2021-11-06,East of England,113689.17957954339,108031.22658830907,119637.57609212733
2021-11-07,East of England,113215.1841293073,107569.72718787784,119151.06801062351
2021-11-08,East of England,112498.53460476603,106862.8827598372,118425.55625275425
2021-11-09,East of England,111830.41384457826,106207.01185353345,117745.74607397457
2021-11-10,East of England,110979.1670604726,105371.48103142066,116879.49945625497
2021-11-11,East of England,110317.1856047288,104715.69200991957,116212.54204242222
2021-11-12,East of England,109362.52562392496,103779.65767904319,115239.98761037255
2021-11-13,East of England,108551.74423578651,102988.88482486123,114409.37777723215
2021-11-14,East of England,107735.66345953269,102192.16364639717,113574.21381950977
2021-11-15,East of England,106997.30897370493,101469.63051735754,112820.48349272904
2021-11-16,East of England,106426.88161798604,100916.33233609998,112232.73836185675
2021-11-17,East of England,105947.03546618308,100445.63745492382,111744.165000267
2021-11-18,East of England,105700.33296339834,100212.17645540164,111483.49793607967
2021-11-19,East of England,105981.53962958562,100490.10358044769,111767.50555952206
2021-11-20,East of England,106485.6293228458,100977.12958759652,112289.0363634061
2021-11-21,East of England,107311.0829399751,101775.92744284679,113141.62642972278
2021-11-22,East of England,108337.27179250585,102771.27146369917,114199.01481256752
2021-11-23,East of England,109327.95897397754,103736.29816755158,115215.26730638044
2021-11-24,East of England,110515.43387351348,104892.22034396951,116434.2839310141
2021-11-25,East of England,111581.44817998956,105924.37900771917,117534.75276205434
2021-11-26,East of England,112623.63757999601,106934.63700784068,118609.34191884214
2021-11-27,East of England,113558.09319550025,107836.5971861338,119577.1324409909
2021-11-28,East of England,114264.36417108886,108525.44032429165,120300.70942062952
2021-11-29,East of England,114792.87399931386,109053.8125882481,120827.90302627457
2021-11-30,East of England,115261.8131540056,109520.8030879773,121297.70507902755
2021-12-01,East of England,115650.85061030318,109906.12995641939,121689.77932008069
2021-12-02,East of England,116115.4189176041,110403.06589072582,122117.3431625926
2021-12-03,East of England,116241.69484326069,110562.41939154686,122206.78065184431
2021-12-04,East of England,116646.42603979765,110985.22384374327,122590.52171055449
2021-12-05,East of England,117289.10571954286,111630.35418053408,123228.84136735564
2021-12-06,East of England,118059.64950123138,112388.91196634703,124010.62033434545
2021-12-07,East of England,118627.93921849079,112959.7136487396,124574.70786913243
2021-12-08,East of England,119643.85819268921,113967.56889795,125596.96440679514
2021-12-09,East of England,120624.50162417087,114918.23249329891,126608.1567091772
2021-12-10,East of England,121698.03333357378,115964.20891782525,127709.35003872342
2021-12-11,East of England,122954.76239754837,117205.1920892372,128980.3360675578
2021-12-12,East of England,124448.66309190384,118679.05423340588,130492.67896220411
2021-12-13,East of England,126018.37635025522,120226.82584255788,132082.7900772671
2021-12-14,East of England,127902.79510875806,122069.95625114643,134008.1315491156
2021-12-15,East of England,130800.22145056828,124964.81738511167,136901.9106332808
2021-12-16,East of England,134075.3535612568,128230.32994911406,140180.58862981843
2021-12-17,East of England,137464.52565979716,131588.4146286619,143596.75937642774
2021-12-18,East of England,141243.77078316224,135306.8859477478,147434.74805893205
