date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,London,137515.49779456042,130389.81583285225,145024.11744559873
2021-11-02,London,136370.0698305839,129276.80308149052,143846.1185394696
2021-11-03,London,134877.11788944804,127822.53571915998,142314.69527870906
2021-11-04,London,133027.0295831001,125982.50015345088,140459.126482446
2021-11-05,London,130952.40842486937,123947.34399464919,138347.09985498618
2021-11-06,London,128852.29026600192,121891.62206296981,136204.24954410395
2021-11-07,London,126564.12410853147,119663.34352534398,133856.7616462175
2021-11-08,London,124195.85621290171,117347.2510185064,131438.14514850572
2021-11-09,London,121630.34575298447,114851.72504719191,128803.14784593528
2021-11-10,London,119367.74675028704,112642.08785172939,126489.17145756843
2021-11-11,London,117049.53290634883,110380.96203002376,124115.26052552326
2021-11-12,London,114877.19700980911,108269.76927366068,121882.23922648276
2021-11-13,London,113020.54098693325,106467.69620915325,119971.16668322422
2021-11-14,London,111707.02681591506,105190.96396904076,118621.2545501764
2021-11-15,London,110785.60702342623,104288.05848972507,117682.53269288369
2021-11-16,London,110307.17653533228,103828.31984544398,117184.89735807768
2021-11-17,London,110414.67538453056,103926.84833255435,117302.08715687605
2021-11-18,London,111366.8335189483,104860.53830814463,118271.36805586566
2021-11-19,London,112536.84495749748,105995.92393272609,119475.88776929966
2021-11-20,London,114255.29874708819,107653.84883820223,121255.94415326622
2021-11-21,London,115943.86790588162,109286.70284219188,123000.84773186257
2021-11-22,London,118137.92925639566,111410.06798974826,125266.25264449391
2021-11-23,London,120392.18475926049,113591.43436202976,127594.15366972392
2021-11-24,London,122537.81981528168,115685.17626518763,129790.35204981982
2021-11-25,London,124843.80677504791,117918.75303575325,132169.3971165318
2021-11-26,London,127571.4069833528,120571.11178428875,134971.85388852717
2021-11-27,London,130414.15989541484,123324.66648418506,137904.76499313727
2021-11-28,London,133071.18478236545,125916.17119503632,140626.22102099855
2021-11-29,London,135630.23589776215,128425.09346443502,143232.97841978152
2021-11-30,London,138313.914885012,131061.06072601823,145961.4217631158
2021-12-01,London,140367.03973161988,133074.53889820972,148052.385596839
2021-12-02,London,142667.6702620545,135386.1991576818,150334.00732183625
2021-12-03,London,144944.1683071013,137654.30538668396,152613.32611367502
2021-12-04,London,147171.13618804948,139869.08002663864,154847.63158798616
2021-12-05,London,150072.37064273277,142722.7685235077,157793.58926465892
2021-12-06,London,152785.29598304836,145383.76567953406,160556.69270891277
2021-12-07,London,155821.46678364355,148372.90460222334,163636.9297849384
2021-12-08,London,159023.73516634983,151520.27436118945,166891.64960315355
2021-12-09,London,162865.3977840679,155251.19472813673,170845.70003595555
2021-12-10,London,167104.46053004768,159390.77554010059,175183.92570792188
2021-12-11,London,171292.16594865103,163510.70652348752,179436.29760189846
2021-12-12,London,176740.30776605374,168861.8515311511,184978.51362642975
2021-12-13,London,183705.6519893714,175704.1370473724,192063.48856033382
2021-12-14,London,193452.52256199435,185260.7120125189,201998.11535838197
2021-12-15,London,207545.73942967728,199186.15722386114,216247.39566236257
2021-12-16,London,226438.11517865612,217872.53545761138,235331.2704843467
2021-12-17,London,247411.69589793548,238562.57080906295,256579.2898506339
2021-12-18,London,272193.0024272268,262972.82428678434,281725.8504532639
2021-12-19,London,299641.5959688432,290026.5251984112,309563.90600262774
2021-12-20,London,329100.53629945667,319068.3720601929,339435.58663575887
2021-12-21,London,362534.1404760549,352053.4454127375,373313.1465023066
2021-12-22,London,396812.48076404,385841.73271763796,408080.1299612986
2021-12-23,London,431476.5640555776,419997.6350310219,443252.73348519614
2021-12-24,London,465654.7878659524,453744.9538693841,477859.4450475716
2021-12-25,London,498088.0475659673,485719.1441653314,510752.7009165437
2021-12-26,London,528078.1849480055,515269.46231125126,541184.6446395665
2021-12-27,London,554778.0581503309,541593.6985700312,568261.4297798224
2021-12-28,London,576493.5227754532,563024.785871729,590261.5198883815
2021-12-29,London,592479.2795364656,578789.3100840669,606469.3218990008
2021-12-30,London,602783.5477120306,588938.1183116852,616930.1734507967
2021-12-31,London,608253.5885483498,594259.0402947294,622552.8605099209
2022-01-01,London,609257.4198063787,595290.8633667756,623526.9143537087
2022-01-02,London,605879.6647114481,591978.2053822379,620083.070200941
2022-01-03,London,598612.8455006696,584794.7435571128,612733.2595362854
2022-01-04,London,587930.0633771954,574210.7530024165,601953.3293263724
2022-01-05,London,574693.4035193827,561137.2236937566,588553.8344563303
2022-01-06,London,559059.5703792105,545661.8614070356,572763.5556413054
2022-01-07,London,542547.4338489188,529295.7434178945,556108.734602044
2022-01-08,London,525222.4246843875,512140.6686690424,538616.7546170364
2022-01-09,London,507740.1271792634,494862.7183097253,520931.7497937863
2022-01-10,London,490127.0627280449,477427.9853490415,503143.63143529627
2022-01-11,London,472627.76462923427,460102.57220962,485474.2034951057
2022-01-12,London,455514.96369148756,443154.6024721386,468200.8845496851
2022-01-13,London,438880.69340183836,426682.6174089912,451408.8094411497
2022-01-14,London,422913.29870585643,410893.37918434636,435266.71011009364
2022-01-15,London,408313.47672021034,396433.4967492036,420531.7627309962
2022-01-16,London,395205.8640259216,383476.1980729521,407277.0615644277
2022-01-17,London,382987.7475631771,371409.4885251848,394910.1404413212
2022-01-18,London,371893.2371855282,360449.637635862,383683.7361632239
2022-01-19,London,363252.09428488783,351929.36063712405,374923.05216339516
2022-01-20,London,356691.5223733806,345472.50797651033,368259.09772356367
2022-01-21,London,352159.70538134995,340974.67418661143,363695.96426122886
2022-01-22,London,348972.0404625611,337791.06639988755,360507.4397873615
2022-01-23,London,348114.28151154617,336905.08946773905,359680.6646450411
2022-01-24,London,349292.2688912798,338024.2266306761,360920.0109192823
2022-01-25,London,353011.84096805105,341657.2986604043,364727.5672602353
2022-01-26,London,358269.67883529,346763.8358067575,370140.6812804875
2022-01-27,London,365113.1376303973,353444.361126072,377150.0591012184
2022-01-28,London,373104.2638853846,361287.3332835208,385290.1648047151
2022-01-29,London,382499.08146761806,370518.25988830137,394849.27416487376
2022-01-30,London,392937.73444457434,380791.7957199453,405452.5469379346
2022-01-31,London,404090.1316349592,391759.6911643834,416789.55032575474
2022-02-01,London,415255.3524936707,402733.45349094464,428146.86035870924
2022-02-02,London,426473.5160769578,413845.65861525846,439466.6284227563
2022-02-03,London,438196.0371807319,425440.951077038,451313.053844115
2022-02-04,London,449364.12130322785,436471.2349895861,462616.91726641933
2022-02-05,London,459610.25600205414,446609.98697142693,472967.6567051823
2022-02-06,London,468354.8958957856,455257.4400691475,481807.5391609017
2022-02-07,London,476221.98419016553,463051.0617318491,489745.67009131145
2022-02-08,London,481935.25259309006,468698.71044134616,495523.5165714799
2022-02-09,London,486323.6446527772,472967.72968476935,500034.2074871372
2022-02-10,London,489131.65734294173,475687.8846643243,502932.5655337569
2022-02-11,London,490172.15149666776,476696.47673951613,504005.8479636903
2022-02-12,London,489555.02403335995,476044.70758767176,503425.72632573225
2022-02-13,London,487021.9896243929,473514.73303952196,500891.5170025423
2022-02-14,London,483256.7632036823,469769.158663047,497108.65029301535
2022-02-15,London,478021.9918520338,464556.1121530331,491855.31500767905
2022-02-16,London,471190.4956014616,457802.30794592557,484947.5979914745
2022-02-17,London,462978.3414150601,449650.513609015,476678.80378005776
2022-02-18,London,454678.77142563974,441399.2948324403,468335.5175731463
