date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,North East,58198.56582643522,52893.746208405566,64022.22369326739
2021-11-02,North East,58806.96697179941,53480.27552032849,64650.91441131064
2021-11-03,North East,59435.90498457487,54071.69422509111,65318.80578800375
2021-11-04,North East,59905.76062468828,54488.25348098693,65848.15871208953
2021-11-05,North East,60216.683395006185,54780.822228432575,66178.10523313726
2021-11-06,North East,60519.29858634892,55062.35467041392,66503.1100962108
2021-11-07,North East,60690.85195646755,55226.54821383614,66681.83643232245
2021-11-08,North East,60853.61692669603,55371.37780074131,66864.57400076259
2021-11-09,North East,60855.83732027753,55367.18277344611,66874.48605639304
2021-11-10,North East,60734.2325218223,55242.71558032486,66757.51740332159
2021-11-11,North East,60455.957942844754,54963.932066168476,66482.60803101318
2021-11-12,North East,60001.14819779678,54524.871753100946,66013.36980795293
2021-11-13,North East,59560.151096580455,54106.019493034284,65550.11856009341
2021-11-14,North East,58955.540521180454,53521.44080112212,64927.493224525075
2021-11-15,North East,58243.410643011724,52837.98704539122,64188.071513888906
2021-11-16,North East,57497.94940004309,52134.04890882122,63400.176116453826
2021-11-17,North East,56613.92905130954,51295.0164144795,62471.036803700605
2021-11-18,North East,55745.87304724496,50473.01198770798,61556.463210231
2021-11-19,North East,54863.749044585755,49626.16388922108,60641.14623373443
2021-11-20,North East,53691.03320397205,48495.79971302989,59430.02995118509
2021-11-21,North East,52437.39857667861,47300.23519014509,58119.96432990928
2021-11-22,North East,51347.23588203243,46262.845817897476,56978.11173605124
2021-11-23,North East,50345.26689511618,45298.03868609286,55942.72115050696
2021-11-24,North East,49393.36882626009,44395.65469527111,54941.753503700405
2021-11-25,North East,48200.328204216676,43254.95448499319,53699.394453632754
2021-11-26,North East,47009.73832104275,42129.06113532019,52444.40724252845
2021-11-27,North East,45895.55462342714,41069.49087378349,51277.51587972328
2021-11-28,North East,44994.263768665674,40213.73722038107,50332.06495189181
2021-11-29,North East,44449.51664763701,39699.20109979472,49757.34541696121
2021-11-30,North East,44096.75821291,39379.29589084853,49368.60150791982
2021-12-01,North East,43883.673902463335,39176.71035529297,49145.45705991989
2021-12-02,North East,43786.84710229808,39110.51419625003,49011.75806240142
2021-12-03,North East,43765.02716298998,39113.61425043027,48959.1551871117
2021-12-04,North East,43917.188614141676,39279.67012588634,49091.875409093445
2021-12-05,North East,44265.628903421064,39626.549640932186,49437.45902646421
2021-12-06,North East,44526.87250838273,39883.97010113892,49699.90438226479
2021-12-07,North East,44700.83391777843,40065.59528014679,49862.02388010951
2021-12-08,North East,44746.165984454514,40116.96031892606,49899.2752276661
2021-12-09,North East,44839.06588811964,40203.458648400716,49998.87551781043
2021-12-10,North East,44962.983719298,40318.9576082015,50131.58306411782
2021-12-11,North East,44933.97835726911,40295.62955504142,50095.92897383272
2021-12-12,North East,44848.82792411711,40221.025717607234,49998.840549312874
2021-12-13,North East,45000.49802145325,40374.037607550934,50146.85727188642
2021-12-14,North East,45369.92747313157,40726.7070194824,50532.20568086467
2021-12-15,North East,45733.91202604513,41117.48891234415,50858.47583770973
2021-12-16,North East,46022.37218876725,41431.42861893335,51112.00384179126
2021-12-17,North East,46038.28127749079,41472.85460103663,51096.37820024532
2021-12-18,North East,46100.565025705604,41542.072253871025,51149.403769413795
2021-12-19,North East,46101.07632667596,41553.0533344104,51137.068798792396
2021-12-20,North East,46159.79801805958,41613.62318097334,51192.82524424265
2021-12-21,North East,46507.61063787126,41962.61708154326,51535.09037642661
2021-12-22,North East,47043.22943525322,42460.022385708784,52111.21064251712
2021-12-23,North East,47521.35455272682,42902.870603184456,52626.922131206426
2021-12-24,North East,48129.12741659219,43481.29331638683,53263.56907883739
2021-12-25,North East,49108.35424205106,44392.49445019884,54314.68027621395
2021-12-26,North East,50204.33238165799,45413.37531549898,55489.88776021825
2021-12-27,North East,51436.81061087903,46582.70064080196,56785.64103731121
2021-12-28,North East,52947.12270348055,48015.52026082885,58373.812325148734
2021-12-29,North East,55107.977643306695,50070.60529208651,60640.246857455575
2021-12-30,North East,57905.583450996426,52734.643776581404,63571.08027030965
2021-12-31,North East,61388.25361728008,56060.4562722032,67209.19015921994
2022-01-01,North East,65377.63804658788,59902.06081557867,71339.863899634
2022-01-02,North East,69836.76881350341,64197.75936466667,75956.46214313706
2022-01-03,North East,74680.16229506425,68854.6947386743,80982.93948775427
2022-01-04,North East,79725.50979993792,73715.63861414183,86208.85910444657
2022-01-05,North East,85021.99104583658,78812.91282805288,91702.6855384621
2022-01-06,North East,90576.85523861623,84169.36858120812,97453.481828184
2022-01-07,North East,95999.2306065683,89389.14127752784,103078.32386863977
2022-01-08,North East,101315.52108029147,94520.4531325921,108578.2059374162
2022-01-09,North East,106391.79046360536,99430.08926875655,113819.04006790012
2022-01-10,North East,111059.21202791372,103936.24018500959,118647.45121533296
2022-01-11,North East,115436.7051354455,108160.75827651416,123178.24106540272
2022-01-12,North East,119525.01070771475,112105.01376294404,127411.31711914206
2022-01-13,North East,123282.84096129361,115721.30325723342,131312.71359080714
2022-01-14,North East,126320.89200335753,118645.12186984628,134466.70898452486
2022-01-15,North East,128724.12924801279,120941.49851965833,136980.2852645463
2022-01-16,North East,130523.07554190671,122662.23260718558,138859.8364270944
2022-01-17,North East,132129.07203224287,124205.02148836668,140530.36430359902
2022-01-18,North East,133092.0441084256,125120.83098500772,141542.4467871259
2022-01-19,North East,133323.3552281578,125349.62998449188,141775.64715248396
2022-01-20,North East,133017.0065846242,125048.40559425483,141464.77702099833
2022-01-21,North East,132275.84636003213,124312.35152492199,140720.88987452677
2022-01-22,North East,131504.05574821206,123544.58504792418,139947.74479760506
