date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,North West,152510.2928474322,143943.30785177203,161575.52981901064
2021-11-02,North West,151030.60233476965,142511.45299688762,160047.51743728004
2021-11-03,North West,149478.15735636995,140997.83332360833,158457.13225471543
2021-11-04,North West,147563.33992832477,139099.45353901005,156530.86797064685
2021-11-05,North West,145621.40951264647,137201.1294473557,154547.19938358353
2021-11-06,North West,143506.0233873883,135134.44197520943,152385.08747449282
2021-11-07,North West,141269.14178881294,132964.64139642747,150081.34555153575
2021-11-08,North West,138745.19858318582,130513.13595309455,147485.7105541023
2021-11-09,North West,136233.67967231726,128066.76216916738,144910.78301695667
2021-11-10,North West,133646.14871804227,125549.0424593409,142255.01179305752
2021-11-11,North West,131328.29898216453,123293.5978845746,139876.2954925853
2021-11-12,North West,128960.32085583077,120986.61596503576,137449.37951678006
2021-11-13,North West,127067.41142268902,119153.77138940374,135496.62549657794
2021-11-14,North West,125479.83527857233,117608.05028439056,133868.5824765649
2021-11-15,North West,123820.89842927341,115990.01965815983,132170.64566876608
2021-11-16,North West,122055.78235781199,114279.66336796594,130351.33349186674
2021-11-17,North West,120973.78101245481,113226.26104477479,129241.80054814619
2021-11-18,North West,120048.47448868785,112345.94526650126,128269.58021293524
2021-11-19,North West,119224.4310096227,111553.57228220964,127413.32829528708
2021-11-20,North West,118834.81074191822,111163.3971150846,127026.1857220467
2021-11-21,North West,118437.35962099775,110774.99688607188,126620.30703122723
2021-11-22,North West,117907.05977263737,110256.44209963748,126079.14934203694
2021-11-23,North West,117244.02350780631,109609.31861030789,125401.15071557047
2021-11-24,North West,116627.22062556136,109008.69717465802,124768.86856610124
2021-11-25,North West,116005.3957643995,108398.8524932118,124136.40159511409
2021-11-26,North West,115675.62415196502,108072.3573900984,123804.51017595145
2021-11-27,North West,114905.47414494967,107323.38273568779,123013.96929935264
2021-11-28,North West,114206.98835971959,106642.6938429384,122298.61732411433
2021-11-29,North West,113253.202923549,105730.14532256524,121302.43899896058
2021-11-30,North West,112350.43290216052,104867.75561467816,120358.00786285361
2021-12-01,North West,111754.97148206881,104299.9125875142,119733.94446517433
2021-12-02,North West,111365.10338268547,103988.1377081691,119256.63790883035
2021-12-03,North West,111347.17365721306,104004.09665737014,119200.02852746808
2021-12-04,North West,111601.27750311163,104282.26906914097,119425.35995763064
2021-12-05,North West,112247.21352997713,104937.2748864515,120057.78440759119
2021-12-06,North West,112901.65116963761,105584.49379185923,120717.30745891102
2021-12-07,North West,113779.51887804487,106453.69052598397,121600.88483430262
2021-12-08,North West,114588.3967482072,107256.25573717993,122413.15727972916
2021-12-09,North West,115148.70625316932,107787.30830690182,123004.17406561851
2021-12-10,North West,115360.91109147442,107992.28454212035,123223.62293994999
2021-12-11,North West,115821.28123616877,108448.83698158813,123686.20761507054
2021-12-12,North West,116311.20807903832,108933.88873454991,124179.43010557645
2021-12-13,North West,116800.95857905099,109430.61153322399,124659.02273520715
2021-12-14,North West,118017.14005972,110603.50261564224,125918.91847046555
2021-12-15,North West,120133.58384841653,112718.81587517785,128027.33126304453
2021-12-16,North West,123244.9327037534,115805.86777250249,131153.05561153204
2021-12-17,North West,126318.77713635434,118846.29247331552,134252.22737727195
2021-12-18,North West,129470.7565736861,121930.43345871163,137468.36573200746
2021-12-19,North West,133740.8107658307,126097.8908387872,141837.7282343661
2021-12-20,North West,138325.80715736758,130571.70232504426,146530.89315962658
2021-12-21,North West,144437.1040011603,136532.95046671087,152788.98978443976
2021-12-22,North West,151346.50688315506,143245.90256298086,159894.8693419221
2021-12-23,North West,159853.77775223763,151511.78717335893,168644.12400786445
2021-12-24,North West,169880.1167296619,161280.64486003353,178926.50761308748
2021-12-25,North West,181007.95106504124,172106.15340452667,190357.75810806936
2021-12-26,North West,193166.56948574109,183929.2751096349,202854.42567439255
2021-12-27,North West,206291.19828230917,196734.08220451378,216298.31267391655
2021-12-28,North West,220002.41468779225,210138.55785534906,230314.09082704518
2021-12-29,North West,235135.95629661984,224947.001554487,245770.23002451487
2021-12-30,North West,250838.75601379378,240320.3898937757,261800.25101059108
2021-12-31,North West,267398.2622084215,256532.14605244427,278706.25049832696
2022-01-01,North West,283833.27078754146,272683.6249852772,295419.4554181966
2022-01-02,North West,299645.7799905432,288229.07262868097,311494.41318688163
2022-01-03,North West,314846.5149286192,303170.4147041921,326951.0791470531
2022-01-04,North West,329275.9828489275,317338.3564638374,341640.48869253567
2022-01-05,North West,342773.7118852208,330604.1111652162,355368.20892083005
2022-01-06,North West,354607.65063717606,342229.8737111264,367409.2315587517
2022-01-07,North West,364676.07599542115,352097.0964328916,377679.77821252734
2022-01-08,North West,373027.24488187657,360279.7964763656,386200.3734015162
2022-01-09,North West,379600.2962282472,366736.92106858984,392889.03372181125
2022-01-10,North West,383982.02883706195,371008.30284709984,397383.1516605262
2022-01-11,North West,386679.5535079364,373614.59080160223,400174.7258706429
2022-01-12,North West,387126.4088429913,374008.66966205527,400677.3481698622
2022-01-13,North West,385108.6357241757,371958.5140379643,398696.6408704497
2022-01-14,North West,381018.55468204664,367889.80028413906,394588.8943286474
2022-01-15,North West,375720.66174819996,362619.9049551016,389267.90007877327
2022-01-16,North West,369141.1527110046,356113.23160008993,382619.15843476314
2022-01-17,North West,361872.129487783,348931.3914062358,375266.62922191696
2022-01-18,North West,353629.4690527357,340800.3162560154,366915.84851457056
2022-01-19,North West,344782.18921948026,332101.61527077045,357921.82455447695
2022-01-20,North West,335828.96469383873,323312.32108726416,348805.7077281693
2022-01-21,North West,327291.2412867209,314900.1748801797,340145.9072352475
2022-01-22,North West,318620.2119363318,306347.809537063,331360.72625251143
2022-01-23,North West,310432.5312083121,298270.56266147405,323067.29525280494
2022-01-24,North West,303271.71560033964,291196.3196939031,315825.06930476736
2022-01-25,North West,297131.2289546564,285126.62133270013,309618.73442483466
2022-01-26,North West,292165.50245372864,280207.22978502413,304611.74868604017
2022-01-27,North West,288804.3112647416,276852.22174507653,301250.03753513173
2022-01-28,North West,286083.9489374567,274174.3942392566,298488.6341470732
2022-01-29,North West,284425.8991560385,272523.17217623803,296826.3151380338
2022-01-30,North West,283882.4673050548,271980.8224926992,296282.7452837988
2022-01-31,North West,283476.3229341053,271574.2985671642,295877.7903789815
2022-02-01,North West,283997.2445593323,272055.5812978463,296440.74977890676
2022-02-02,North West,285125.09749989316,273204.2635746545,297543.8354780715
2022-02-03,North West,286501.796193628,274573.069892248,298926.49324832833
2022-02-04,North West,287591.9811237753,275647.1219488598,300032.1300189907
2022-02-05,North West,288562.691307033,276607.362469685,301012.3801686852
2022-02-06,North West,289522.18646200816,277564.91650927835,301972.19679878926
2022-02-07,North West,289837.1443581467,277884.4423073487,302281.6203431789
2022-02-08,North West,289894.5777643619,277947.3584540555,302333.0047432246
2022-02-09,North West,289520.7288020579,277530.4821435438,302006.4964595363
2022-02-10,North West,288087.81442334456,276091.8036658542,300582.51869305025
2022-02-11,North West,285725.43132320984,273757.0958513012,298194.5825737376
2022-02-12,North West,283278.7138364734,271343.0745064691,295717.06226078747
2022-02-13,North West,280428.5430528075,268541.0896301861,292820.0857345776
2022-02-14,North West,277632.6894763036,265783.7824566468,289987.84119018645
2022-02-15,North West,274144.69891641726,262346.90031163924,286451.23953623464
2022-02-16,North West,269617.47343982547,257882.96286369112,281864.3598193104
2022-02-17,North West,265111.3332937394,253435.23123184807,277303.9913645378
2022-02-18,North West,260025.339890033,248416.45369471668,272155.5835813564
2022-02-19,North West,254512.30070413146,242983.49749465933,266567.244072969
2022-02-20,North West,248771.6270715991,237345.26510082206,260727.574277932
2022-02-21,North West,243215.5869801776,231887.91977083258,255076.44233645912
2022-02-22,North West,237709.33839283002,226508.1574856911,249444.70990601866
2022-02-23,North West,232422.2605711941,221318.80085106706,244063.38091697686
2022-02-24,North West,226949.66860297398,215948.27122513062,238492.47441982248
2022-02-25,North West,221504.67243924254,210602.10453597904,232952.9230065558
2022-02-26,North West,216199.2544725942,205388.25810491652,227560.8768816909
2022-02-27,North West,211178.38754534014,200464.0584859652,222447.25401460804
2022-02-28,North West,206837.3806635679,196194.5295483263,218039.67495661846
2022-03-01,North West,202766.80862196084,192213.4901843193,213881.9424343837
2022-03-02,North West,199625.18490259233,189120.87978334434,210695.47274097038
2022-03-03,North West,196795.5773694113,186403.47811628945,207749.95691202112
2022-03-04,North West,194988.5809686296,184642.61808279503,205897.31408092787
2022-03-05,North West,194573.43963317323,184232.57838835166,205477.80307374054
2022-03-06,North West,195106.9196818793,184703.33879475083,206079.35416837374
2022-03-07,North West,196772.50928452576,186320.82671185254,207793.18722194742
2022-03-08,North West,199646.55602840087,189097.7334700199,210766.23277380766
