date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,Northern Ireland,28691.65004956079,22504.76590455551,36545.690930956494
2021-11-02,Northern Ireland,29690.610849691395,23399.33126650187,37638.859379246795
2021-11-03,Northern Ireland,30927.99636031219,24495.288579794164,39014.22014533078
2021-11-04,Northern Ireland,31896.866271815645,25318.280402222368,40147.53128244152
2021-11-05,Northern Ireland,32877.81238294165,26186.528194108956,41240.56677651779
2021-11-06,Northern Ireland,33969.917469414504,27142.793822066447,42474.590421881716
2021-11-07,Northern Ireland,35017.94216030309,28092.667769018186,43609.908649893994
2021-11-08,Northern Ireland,36033.79023817085,28963.39824133943,44788.102614425516
2021-11-09,Northern Ireland,36749.901704241216,29589.785622993524,45599.61040438184
2021-11-10,Northern Ireland,37277.662355960536,30063.1967855863,46179.897986804084
2021-11-11,Northern Ireland,36846.80942414397,29676.39160038598,45706.63724158409
2021-11-12,Northern Ireland,36828.82328924793,29671.301150474494,45670.00756905382
2021-11-13,Northern Ireland,36830.40002096125,29684.422493426915,45653.885763160244
2021-11-14,Northern Ireland,36873.51714200398,29708.120010188737,45724.14028011013
2021-11-15,Northern Ireland,37006.523538388254,29814.420448405323,45890.22520877825
2021-11-16,Northern Ireland,36996.39745377081,29785.526758167107,45909.33865825818
2021-11-17,Northern Ireland,36902.19900442557,29697.376169128198,45811.3775338995
2021-11-18,Northern Ireland,37000.82236869203,29825.86194800268,45858.71051366455
2021-11-19,Northern Ireland,37003.68432618546,29814.25231939137,45883.47456509159
2021-11-20,Northern Ireland,37386.24515911303,30133.200968099143,46341.04016853144
2021-11-21,Northern Ireland,37716.91269560327,30432.173862677842,46701.093663123735
2021-11-22,Northern Ireland,38247.1723429733,30909.231763709115,47282.291328674284
2021-11-23,Northern Ireland,38774.02484001627,31395.906955931692,47840.82031398008
2021-11-24,Northern Ireland,39468.06037710091,32019.24129724571,48603.83236766703
2021-11-25,Northern Ireland,40255.93844365837,32708.36157534966,49498.13949409101
2021-11-26,Northern Ireland,40805.561342756926,33193.77668621645,50115.12047451488
2021-11-27,Northern Ireland,41321.483941859646,33644.819195935444,50701.267018247636
2021-11-28,Northern Ireland,41665.11046639084,33966.82424782114,51059.53607615877
2021-11-29,Northern Ireland,41788.462687121275,34089.85064567451,51177.1211954117
2021-11-30,Northern Ireland,41739.63873801409,34046.75400312621,51122.2455718343
2021-12-01,Northern Ireland,41526.06334534419,33862.183242319006,50876.32635307625
2021-12-02,Northern Ireland,41281.07104375086,33710.18497908605,50505.43136176273
2021-12-03,Northern Ireland,40998.79343409037,33490.181821245824,50144.810575522446
2021-12-04,Northern Ireland,40718.16162639375,33257.46947698179,49807.05215176706
2021-12-05,Northern Ireland,40118.90854011183,32713.142999147556,49156.28989502335
2021-12-06,Northern Ireland,39534.46477290166,32192.894059572995,48506.00607392448
2021-12-07,Northern Ireland,38806.02001146658,31571.30175390584,47655.555060513034
2021-12-08,Northern Ireland,38428.78976604482,31245.23499046215,47221.41488621492
2021-12-09,Northern Ireland,38471.37853306401,31274.4059893904,47281.87632497005
2021-12-10,Northern Ireland,38392.67238189119,31208.2478031021,47188.495001070645
2021-12-11,Northern Ireland,38425.575035723574,31252.152616712418,47203.19286025311
2021-12-12,Northern Ireland,38554.745761178514,31375.018157015493,47335.07604995442
2021-12-13,Northern Ireland,38714.21315119459,31531.912560495744,47490.15210300085
2021-12-14,Northern Ireland,39274.70408273751,32020.26339183147,48129.577467719035
2021-12-15,Northern Ireland,40268.146023160196,32966.82516965877,49143.187141648385
2021-12-16,Northern Ireland,40975.436361228494,33663.15532738707,49832.90147840696
2021-12-17,Northern Ireland,41399.28268612551,34104.78916836881,50211.20778081857
2021-12-18,Northern Ireland,41895.45657569146,34578.171573760475,50718.32677440771
2021-12-19,Northern Ireland,42362.66625044405,35044.49040766308,51166.37038030784
2021-12-20,Northern Ireland,42900.30711845655,35526.5323823779,51761.29575966735
2021-12-21,Northern Ireland,43508.86193611367,36100.28397028733,52394.32623802094
2021-12-22,Northern Ireland,44311.78653840686,36836.79145091258,53259.47187619752
2021-12-23,Northern Ireland,45453.89968637138,37865.12474791218,54518.24526646634
2021-12-24,Northern Ireland,46759.20179244994,39052.37233410587,55940.389336392276
2021-12-25,Northern Ireland,47906.93252619904,40081.861287932516,57211.82044929804
