date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,Scotland,68344.4628155157,62666.88944105692,74529.2193693051
2021-11-02,Scotland,67867.94360098486,62211.71005574734,74031.28660618905
2021-11-03,Scotland,67299.31056173089,61662.89948692038,73443.82231920114
2021-11-04,Scotland,66808.17940304363,61174.47611870638,72953.59654056036
2021-11-05,Scotland,66442.41049960004,60817.076371757845,72580.9743653332
2021-11-06,Scotland,66461.91078926482,60831.957435400655,72605.80889616735
2021-11-07,Scotland,66563.7827793124,60933.48697505914,72707.21936277415
2021-11-08,Scotland,66443.54164132777,60816.17322325437,72584.518344994
2021-11-09,Scotland,66497.50706409276,60872.49998874256,72635.21159971296
2021-11-10,Scotland,66748.04874053017,61107.44657443036,72902.18658628935
2021-11-11,Scotland,67178.60201236302,61513.38034945758,73358.38821903638
2021-11-12,Scotland,67570.63243925326,61884.761235289196,73771.67457414862
2021-11-13,Scotland,67918.92909028773,62221.91602330992,74130.29605415252
2021-11-14,Scotland,68182.96720112833,62465.74053280402,74416.15381040647
2021-11-15,Scotland,68575.23061085588,62840.564862764695,74825.8716005314
2021-11-16,Scotland,68951.3853636891,63194.09490271216,75225.78114319337
2021-11-17,Scotland,69636.65891900717,63857.9369515551,75930.85730690377
2021-11-18,Scotland,70211.84542117432,64417.70619201008,76519.65356057952
2021-11-19,Scotland,70518.6885277504,64708.67424245139,76842.8358091114
2021-11-20,Scotland,70952.9584856248,65118.68402860714,77302.35853951043
2021-11-21,Scotland,71424.57120544242,65571.56519400308,77792.38641039176
2021-11-22,Scotland,71895.44919331542,66013.5889676227,78293.67572664116
2021-11-23,Scotland,72063.47206120455,66169.5384550866,78474.6539194578
2021-11-24,Scotland,71965.46356483646,66072.39726459037,78376.3959948345
2021-11-25,Scotland,71758.18666503973,65868.71880288247,78166.50886229254
2021-11-26,Scotland,71368.71396892841,65488.04393174276,77769.736315628
2021-11-27,Scotland,70951.89222048683,65081.902728361325,77343.62403666847
2021-11-28,Scotland,70668.4292699421,64803.11988259171,77056.9193094265
2021-11-29,Scotland,70274.58548756955,64431.596343061414,76639.81686061055
2021-11-30,Scotland,70181.36108352758,64353.20216546834,76529.75855381087
2021-12-01,Scotland,70114.85633489459,64297.58986739758,76450.87475187621
2021-12-02,Scotland,70135.36198268608,64357.014225816565,76425.07362047788
2021-12-03,Scotland,70382.29965467534,64622.02577680826,76648.6375498415
2021-12-04,Scotland,70495.3187943256,64752.95845338284,76739.57468334436
2021-12-05,Scotland,70492.74435411,64771.47774684673,76712.0861363393
2021-12-06,Scotland,70510.56833161692,64801.7921683491,76715.01498505502
2021-12-07,Scotland,70582.54493631575,64890.45894784024,76766.72906269039
2021-12-08,Scotland,70583.36090522229,64910.0673039015,76745.36297919223
2021-12-09,Scotland,70875.15627078926,65182.51506515126,77057.7587162289
2021-12-10,Scotland,71086.3533084815,65383.98886134394,77278.81831065257
2021-12-11,Scotland,71357.13087214023,65665.39331073516,77535.02739022882
2021-12-12,Scotland,71844.88725917523,66157.85797542267,78013.6140084797
2021-12-13,Scotland,72375.90970017093,66689.6980784604,78539.79126185318
2021-12-14,Scotland,72798.3319413616,67097.54713948163,78976.27957382794
2021-12-15,Scotland,73346.98194258516,67665.74538951633,79498.08759193387
2021-12-16,Scotland,74336.65348506485,68671.46184618627,80462.13534471505
2021-12-17,Scotland,75206.1167245448,69537.03255497786,81330.30986205436
2021-12-18,Scotland,76612.85620186767,70907.78718643276,82769.79408489131
2021-12-19,Scotland,78705.15284783626,72927.82307338923,84932.8463252348
2021-12-20,Scotland,81158.05940130257,75302.44053505409,87461.52100800003
2021-12-21,Scotland,84063.28128764758,78115.77429850453,90455.89808881549
2021-12-22,Scotland,87089.06526534917,81024.60100746414,93599.430048559
2021-12-23,Scotland,90096.6284563532,83911.77782439056,96729.02775557702
2021-12-24,Scotland,93288.12379830469,86993.60827670322,100029.48931732478
2021-12-25,Scotland,96384.64602169882,89957.21158782438,103262.36690342259
2021-12-26,Scotland,99599.9986823264,93033.90418669175,106620.17748505095
2021-12-27,Scotland,102977.74774446287,96284.85107435883,110126.19272598422
2021-12-28,Scotland,106783.19617272238,99957.76445015051,114064.63427925557
2021-12-29,Scotland,110879.73955720001,103918.52772269062,118296.82136343897
2021-12-30,Scotland,115044.32273333719,107944.26078914457,122600.54662747389
2021-12-31,Scotland,119453.8475548902,112207.74811106212,127156.60122785022
2022-01-01,Scotland,123712.7701501088,116363.22301906745,131514.93393360247
2022-01-02,Scotland,128000.910765955,120553.01799977529,135897.0678840602
2022-01-03,Scotland,132450.165870352,124883.96440380542,140462.53504138684
2022-01-04,Scotland,137053.36322958572,129357.50770216422,145194.42293920714
2022-01-05,Scotland,141593.64685419592,133774.25557517874,149857.05902603595
2022-01-06,Scotland,145683.5400574695,137754.64013689852,154055.41811597667
2022-01-07,Scotland,149209.68128319804,141168.1715849289,157695.49669284603
2022-01-08,Scotland,152292.25980748652,144149.13841960623,160881.2770502848
2022-01-09,Scotland,154896.8425369573,146677.27830102778,163562.64055563125
2022-01-10,Scotland,156696.03226656804,148407.83754313187,165432.4829591128
2022-01-11,Scotland,157508.67937549256,149179.71794759243,166287.89690658718
2022-01-12,Scotland,157521.09400002248,149160.7986782558,166335.0929325868
2022-01-13,Scotland,156749.5709962814,148368.60730836444,165588.98854225353
2022-01-14,Scotland,155684.59351619164,147305.80441108788,164525.0044441577
2022-01-15,Scotland,154192.30846333195,145825.95880628098,163023.72268608646
2022-01-16,Scotland,152327.55152675931,143989.69534659313,161133.3797704125
2022-01-17,Scotland,150034.22219342116,141734.62838745082,158805.10252307297
2022-01-18,Scotland,147512.02213431124,139258.57798310954,156240.05898533715
2022-01-19,Scotland,144543.22170136432,136371.16318583256,153190.7032210649
2022-01-20,Scotland,142024.20191757576,133926.01475080973,150598.02790830776
2022-01-21,Scotland,139772.819544606,131722.8215184767,148300.8946510866
2022-01-22,Scotland,138002.2147230395,129965.97015018226,146521.51754468176
2022-01-23,Scotland,136513.93351647546,128491.52694160078,145023.40682226588
2022-01-24,Scotland,135559.3792998155,127549.61089398322,144058.3613387073
2022-01-25,Scotland,134903.7748801352,126898.81121193641,143399.93628168953
2022-01-26,Scotland,134865.70807523667,126821.5019547338,143406.24166198264
2022-01-27,Scotland,135382.65278793144,127296.45523662613,143968.4456781678
2022-01-28,Scotland,136422.68817995908,128289.22673255212,145057.58137641303
2022-01-29,Scotland,138118.1400587997,129918.02774803145,146821.36784579055
2022-01-30,Scotland,140074.74557268867,131793.64005190224,148861.44489321488
2022-01-31,Scotland,142483.02068022516,134113.38043757575,151359.93512495584
2022-02-01,Scotland,145056.73293908083,136594.16019789327,154028.2152007684
2022-02-02,Scotland,147705.61964144194,139208.42101901316,156705.99318670403
2022-02-03,Scotland,150550.14959920762,141983.9255684615,159617.46505673436
2022-02-04,Scotland,153530.93436756704,144901.8703446569,162657.92254852847
2022-02-05,Scotland,156566.74318776355,147866.5158967348,165762.68036534716
2022-02-06,Scotland,159786.95154268717,151020.02602168103,169046.3772409376
2022-02-07,Scotland,162573.60723135574,153736.62430440067,171901.864974239
2022-02-08,Scotland,165003.38650911054,156108.7078212132,174387.96473680992
2022-02-09,Scotland,167356.79635222055,158376.55173963393,176829.01566320471
2022-02-10,Scotland,169861.3390370705,160795.65197749558,179420.60257287903
2022-02-11,Scotland,172608.69545301824,163454.13412177985,182258.08473846468
2022-02-12,Scotland,175570.20292499018,166323.28348916088,185312.96527107025
2022-02-13,Scotland,178471.48868659104,169134.2945877428,188305.54635004853
2022-02-14,Scotland,181499.19383656606,172065.5046921236,191431.1086236893
2022-02-15,Scotland,184496.02206521906,174966.45318436602,194525.24742236562
2022-02-16,Scotland,187278.71473849908,177659.10701725513,197399.4512414189
2022-02-17,Scotland,189816.10798456465,180114.71097050983,200019.97037347153
2022-02-18,Scotland,192304.38253070327,182501.381424631,202613.44784303044
2022-02-19,Scotland,194940.10858059357,185045.2087035595,205343.22970222784
2022-02-20,Scotland,197316.62574458518,187331.98057324692,207812.17407369238
2022-02-21,Scotland,199208.40182147993,189166.05935272362,209762.3506386155
2022-02-22,Scotland,200480.00704183636,190409.4156127826,211061.5892673676
2022-02-23,Scotland,201551.2753357648,191431.43710993422,212184.23950748544
2022-02-24,Scotland,201811.45480805272,191674.5544311547,212462.5300793625
2022-02-25,Scotland,201597.88378242825,191435.89507862806,212277.26008391497
2022-02-26,Scotland,201251.50012188792,191063.85753644726,211960.19317050424
2022-02-27,Scotland,200872.61143131735,190673.19223224706,211595.39644135634
2022-02-28,Scotland,200539.15763864163,190323.45204331863,211280.9013019504
2022-03-01,Scotland,199968.91488790707,189746.90641866717,210719.2730682043
2022-03-02,Scotland,199898.90204692,189645.66794639645,210684.00671035366
2022-03-03,Scotland,199870.71578978663,189638.2531577786,210632.92236312776
2022-03-04,Scotland,200232.72522573321,190005.55812632915,210988.02590312445
2022-03-05,Scotland,200760.46717120268,190515.7027595945,211533.70507847617
2022-03-06,Scotland,201712.79730857187,191404.003024433,212554.09536270096
2022-03-07,Scotland,203381.2724422147,193040.0647032337,214253.60792432923
2022-03-08,Scotland,206232.00083888214,195822.782786693,217171.38527995857
2022-03-09,Scotland,209781.5941413852,199304.8162617049,220785.66042018653
2022-03-10,Scotland,213606.7247033384,203002.05195845538,224741.35927079697
2022-03-11,Scotland,218593.5706851227,207926.94069671383,229783.1182454786
2022-03-12,Scotland,224471.08230574775,213689.1539636014,235772.2301237503
2022-03-13,Scotland,230648.294856417,219772.96304368562,242036.57645721687
2022-03-14,Scotland,237148.80024872778,226126.70761479752,248682.25301010328
2022-03-15,Scotland,244037.69748141608,232857.04469469923,255728.55268576404
2022-03-16,Scotland,251075.2316019045,239738.3091404364,262920.8767273961
2022-03-17,Scotland,257396.57579027195,245905.42876382306,269396.563501652
2022-03-18,Scotland,263528.0927470869,251871.48808061425,275695.1998395995
2022-03-19,Scotland,269462.7798188174,257645.32288799807,281792.4900719951
2022-03-20,Scotland,275329.82379481505,263382.12748619466,287789.0541274823
2022-03-21,Scotland,280901.968120561,268845.23495688115,293468.3968769672
2022-03-22,Scotland,286189.60285818676,274061.9564668279,298822.54830349825
2022-03-23,Scotland,290673.7498463127,278457.659267683,303393.93649124505
2022-03-24,Scotland,293280.240653334,281031.47110402957,306030.87368431553
2022-03-25,Scotland,295526.7960852475,283203.1787757823,308354.275553793
2022-03-26,Scotland,297505.2531976522,285154.4494450746,310358.45903838304
2022-03-27,Scotland,298464.4727629358,286087.67890009796,311344.0301899496
2022-03-28,Scotland,298729.2608626809,286323.7250718295,311639.44894979155
2022-03-29,Scotland,297994.03903007426,285515.8853635923,310984.2903658557
2022-03-30,Scotland,296158.8389579885,283685.8368823037,309147.0261891215
2022-03-31,Scotland,293045.86463585444,280602.22875645536,306008.2569194743
2022-04-01,Scotland,289887.75611152925,277459.7372427345,302839.45654585474
2022-04-02,Scotland,286125.1095252623,273700.3245351577,299080.9320710636
2022-04-03,Scotland,281983.30404873675,269606.7990236026,294895.21936217387
2022-04-04,Scotland,277368.7854144943,265070.24184479786,290205.61510252213
2022-04-05,Scotland,272308.173805863,260124.67256025405,285030.5885841418
2022-04-06,Scotland,266467.61076197895,254387.7668926006,279089.8841915592
2022-04-07,Scotland,260279.11246315372,248303.33748013194,272801.8188095921
2022-04-08,Scotland,254159.07582027194,242286.86697964577,266582.8841374517
2022-04-09,Scotland,248167.5219478806,236402.79246931596,260488.11821268982
2022-04-10,Scotland,242608.36001522827,230950.96221785393,254825.0895727116
2022-04-11,Scotland,236984.18840818826,225433.7444510015,249097.87464161753
2022-04-12,Scotland,231517.00861954,220031.23498045505,243574.08140615193
