date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,South East,168403.02025484157,162263.98735550593,174769.74151636203
2021-11-02,South East,169235.63645525087,163089.04326409035,175609.3021189342
2021-11-03,South East,169573.96360676244,163422.74719864377,175952.12071660196
2021-11-04,South East,169182.88885354335,163016.38035876324,175578.04639102044
2021-11-05,South East,168418.93319101023,162255.73865757394,174811.62242374517
2021-11-06,South East,166990.56777042575,160840.46370455375,173371.24239609556
2021-11-07,South East,165170.12106087813,159050.03267494732,171521.1551559075
2021-11-08,South East,162943.23260877893,156862.38393680664,169255.31593933757
2021-11-09,South East,160363.99502031875,154324.2894477615,166635.63946713755
2021-11-10,South East,157902.3079777416,151900.98990635926,164136.34712272725
2021-11-11,South East,155612.64547840998,149643.44288795436,161815.62171972042
2021-11-12,South East,153423.8312576812,147492.90428147328,159588.96927299365
2021-11-13,South East,151402.34081936488,145514.69409726074,157523.98676578366
2021-11-14,South East,149631.60117507513,143773.74230819807,155723.95149399005
2021-11-15,South East,148581.15540910233,142737.32791562853,154660.0759379795
2021-11-16,South East,147986.4372855611,142156.40477261954,154051.42702887987
2021-11-17,South East,148039.2161483329,142209.11937120729,154104.18679688167
2021-11-18,South East,148553.70435972288,142723.42926457126,154618.00726845983
2021-11-19,South East,149658.47468472892,143806.23642298582,155744.70117178193
2021-11-20,South East,151049.9918454434,145165.5817093366,157168.71583355396
2021-11-21,South East,152576.84855311393,146660.36179964358,158727.7538437961
2021-11-22,South East,154740.21039359912,148779.30495216313,160935.61814486457
2021-11-23,South East,156896.13152696897,150894.34936772034,163132.25098520925
2021-11-24,South East,159051.22700285877,153012.80333815003,165323.51407182356
2021-11-25,South East,161260.67545022542,155174.5763503023,167580.9739976994
2021-11-26,South East,163497.8442175346,157366.47168772426,169863.54019356513
2021-11-27,South East,165363.80701385453,159187.9035515882,171774.6772359197
2021-11-28,South East,167030.83457992197,160831.21834701375,173464.75974551108
2021-11-29,South East,168665.17745396178,162449.78182603818,175113.68481222837
2021-11-30,South East,170305.2346942694,164071.4951200927,176771.10119708098
2021-12-01,South East,172209.99875506936,165949.47682622384,178701.9445944621
2021-12-02,South East,174514.5056303106,168259.06596937918,180997.76074182556
2021-12-03,South East,176953.042588677,170689.5340358197,183441.63779341683
2021-12-04,South East,179433.85609207835,173159.36774478416,185930.9340159217
2021-12-05,South East,181671.76525391566,175375.17702321967,188189.6228289194
2021-12-06,South East,183552.50901927007,177237.9761085252,190087.1862320488
2021-12-07,South East,185145.8456708687,178823.3531415941,191687.03998391406
2021-12-08,South East,186578.59318120658,180249.12223725967,193125.4783389311
2021-12-09,South East,187925.02046666708,181560.4083868744,194507.8443605014
2021-12-10,South East,189379.02349679344,182986.23022803394,195990.21168493963
2021-12-11,South East,191135.8057608943,184726.53694818975,197762.4830422589
2021-12-12,South East,193098.1944968186,186672.0855193886,199740.52757538884
2021-12-13,South East,195362.30523141354,188915.35840378594,202024.2384611687
2021-12-14,South East,198028.39889743217,191542.09372915176,204729.2704442496
2021-12-15,South East,201458.20734231258,194975.9463261343,208150.90777236904
2021-12-16,South East,206003.5477574263,199519.90749012193,212692.81149163228
2021-12-17,South East,210081.13799017188,203584.7882335049,216779.69825510113
2021-12-18,South East,215075.58271370037,208523.36795014006,221828.5083928764
2021-12-19,South East,220961.68323464604,214342.24811083538,227780.26618487318
2021-12-20,South East,227538.5663073112,220838.54918170723,234436.450388569
2021-12-21,South East,235261.90673436536,228471.57832919355,242248.49866535806
2021-12-22,South East,243431.03088978626,236510.51213461487,250548.285953782
2021-12-23,South East,251870.97199501045,244818.18457870407,259120.9506049813
2021-12-24,South East,260854.27664634967,253675.58987564003,268229.9076876874
2021-12-25,South East,270032.026040123,262701.14043442445,277561.015193336
2021-12-26,South East,278734.11554978834,271243.13924175187,286425.21249162935
2021-12-27,South East,287146.3900553295,279514.7998111477,294979.32791301876
2021-12-28,South East,294985.13099813665,287236.4061053786,302935.6553568017
2021-12-29,South East,302184.5854293233,294333.17766579107,310238.0001522494
2021-12-30,South East,308845.3728816291,300885.7680455699,317007.90050983196
2021-12-31,South East,314547.55499561253,306486.0092794362,322813.3051723488
2022-01-01,South East,318919.3711447488,310828.9965613567,327212.4296443861
2022-01-02,South East,322192.2766983845,314087.87747807574,330497.87117985514
2022-01-03,South East,324481.6339623157,316355.17567658966,332808.8770676393
2022-01-04,South East,325767.46723947837,317619.83707139554,334116.09368055384
2022-01-05,South East,326176.2503338693,318027.7735116815,334525.49715453066
2022-01-06,South East,325358.5225717631,317216.36325435934,333701.6739385946
2022-01-07,South East,323449.1089624124,315308.41232016706,331791.98900022375
2022-01-08,South East,320834.10269999655,312701.16755224613,329170.5844062828
2022-01-09,South East,317658.87434224365,309554.094912013,325967.92923413654
2022-01-10,South East,313930.8042612239,305851.7850839869,322215.3545569532
2022-01-11,South East,309530.9487589339,301479.57615225896,317789.521477379
2022-01-12,South East,304228.3148643413,296219.11093673576,312446.3324512381
2022-01-13,South East,298281.48660410545,290317.7044164946,306456.0722183459
2022-01-14,South East,292080.81262683903,284175.8212860632,300198.1581357299
2022-01-15,South East,285781.09719033237,277928.5060487179,293848.1130551721
2022-01-16,South East,279931.3851932221,272137.80397476273,287940.83025719685
2022-01-17,South East,274608.07824112155,266873.7881803223,282559.29545562156
2022-01-18,South East,269956.0600694718,262273.23441992566,277856.81464740745
2022-01-19,South East,266424.42461938155,258791.3300354282,274275.62489862915
2022-01-20,South East,264277.7867326847,256678.3002286346,272095.2998191766
2022-01-21,South East,263582.1720337821,255977.28048567992,271406.01664195204
2022-01-22,South East,263909.0636929985,256271.4888815882,271767.2144529129
2022-01-23,South East,265725.29508447414,258038.69822637638,273633.7283285186
2022-01-24,South East,268830.1867983283,261074.5281546165,276808.97404705995
2022-01-25,South East,273293.9386810004,265455.0023114863,281356.93597894494
2022-01-26,South East,279395.2662834441,271436.79727509903,287579.4213244024
2022-01-27,South East,287061.0191381184,278959.63069937314,295389.74904395506
2022-01-28,South East,296150.35978930414,287916.62941037404,304611.35810694215
2022-01-29,South East,306475.1664086797,298094.43709038105,315083.0200668094
2022-01-30,South East,317876.83719221904,309339.0633097652,326641.43584932515
2022-01-31,South East,329553.1899717771,320853.94303444773,338479.1394729175
2022-02-01,South East,341606.18625545705,332736.1967249876,350703.1036029758
2022-02-02,South East,353843.99845873966,344851.23548494425,363061.4737249297
2022-02-03,South East,366381.09320778307,357259.33039339306,375725.67772423476
2022-02-04,South East,378376.3664082331,369116.8102262093,387857.8123990062
2022-02-05,South East,389472.40041529434,380095.6608323452,399069.79645964573
2022-02-06,South East,399365.19116072264,389880.6180837799,409069.580209663
2022-02-07,South East,408235.6227528461,398669.2335324061,418020.4580117392
2022-02-08,South East,415828.6603553201,406180.8697836182,425694.30812615366
2022-02-09,South East,421785.4212834797,412038.64813531254,431751.21414618474
2022-02-10,South East,425861.20298757835,416038.46313773113,435904.13424140995
2022-02-11,South East,428509.7506999487,418641.2221249029,438599.0702658399
2022-02-12,South East,429621.8169470717,419709.925721193,439755.84370724304
2022-02-13,South East,429298.1050923486,419378.04690467234,439440.8501409491
2022-02-14,South East,427486.3793006329,417565.06426450866,437631.4567419995
2022-02-15,South East,424605.24207199994,414693.67089204723,434741.76606088015
2022-02-16,South East,420426.7310600295,410547.3684284909,430531.96579000936
2022-02-17,South East,414832.69897696626,404989.0316533665,424903.85046839586
2022-02-18,South East,408548.49797129806,398739.67697219684,418586.92054460914
2022-02-19,South East,401727.8989320075,391964.07785261155,411723.3546663187
2022-02-20,South East,394289.80696501624,384586.32767501345,404226.67756200326
2022-02-21,South East,386257.18269748025,376618.2245377358,396131.5522912975
2022-02-22,South East,377999.1339669196,368451.519390296,387783.08772296115
2022-02-23,South East,369683.0680308446,360200.4961471971,379404.3618658683
2022-02-24,South East,361102.1747472798,351690.3383092679,370755.1372134947
2022-02-25,South East,352358.9296026147,343033.607727772,361927.2067845669
2022-02-26,South East,343467.8378523784,334235.8409029118,352944.49321965745
2022-02-27,South East,335017.57746956905,325880.6222027621,344400.58513823437
2022-02-28,South East,327258.81572421454,318192.5773311789,336573.4067753067
2022-03-01,South East,320281.76730252843,311285.9725581255,329527.71317408176
2022-03-02,South East,314440.820471354,305508.0298168015,323625.11857954314
2022-03-03,South East,309033.1896976879,300205.319943339,318111.2018324215
2022-03-04,South East,304821.49866877776,296050.3048717153,313843.23041085026
2022-03-05,South East,301552.133792165,292823.678879893,310531.52684884216
2022-03-06,South East,299575.55892974866,290828.2151873906,308576.7182317389
2022-03-07,South East,299078.308141943,290337.6212229904,308072.86836067995
2022-03-08,South East,300714.8285165061,291943.3871198318,309740.4747168791
2022-03-09,South East,304577.3871751894,295751.91295177425,313656.77169304073
2022-03-10,South East,310199.300823691,301248.02066288213,319406.8352625408
2022-03-11,South East,317909.1557447734,308891.3824422933,327180.3262421153
2022-03-12,South East,327726.8979371883,318598.8068161574,337106.40450084937
2022-03-13,South East,339408.9533305845,330175.0881837193,348890.71124668693
2022-03-14,South East,352995.60915942735,343581.97398783197,362656.4056800394
2022-03-15,South East,368030.2482589837,358424.1286598303,377882.612504041
2022-03-16,South East,384056.79422314255,374246.5160557128,394112.5349825501
2022-03-17,South East,399589.2424954925,389579.9355584681,409843.52721720195
2022-03-18,South East,415561.0288743207,405347.98354964727,426018.7005036009
2022-03-19,South East,431912.5067956623,421494.6739869813,442574.6052101404
2022-03-20,South East,448529.98946225067,437921.62907353404,459381.6033802616
2022-03-21,South East,464715.9027292839,453941.8080932415,475731.543343926
2022-03-22,South East,480107.70299547963,469239.34780520084,491213.35644647875
2022-03-23,South East,494127.5742047094,483121.7643654367,505369.29210955213
2022-03-24,South East,504821.69201845233,493722.10871555744,516155.73556151276
2022-03-25,South East,514247.58249226055,503029.90596476186,525700.0074921277
2022-03-26,South East,522683.166041769,511399.898286822,534199.7851374813
2022-03-27,South East,529734.4192666039,518377.83122845466,541323.9982615764
2022-03-28,South East,535241.0448557462,523803.95973263116,546911.8136709036
2022-03-29,South East,539594.7259178018,528020.3087110572,551406.4193052647
2022-03-30,South East,542704.1179018024,531071.6329289917,554574.7879852353
2022-03-31,South East,543160.8517097324,531488.584694116,555072.7318041178
2022-04-01,South East,542645.1041331994,530923.4017433063,554608.7260366637
2022-04-02,South East,541401.7025320338,529624.0020246734,553424.2778071268
2022-04-03,South East,539088.2867619002,527306.6600122914,551116.104488276
2022-04-04,South East,535470.7798694135,523707.70295229345,547481.0796846843
2022-04-05,South East,530476.6111151082,518766.8456734512,542433.8634205947
2022-04-06,South East,524725.0608446716,513056.0270654064,536642.7900012183
2022-04-07,South East,517816.8174682052,506192.1953841564,529691.8231279036
2022-04-08,South East,510706.9133988679,499126.90475416236,522539.14339575195
2022-04-09,South East,503257.83506598504,491725.20973866154,515044.6389647591
2022-04-10,South East,495406.9815183156,483920.5421998951,507149.90085372253
2022-04-11,South East,487327.3106965073,475892.90097369265,499020.4456455461
2022-04-12,South East,479393.88088089856,467979.9779128824,491070.21415496204
2022-04-13,South East,471162.526071551,459799.0454789227,482791.0379534774
2022-04-14,South East,461865.50967328035,450558.2434628784,473440.89969205967
2022-04-15,South East,452530.0361865335,441305.1741811115,464024.9981254412
2022-04-16,South East,443071.92619229166,431901.53167619376,454515.9658519505
2022-04-17,South East,433424.21360581496,422360.16352772224,444763.1330175433
2022-04-18,South East,423311.99490610795,412357.70114161377,434542.6296413722
2022-04-19,South East,412575.80703398836,401759.26965115254,423669.271152957
2022-04-20,South East,401086.1081910455,390405.43007880816,412045.06433974043
2022-04-21,South East,388011.0567328279,377491.8294592332,398809.9154104256
2022-04-22,South East,374666.8143053987,364287.8971102444,385328.3002152028
2022-04-23,South East,361278.94246332324,351082.8447616288,371758.48145021574
2022-04-24,South East,347780.72211332404,337754.5575507206,358092.261054643
2022-04-25,South East,334387.4947159559,324530.6569542016,344531.8726922475
2022-04-26,South East,320453.99397022283,310759.61790732795,330439.34254658304
2022-04-27,South East,306386.46695739665,296858.32474416407,316209.36702678696
2022-04-28,South East,291801.7688677649,282466.466723144,301434.97372342413
2022-04-29,South East,277636.0300777979,268499.53823438066,287073.2407317136
2022-04-30,South East,263982.0136935758,255036.00154306466,273232.0668548259
2022-05-01,South East,250925.29784062985,242165.22765640597,259992.88748673367
2022-05-02,South East,238452.433280853,229887.47373180152,247327.538686042
2022-05-03,South East,226885.6613150137,218515.23153279064,235568.1639582923
2022-05-04,South East,216266.8456134067,208086.98496182298,224760.0701854804
2022-05-05,South East,206475.8367084084,198467.58155551666,214799.37629453567
2022-05-06,South East,197556.99212688088,189701.99326415354,205729.68086645586
2022-05-07,South East,189298.06496002496,181587.36143794123,197328.891150256
2022-05-08,South East,181907.01445852133,174343.45165672043,189791.68211312813
2022-05-09,South East,175246.16637897742,167811.3690356187,183003.56274856773
2022-05-10,South East,169384.97758613768,162059.98864997682,177034.44683062253
2022-05-11,South East,164217.21423519807,156980.56351933195,171781.01474149048
2022-05-12,South East,159764.6381390786,152610.37325199996,167247.97687531065
2022-05-13,South East,156078.64328972055,148970.14514325227,163520.10204895755
2022-05-14,South East,153324.6081064861,146252.64664244434,160732.34863030343
2022-05-15,South East,151162.02958537123,144121.35714226862,158540.52440243674
2022-05-16,South East,149749.07345243022,142728.58432397357,157108.78508525933
2022-05-17,South East,148807.28364780018,141785.7322144657,156170.45403680013
2022-05-18,South East,147999.05002558907,140979.40376952972,155362.11501129868
2022-05-19,South East,147271.34719001185,140254.9652999816,154632.62991932867
2022-05-20,South East,146806.21858013343,139792.2997217561,154165.9556515389
2022-05-21,South East,146465.2190341566,139419.66037544957,153860.66804656433
2022-05-22,South East,146191.4521568384,139129.13878643038,153606.06653447237
2022-05-23,South East,146113.7690078888,139032.78002628667,153549.17254651352
2022-05-24,South East,145916.93876903367,138832.2654004117,153356.91597211058
2022-05-25,South East,145636.73280764514,138555.05536312045,153074.13561087023
2022-05-26,South East,145421.31788355313,138332.0310520315,152867.67828323852
2022-05-27,South East,144935.33742970365,137839.27440983863,152390.455816867
2022-05-28,South East,144273.51421028518,137180.51131863592,151727.01341238627
2022-05-29,South East,143587.77643654923,136496.11100430286,151041.6379634932
2022-05-30,South East,142998.58273409013,135904.39051255523,150456.83205171398
2022-05-31,South East,142399.1543105814,135197.04230526977,149978.468297091
2022-06-01,South East,142119.41787522892,134895.25930730274,149723.95160185662
2022-06-02,South East,142059.77850239363,134244.7951207117,150322.02576269512
2022-06-03,South East,142311.39785578614,134480.33685383247,150590.76434941223
2022-06-04,South East,142836.2114790413,134937.36631599822,151189.58031479898
2022-06-05,South East,143766.53481751168,135823.06429768912,152166.62998353236
2022-06-06,South East,145120.0060838381,137120.4466684639,153578.20455585254
2022-06-07,South East,147062.46637278725,138993.6987848492,155591.44689920772
2022-06-08,South East,149454.54204109957,141316.08170852566,158053.37350726742
2022-06-09,South East,152774.79130463564,144537.0057247243,161473.5590930155
2022-06-10,South East,156418.3231661378,144656.98331688234,169117.7345802166
2022-06-11,South East,160615.9094062062,148774.67231790035,173381.22876308163
2022-06-12,South East,165287.1117511572,153272.0980518113,178225.08995048294
2022-06-13,South East,170579.33358423816,158339.18941942076,183746.10162766682
2022-06-14,South East,176527.2498507536,164033.88734433294,189951.77986642622
2022-06-15,South East,182610.00629176263,169838.59419556728,196320.53408962488
2022-06-16,South East,189153.0981184192,176092.19009278397,203160.53622720123
2022-06-17,South East,196126.26005880814,182642.1740488789,210582.17429270543
2022-06-18,South East,203645.74875776394,189806.9329661936,218468.63922456777
2022-06-19,South East,211368.84201636317,197262.80723627182,226457.74457391072
2022-06-20,South East,219253.18615212585,204902.81455528227,234581.8953760985
2022-06-21,South East,227201.9966916446,212582.01722237642,242799.77932134748
2022-06-22,South East,235067.705335712,225454.03935060234,245079.91044156268
2022-06-23,South East,243093.79708651555,233318.43648409913,253266.9356785029
2022-06-24,South East,251359.0990331598,241452.10025189223,261660.4994197497
2022-06-25,South East,260323.0940161661,250291.29098764303,270744.5889048789
2022-06-26,South East,269358.91612308216,259149.05227289672,279958.1969331771
2022-06-27,South East,277957.1279060532,267558.2187545817,288746.894473533
2022-06-28,South East,286738.3425618256,276130.72776903876,297739.60366730805
2022-06-29,South East,295683.3837946738,284862.201708166,306901.2218209305
2022-06-30,South East,304640.31132974266,293573.386313786,316109.3480272696
2022-07-01,South East,313463.54517586005,302015.4086549214,325329.47200439364
2022-07-02,South East,321813.0858705982,310160.89476063114,333886.28255142865
2022-07-03,South East,330047.6845930379,318166.7157307507,342354.8932511103
2022-07-04,South East,338851.2331613571,326751.57005025167,351380.87578050315
2022-07-05,South East,347258.60577409656,335212.7529521363,359719.43352879345
2022-07-06,South East,355316.2408218098,343256.10265047423,367782.18264794705
2022-07-07,South East,362901.63889891625,350780.3394712961,375423.69158676156
2022-07-08,South East,370381.6209550913,358192.4962385365,382967.2346036245
2022-07-09,South East,377208.9087355219,364942.3377559616,389869.25393649866
2022-07-10,South East,383776.10430600686,371476.72635069874,396464.0782077048
2022-07-11,South East,390055.7477205517,377699.6506599568,402797.2625186379
2022-07-12,South East,395610.9771502888,383119.7150626276,408490.2830938046
2022-07-13,South East,400270.05983105046,387655.5618516401,413275.42848807696
2022-07-14,South East,404125.3650842042,391423.1012502253,417219.946127574
2022-07-15,South East,406800.470900116,394008.91895132314,419987.12490246125
2022-07-16,South East,408655.49865961185,395720.8646006771,421992.2732874978
2022-07-17,South East,409353.05209199793,396342.36756471376,422769.94197375036
2022-07-18,South East,408578.74628856074,395526.0755166485,422041.13040904637
2022-07-19,South East,406478.6878733752,393404.2294141219,419966.5553011098
2022-07-20,South East,402816.70386652305,389747.87498266593,416302.6554299739
2022-07-21,South East,397663.1486899538,384614.1908205296,411133.78950916254
2022-07-22,South East,391166.0102674406,378174.27458095807,404583.21005453146
2022-07-23,South East,383262.7495068983,370340.4258267722,396615.3406209196
2022-07-24,South East,373580.9076363987,360789.5351012495,386805.5673592324
2022-07-25,South East,362972.3881988162,350339.98912078317,376040.56464755966
2022-07-26,South East,351481.3255461167,339028.41681795666,364372.484545105
2022-07-27,South East,339230.49913562543,327064.1895568174,351831.0984544921
2022-07-28,South East,326715.50584456953,314773.10724187363,339093.38264012564
2022-07-29,South East,314029.39222265896,302259.52014948794,326240.46261022607
2022-07-30,South East,301386.95224120276,289809.77390949766,313410.0412481103
2022-07-31,South East,288883.549150417,277535.99803315185,300679.1405767578
