date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,South West,124837.2348912126,119345.66523206006,130575.39826088489
2021-11-02,South West,124801.04611831561,119313.79313497008,130534.5729998384
2021-11-03,South West,124290.63964414402,118807.75509583154,130020.47801022908
2021-11-04,South West,123267.39431849522,117781.6616029462,129002.54033623046
2021-11-05,South West,121647.69306502119,116187.72992015391,127358.20096750231
2021-11-06,South West,119720.90249331805,114293.198804059,125400.39843781227
2021-11-07,South West,117553.06452209082,112174.48666432922,123183.67521412902
2021-11-08,South West,115132.99076787526,109806.30267354602,120712.32371233498
2021-11-09,South West,112465.59114978924,107192.06219351581,117992.91949682625
2021-11-10,South West,109961.01630003913,104740.17515109463,115436.5590020665
2021-11-11,South West,107594.06382106691,102421.69806241305,113022.2008090021
2021-11-12,South West,105100.62729882982,99984.85094767807,110472.8321715854
2021-11-13,South West,102715.05745408447,97659.43451189889,108027.1972313478
2021-11-14,South West,100480.76988822773,95477.45859885646,105741.1709029909
2021-11-15,South West,98683.16504239674,93718.79811377358,103905.47500743816
2021-11-16,South West,97078.0440610925,92155.23687786507,102258.87804432746
2021-11-17,South West,95738.87110043413,90845.10981480707,100891.36811856924
2021-11-18,South West,94571.60215363404,89717.73428088782,99683.26230928196
2021-11-19,South West,93940.25320219844,89103.27870157876,99035.02586377402
2021-11-20,South West,93456.62701465415,88627.78501886307,98543.80363218268
2021-11-21,South West,93335.12281426672,88510.90099183233,98417.53184757008
2021-11-22,South West,93419.72814426126,88591.19846621402,98506.66752916909
2021-11-23,South West,93562.21737648013,88724.33280373816,98659.11716085406
2021-11-24,South West,93791.98999792924,88948.7921273705,98894.10569560486
2021-11-25,South West,93885.85221137991,89031.16500306757,99000.4412099722
2021-11-26,South West,94034.33547485227,89169.74054109534,99159.48069537983
2021-11-27,South West,94242.56252125821,89365.53214468747,99380.89222035387
2021-11-28,South West,94449.86857926255,89568.3305058401,99592.58597121385
2021-11-29,South West,94461.12552240948,89591.4376363184,99590.6592507016
2021-11-30,South West,94713.24662164751,89846.17249691767,99839.13952794857
2021-12-01,South West,95091.66912593975,90223.68771891632,100217.46386812294
2021-12-02,South West,95355.35288019624,90514.12672565927,100450.73663719586
2021-12-03,South West,95705.62729659585,90883.74929171671,100778.59431878198
2021-12-04,South West,96036.47184244623,91224.29381075453,101097.78095222736
2021-12-05,South West,96706.20890574108,91888.18470264626,101772.13364860309
2021-12-06,South West,97297.88832894729,92469.7981568943,102373.32184496883
2021-12-07,South West,97851.89361395128,93020.35082703583,102929.64145541975
