date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,Wales,76516.99456010721,71552.89327172798,81816.21198235534
2021-11-02,Wales,75995.7424024929,71050.16096702933,81276.36040605458
2021-11-03,Wales,75262.07389645751,70335.68142641117,80524.37263131596
2021-11-04,Wales,74517.3416828672,69591.58817990532,79782.59234762758
2021-11-05,Wales,73845.40777097248,68934.65071136544,79096.89452420162
2021-11-06,Wales,73045.27528939824,68142.17430040901,78292.09039858982
2021-11-07,Wales,71986.75165804841,67121.45787036179,77195.75604763324
2021-11-08,Wales,70609.16325257038,65787.05009297087,75775.93044123871
2021-11-09,Wales,69250.10514899285,64473.468674122305,74371.98268637361
2021-11-10,Wales,67874.69061591018,63144.43490488012,72950.81056984571
2021-11-11,Wales,66622.10303030944,61927.67158036653,71664.02653639298
2021-11-12,Wales,65705.89403178434,61045.34204840648,70714.0041387585
2021-11-13,Wales,65006.05546833869,60367.88944864691,69992.39791872466
2021-11-14,Wales,64501.51451874501,59877.15092078439,69474.88394675693
2021-11-15,Wales,64391.307594527076,59762.59490875844,69370.3657265971
2021-11-16,Wales,64427.53476292745,59802.06394464637,69402.62565522017
2021-11-17,Wales,64548.82951371751,59919.61116270372,69527.5327454916
2021-11-18,Wales,65046.758890776946,60406.9119398706,70034.80454026272
2021-11-19,Wales,65518.89519867379,60860.17600307116,70525.97832240666
2021-11-20,Wales,66103.83909224033,61420.37651130377,71136.0916888467
2021-11-21,Wales,66570.60366290945,61864.6849337415,71626.0773158229
2021-11-22,Wales,67117.73275652585,62388.784391456225,72196.63185309041
2021-11-23,Wales,67594.81775942247,62842.36327492073,72698.09915628713
2021-11-24,Wales,67975.6497865667,63210.18071002327,73091.76976858628
2021-11-25,Wales,68109.55075185314,63333.160144077985,73237.49975587074
2021-11-26,Wales,68151.48266591277,63367.629280588946,73287.795984217
2021-11-27,Wales,68109.5977606832,63316.81067882999,73256.4502448693
2021-11-28,Wales,68040.84397817406,63252.303939574944,73183.19155163312
2021-11-29,Wales,67906.06595582848,63129.119716564586,73035.81344734323
2021-11-30,Wales,68402.32127316439,63622.6792082507,73532.3629780741
2021-12-01,Wales,68849.59183612355,64059.3560767379,73989.32803595785
2021-12-02,Wales,69436.09254798669,64661.797532610384,74554.2640652431
2021-12-03,Wales,70099.2449745082,65320.89126565584,75218.50631615029
2021-12-04,Wales,70750.91611316396,65967.39813991159,75872.65435338668
2021-12-05,Wales,71508.94595426948,66709.90879267588,76644.52282139231
2021-12-06,Wales,72262.54497821536,67446.41489949431,77413.82608616985
