date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,West Midlands,114750.13888383124,107277.08761241254,122732.64441208045
2021-11-02,West Midlands,113671.00962489125,106244.54979678526,121605.58449059156
2021-11-03,West Midlands,112756.674671171,105357.40540047853,120664.67911015419
2021-11-04,West Midlands,111628.99405497727,104235.77740807003,119535.68440795626
2021-11-05,West Midlands,110139.30680247085,102783.37961431454,118010.86628588285
2021-11-06,West Midlands,108344.76374653143,101038.65838206363,116168.49657378321
2021-11-07,West Midlands,106356.98535523657,99122.90354822764,114108.54003298611
2021-11-08,West Midlands,104343.33986945685,97177.33717444212,112027.48237593292
2021-11-09,West Midlands,102418.25619393967,95311.14459547597,110045.19136800618
2021-11-10,West Midlands,100748.26492687127,93699.57832831632,108317.21991002712
2021-11-11,West Midlands,99216.68498784139,92206.55739855743,106749.88443632331
2021-11-12,West Midlands,97341.51262224728,90387.77833008193,104820.4758103814
2021-11-13,West Midlands,95708.33420124627,88809.62169961455,103133.34256606433
2021-11-14,West Midlands,94419.2054638791,87562.78498018289,101803.01730826181
2021-11-15,West Midlands,93284.29621037006,86460.49527476875,100637.25298191111
2021-11-16,West Midlands,92716.19973913608,85907.46770965759,100055.1999362617
2021-11-17,West Midlands,92371.399258916,85573.16209202768,99700.3701526285
2021-11-18,West Midlands,92406.05019014844,85623.28485733713,99716.82536071671
2021-11-19,West Midlands,93130.06174751277,86323.34146483234,100464.1450069264
2021-11-20,West Midlands,94190.91637109601,87339.45513905515,101570.37499131517
2021-11-21,West Midlands,95406.77994524862,88507.42590151432,102834.35345648299
2021-11-22,West Midlands,96916.05981993624,89964.16403776963,104395.41900790531
2021-11-23,West Midlands,98162.86973642405,91159.78838344515,105694.06666555643
2021-11-24,West Midlands,99434.29096890379,92395.60530432533,106999.21645645364
2021-11-25,West Midlands,100626.5730304669,93527.58735907292,108254.2554370734
2021-11-26,West Midlands,101601.17496196652,94462.92268519898,109268.59915626395
2021-11-27,West Midlands,102659.9460286988,95470.56659284703,110380.33298498925
2021-11-28,West Midlands,103939.51928587351,96713.21718879206,111695.27838149434
2021-11-29,West Midlands,105229.43012784912,97966.81405717546,113019.86832465611
2021-11-30,West Midlands,106027.70691585811,98744.95750815149,113836.94869182688
2021-12-01,West Midlands,106732.1379369676,99428.82012957765,114561.21572942176
2021-12-02,West Midlands,107117.80761443241,99855.59188236413,114897.6286679682
2021-12-03,West Midlands,107729.57697318066,100489.29042437949,115481.04911703995
2021-12-04,West Midlands,108417.86623638611,101187.99152010339,116153.87608137543
2021-12-05,West Midlands,109015.80752729408,101785.76132489875,116748.98602889826
2021-12-06,West Midlands,109564.33746853338,102328.90508112522,117300.92743788451
2021-12-07,West Midlands,109795.27943908784,102567.94695872939,117521.46271354305
2021-12-08,West Midlands,109792.50381294978,102587.00089496505,117493.75891122285
2021-12-09,West Midlands,109692.81074947656,102473.57289390327,117410.25100387484
2021-12-10,West Midlands,109435.9812443765,102218.98633608555,117152.1324250367
2021-12-11,West Midlands,108905.1759947503,101724.14829658385,116582.85219986607
2021-12-12,West Midlands,108434.23318714913,101283.50791838112,116079.61179189513
2021-12-13,West Midlands,107733.40946188444,100618.54296082167,115341.28279771048
2021-12-14,West Midlands,106661.40994821195,99586.75185101353,114228.66775064431
2021-12-15,West Midlands,106307.92347812006,99306.79754258998,113792.86027880354
2021-12-16,West Midlands,106672.58891189696,99724.8985236589,114094.70938970486
2021-12-17,West Midlands,106990.53711026895,100086.5382755169,114361.30232258976
2021-12-18,West Midlands,107554.28931276628,100653.25135825707,114919.0207336618
2021-12-19,West Midlands,108449.32429398355,101547.5997202965,115810.6757327272
2021-12-20,West Midlands,109841.55912456814,102911.80530087276,117228.42086840377
2021-12-21,West Midlands,111894.59459749756,104920.04823764887,119323.14206661354
2021-12-22,West Midlands,114412.24297180552,107343.33939480434,121936.77061859734
2021-12-23,West Midlands,117744.813145262,110556.27398225917,125390.54904662543
2021-12-24,West Midlands,121738.71602558545,114421.76402430581,129512.99958513574
2021-12-25,West Midlands,125902.70697759232,118442.51423267408,133821.81299360696
2021-12-26,West Midlands,130786.57321906756,123139.47384250167,138897.0463871154
2021-12-27,West Midlands,136282.38078210622,128460.89030987937,144568.05710614004
2021-12-28,West Midlands,142487.97981988397,134486.17012929654,150953.31389296005
2021-12-29,West Midlands,149109.45915663659,140917.04568007574,157764.9867741115
2021-12-30,West Midlands,155733.12829740028,147343.4715625725,164586.69820475962
2021-12-31,West Midlands,162544.2862754467,153949.376825286,171604.58619416587
2022-01-01,West Midlands,169880.04408268505,161120.3960868974,179100.93319243036
2022-01-02,West Midlands,177194.94837711903,168277.03161811948,186569.95273109022
2022-01-03,West Midlands,184029.91279389948,174948.37450233358,193566.7901850153
2022-01-04,West Midlands,190421.80602450384,181179.23798489108,200119.2216668082
2022-01-05,West Midlands,196208.31128523953,186833.20516980914,206036.73305882775
2022-01-06,West Midlands,201461.489579325,191958.5432331433,211417.29989236844
2022-01-07,West Midlands,206406.62212496606,196769.68196743057,216497.46079494528
2022-01-08,West Midlands,210722.11192061508,200962.8561969083,220936.76267202955
2022-01-09,West Midlands,214271.5337265776,204423.02614114346,224575.6367930307
2022-01-10,West Midlands,216979.35771375344,207050.06853686855,227365.62691504005
2022-01-11,West Midlands,218773.91477903284,208771.06511709254,229236.55257053458
2022-01-12,West Midlands,219819.2483101048,209766.6316209653,230333.93850837802
2022-01-13,West Midlands,219918.62987122196,209819.2175401357,230484.29765983106
2022-01-14,West Midlands,219190.857884847,209086.4238217865,229763.71190443097
2022-01-15,West Midlands,217984.4699793727,207855.61918990573,228586.90176881626
2022-01-16,West Midlands,216424.1235693957,206300.43744976306,227024.61736720288
2022-01-17,West Midlands,214863.59632337693,204766.18261772548,225439.04553418263
2022-01-18,West Midlands,213552.09253098822,203462.05973618734,224122.64308564313
2022-01-19,West Midlands,212301.51818435697,202234.14642794928,222850.27348852862
2022-01-20,West Midlands,211053.9397747181,201022.75473378686,221566.05208007147
2022-01-21,West Midlands,210478.95605338924,200434.66813946335,221006.89507762398
2022-01-22,West Midlands,210201.06966104743,200131.13066547702,220757.89391672396
2022-01-23,West Midlands,210669.38934286265,200561.13287623116,221267.1441617713
2022-01-24,West Midlands,211888.69120620246,201716.392945816,222553.74994737835
2022-01-25,West Midlands,213794.62183158356,203543.7706991036,224541.19242937397
