date,region,active_cases,active_cases_lolim,active_cases_uplim
2021-11-01,Yorkshire and The Humber,117653.01650820489,110415.98832357771,125353.2113133196
2021-11-02,Yorkshire and The Humber,117896.72569182975,110657.57339841814,125598.28244692604
2021-11-03,Yorkshire and The Humber,117356.98187148588,110132.73638793736,125043.97439294738
2021-11-04,Yorkshire and The Humber,116393.80440483938,109165.2690643536,124089.83027732138
2021-11-05,Yorkshire and The Humber,115157.0585816609,107954.89906322972,122828.62284408881
2021-11-06,Yorkshire and The Humber,113783.9000087395,106609.89963464803,121429.64717548058
2021-11-07,Yorkshire and The Humber,112175.74539564602,105054.08448685698,119769.3332570111
2021-11-08,Yorkshire and The Humber,110202.9271613403,103137.01959201139,117742.22465847374
2021-11-09,Yorkshire and The Humber,108172.24707766292,101155.06741591333,115665.65133678568
2021-11-10,Yorkshire and The Humber,105994.02223193862,99038.35141227987,113427.81530232144
2021-11-11,Yorkshire and The Humber,103924.70263468708,97033.48757636239,111295.11586866928
2021-11-12,Yorkshire and The Humber,101902.28768966753,95066.61835950294,109219.41135335065
2021-11-13,Yorkshire and The Humber,99599.12065928047,92852.153782586,106826.53801102155
2021-11-14,Yorkshire and The Humber,97305.62264569031,90630.80169977032,104462.42094804106
2021-11-15,Yorkshire and The Humber,95277.56283447986,88661.89502184925,102377.41368251473
2021-11-16,Yorkshire and The Humber,93980.79417188372,87409.89009945474,101036.31892308696
2021-11-17,Yorkshire and The Humber,92875.33824116674,86338.88964957131,99897.39442592993
2021-11-18,Yorkshire and The Humber,92278.79135678725,85772.85828459745,99269.04220580196
2021-11-19,Yorkshire and The Humber,92095.33109000037,85602.6893886642,99071.29104927176
2021-11-20,Yorkshire and The Humber,92232.57617471798,85725.36626142773,99224.56659439037
2021-11-21,Yorkshire and The Humber,92489.53705065996,85969.00014209264,99495.43723185532
2021-11-22,Yorkshire and The Humber,92917.05062319811,86378.11709094957,99941.73616933145
2021-11-23,Yorkshire and The Humber,93600.31941696302,87032.09191816172,100654.91087693427
2021-11-24,Yorkshire and The Humber,94323.68756792392,87728.47032942505,101405.31073036326
