,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
5608,2021-10-02,UK,45020.0,3698.0,66435548.0,711409.0,60799.0,72437.77189758197,62154.308734331964,83896.83402360253,1327.5822751675144,1107.6605097576166,1580.370645575101,13275.822751675141,11076.605097576165,15803.706455751013
5619,2021-10-03,UK,45244.0,3766.0,66435548.0,709892.0,61437.0,71899.66932326567,61767.98257743469,83205.12614370702,1313.045125237683,1095.9896088507537,1563.3069427900805,13130.45125237683,10959.89608850754,15633.069427900806
5630,2021-10-04,UK,45296.0,3738.0,66435548.0,708166.0,61731.0,71237.51937642266,61145.68216331686,82500.20868428593,1303.9361159318216,1087.013949688637,1553.8824501090369,13039.361159318216,10870.13949688637,15538.82450109037
5641,2021-10-05,UK,45072.0,3693.0,66435548.0,705706.0,61609.0,70523.45620323959,60479.92337678406,81736.72617675313,1291.6316502669918,1075.7900071085014,1540.1925644182645,12916.316502669917,10757.900071085016,15401.925644182644
5652,2021-10-06,UK,44744.0,3692.0,66435548.0,702306.0,61191.0,70277.63475888151,60280.16731356961,81435.19062990039,1287.747517753566,1072.980539107187,1534.8269662147086,12877.475177535658,10729.805391071868,15348.269662147086
5663,2021-10-07,UK,44483.0,3752.0,66435548.0,700375.0,60868.0,70167.27236047234,60244.70108946513,81217.41942297455,1289.001527698426,1074.1745277769062,1535.41266530087,12890.015276984257,10741.745277769063,15354.1266530087
5674,2021-10-08,UK,44310.0,3770.0,66435548.0,699283.0,60694.0,70325.97329621544,60418.53333670247,81366.18698497771,1285.11727746969,1071.3813786701778,1530.6508966788706,12851.1727746969,10713.81378670178,15306.50896678871
5685,2021-10-09,UK,43704.0,3745.0,66435548.0,698698.0,60090.0,70076.94825944852,60151.88842088412,81125.64623817896,1284.143757157321,1068.7435161308313,1530.8656396824713,12841.43757157321,10687.43516130831,15308.656396824714
5696,2021-10-10,UK,43306.0,3775.0,66435548.0,697885.0,59921.0,70314.80294305527,60400.02334740105,81352.9325999885,1290.6160400795068,1075.5030842189801,1537.005872144401,12906.16040079507,10755.0308421898,15370.058721444013
5707,2021-10-11,UK,42901.0,3826.0,66435548.0,696636.0,59462.0,71455.85993486085,61487.93200330483,82562.28902617867,1305.5642863585376,1091.451251355551,1551.480794076627,13055.642863585374,10914.512513555512,15514.80794076627
5718,2021-10-12,UK,42719.0,3942.0,66435548.0,694679.0,59345.0,73146.52028640524,63099.27929537538,84301.95496673769,1338.8582772380444,1123.2952854004318,1585.2162660629872,13388.582772380441,11232.95285400432,15852.162660629878
