,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
1527,2021-10-01,England,39768.0,3279.0,55977178.0,628945.0,53323.0,62080.00837036258,54078.17998483009,70807.14399271877,110.9023544744656,96.60754957105928,126.4928789241908,1109.023544744656,966.0754957105928,1264.928789241908
1530,2021-10-02,England,40395.0,3292.0,55977178.0,628639.0,54297.0,61142.48461784612,53282.98695949726,69717.80846347558,109.22752236249944,95.18698309424828,124.54684382888252,1092.2752236249946,951.8698309424827,1245.4684382888252
1533,2021-10-03,England,40557.0,3354.0,55977178.0,627228.0,54836.0,61911.46632941214,54029.84889700081,70513.16339232001,110.60126383900976,96.5212088701592,125.96769953697915,1106.0126383900977,965.2120887015919,1259.6769953697915
1536,2021-10-04,England,40646.0,3339.0,55977178.0,625648.0,55100.0,61614.927081373135,53746.243696656406,70208.13373605338,110.07151357535948,96.01456453674105,125.42278164871651,1100.7151357535947,960.1456453674105,1254.227816487165
1539,2021-10-05,England,40517.0,3290.0,55977178.0,623476.0,55042.0,60596.938233405446,52808.01602620908,69112.69994436455,108.25293521121316,94.33847491599,123.46585235926779,1082.5293521121314,943.3847491599,1234.6585235926782
1542,2021-10-06,England,40252.0,3305.0,55977178.0,620411.0,54696.0,60897.788563132126,53088.237708387685,69429.84211359269,108.79038697365586,94.83907478935019,124.03240855334421,1087.9038697365584,948.3907478935017,1240.324085533442
1545,2021-10-07,England,40044.0,3357.0,55977178.0,618658.0,54436.0,60715.190739998405,53003.250813485116,69127.5799014958,108.46418649400013,94.68725060324604,123.49243454447777,1084.6418649400011,946.8725060324604,1234.9243454447776
1548,2021-10-08,England,39891.0,3382.0,55977178.0,617638.0,54282.0,60786.41496522821,53098.625188745384,69162.87321412287,108.5914244644991,94.85763142390884,123.55548401193586,1085.914244644991,948.5763142390884,1235.554840119359
1551,2021-10-09,England,39337.0,3367.0,55977178.0,617170.0,53712.0,60673.163778557624,52979.003505569344,69067.0975995704,108.38910775130111,94.64393418612377,123.38438640041912,1083.8910775130114,946.4393418612376,1233.8438640041913
1554,2021-10-10,England,38930.0,3386.0,55977178.0,616458.0,53538.0,60731.55450884575,53053.379233001164,69111.20100981186,108.49341942326166,94.776802133543,123.46317459914086,1084.9341942326166,947.76802133543,1234.6317459914085
1557,2021-10-11,England,38553.0,3433.0,55977178.0,615400.0,53120.0,62283.742833449374,54458.90469681828,70823.30732711236,111.26631434233673,97.28769231063823,126.52175378886079,1112.6631434233677,972.8769231063825,1265.217537888608
1560,2021-10-12,England,38392.0,3533.0,55977178.0,613671.0,53031.0,63651.66628905111,55765.95017147835,72235.84260877206,113.71003070045992,99.62265366696111,129.04516660123892,1137.1003070045992,996.226536669611,1290.451666012389
1563,2021-10-13,England,38201.0,3595.0,55977178.0,612373.0,52803.0,64868.62711658259,56896.76530970122,73538.88824227263,115.88406103034096,101.64278969136532,131.37298247202213,1158.8406103034094,1016.4278969136533,1313.7298247202214
1566,2021-10-14,England,38079.0,3776.0,55977178.0,611438.0,52562.0,66926.2817565104,58894.78925143236,75648.0970701689,119.55994236885323,105.21214422676391,135.1409623939401,1195.5994236885326,1052.1214422676394,1351.4096239394007
1569,2021-10-15,England,37859.0,3858.0,55977178.0,610590.0,52275.0,68425.56799022076,60294.971328869666,77260.70003424582,122.23833075368816,107.7134887522727,138.0217845820056,1222.3833075368816,1077.134887522727,1380.2178458200563
1572,2021-10-16,England,37669.0,3988.0,55977178.0,610036.0,52122.0,70899.25430396921,62589.82807475765,79877.37640098766,126.65742868275568,111.8131179723952,142.69632599376064,1266.5742868275568,1118.1311797239516,1426.9632599376066
1575,2021-10-17,England,37641.0,4107.0,55977178.0,609007.0,52154.0,72516.88196935656,64146.54342225367,81544.70236843439,129.54722720991145,114.59410015677044,145.67490767118412,1295.4722720991144,1145.9410015677045,1456.749076711841
1578,2021-10-18,England,37445.0,4187.0,55977178.0,608080.0,51898.0,74309.52181282041,65769.99152377494,83496.51030462573,132.74967489933204,117.49429655738442,149.1616999782049,1327.4967489933204,1174.942965573844,1491.6169997820489
1581,2021-10-19,England,37629.0,4286.0,55977178.0,608093.0,51927.0,76148.82572348097,67498.50127343883,85469.46384688464,136.03548525343842,120.58217953294971,152.68626769088758,1360.354852534384,1205.821795329497,1526.862676908876
1584,2021-10-20,England,37835.0,4399.0,55977178.0,608134.0,52289.0,77596.87177148955,68884.05519682668,86966.51718204036,138.62233600180693,123.0573917049314,155.3606671312376,1386.2233600180691,1230.5739170493139,1553.6066713123762
1587,2021-10-21,England,37765.0,4529.0,55977178.0,607556.0,52011.0,79697.24788449409,70877.51512461707,89184.22560599864,142.37453678799972,126.61859289265541,159.3224753237804,1423.7453678799973,1266.1859289265542,1593.2247532378042
1590,2021-10-22,England,38106.0,4655.0,55977178.0,608146.0,52468.0,80439.23122868518,71638.37399156069,89863.87058914998,143.70004723833202,127.9778233757348,160.5366218874949,1437.00047238332,1279.7782337573485,1605.3662188749493
1593,2021-10-23,England,38622.0,4730.0,55977178.0,608312.0,53119.0,80590.20263209853,71827.66874366508,89966.3799127328,143.9697489432185,128.31598753274966,160.71974888182606,1439.697489432185,1283.1598753274966,1607.1974888182608
1596,2021-10-24,England,38736.0,4757.0,55977178.0,608371.0,53439.0,81143.04611313231,72345.11631533857,90560.64986162803,144.9573719367066,129.24037777563308,161.78137787086737,1449.5737193670661,1292.4037777563308,1617.8137787086735
1599,2021-10-25,England,38620.0,4760.0,55977178.0,607529.0,53353.0,80163.2050567853,71466.27442582481,89463.10861975697,143.2069424021077,127.67037742743088,159.8206837432158,1432.0694240210767,1276.703774274309,1598.206837432158
1602,2021-10-26,England,38370.0,4786.0,55977178.0,607064.0,53071.0,79540.22627357216,70932.85878336104,88749.69482790281,142.0940267363463,126.71746114704287,158.54621115037781,1420.9402673634631,1267.1746114704288,1585.4621115037778
1605,2021-10-27,England,38329.0,4818.0,55977178.0,607370.0,53063.0,78189.3674642235,69745.69566858737,87242.94994161585,139.6807953845467,124.59666271241356,155.8544983128943,1396.8079538454672,1245.9666271241354,1558.5449831289434
