,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
5609,2021-10-03,UK,45169.0,3764.0,66435548.0,709879.0,61436.0,73275.40242354355,62947.1146472733,84799.95432582346,1338.47000676313,1117.189723165814,1593.5763191392903,13384.700067631302,11171.897231658138,15935.763191392907
5620,2021-10-04,UK,45230.0,3730.0,66435548.0,708159.0,61728.0,70965.22137394713,60903.027310173486,82195.40468946059,1298.4842250942547,1082.2615721359512,1547.6461219950486,12984.84225094255,10822.61572135951,15476.46121995048
5631,2021-10-05,UK,45018.0,3690.0,66435548.0,705712.0,61611.0,70105.34789791847,60118.91484950274,81254.92142855802,1283.9031760984185,1069.30558607033,1531.0256533725594,12839.031760984184,10693.055860703304,15310.256533725598
5642,2021-10-06,UK,44677.0,3691.0,66435548.0,702285.0,61190.0,70104.38083345938,60129.986539593905,81236.39090901638,1285.0362084573806,1070.7356982198646,1531.5681286683568,12850.362084573808,10707.356982198648,15315.681286683573
5653,2021-10-07,UK,44400.0,3748.0,66435548.0,700360.0,60863.0,69845.18935830164,59964.52818432183,80849.28622909021,1283.143212368291,1069.2586285778027,1528.4807367994551,12831.43212368291,10692.586285778027,15284.807367994552
5664,2021-10-08,UK,44236.0,3766.0,66435548.0,699254.0,60691.0,69860.21762853353,60014.60911560713,80830.81960752048,1276.8161008806414,1064.4288389354958,1520.7767176731086,12768.161008806414,10644.288389354957,15207.767176731086
5675,2021-10-09,UK,43624.0,3739.0,66435548.0,698687.0,60086.0,69993.1720057396,60073.098068873405,81037.24169316163,1282.719530157064,1067.4399825668663,1529.3124551027756,12827.195301570642,10674.399825668665,15293.124551027759
5686,2021-10-10,UK,43235.0,3771.0,66435548.0,697861.0,59916.0,70097.90894739387,60211.28501501906,81105.75944999978,1286.312939587442,1071.8769469046317,1531.9573127391789,12863.12939587442,10718.769469046318,15319.573127391788
5697,2021-10-11,UK,42838.0,3822.0,66435548.0,696634.0,59464.0,71244.93562839413,61302.919362613866,82322.97083398767,1301.7299411073138,1088.189864345592,1546.9864898805847,13017.299411073136,10881.898643455917,15469.864898805848
5708,2021-10-12,UK,42648.0,3936.0,66435548.0,694652.0,59340.0,72526.25314979022,62553.11680395915,83603.5012828205,1328.0279618442128,1114.0653267114944,1572.6194936645338,13280.27961844213,11140.653267114943,15726.19493664534
5719,2021-10-13,UK,42423.0,4026.0,66435548.0,693200.0,59077.0,74259.05800652251,64152.217894050395,85482.7316060486,1364.212253299354,1146.9994924508349,1612.8372248528306,13642.122532993537,11469.994924508348,16128.372248528307
5730,2021-10-14,UK,42264.0,4211.0,66435548.0,692114.0,58816.0,76402.28210794764,66240.4817961075,87676.10025802064,1397.2054459815718,1179.696973819922,1645.8956919778302,13972.054459815716,11796.969738199223,16458.956919778306
5741,2021-10-15,UK,42019.0,4315.0,66435548.0,691146.0,58484.0,78992.601891954,68591.77900488346,90544.33363544058,1443.7172719581208,1220.8097807115894,1698.68324683615,14437.172719581207,12208.097807115895,16986.8324683615
5752,2021-10-16,UK,41851.0,4465.0,66435548.0,690436.0,58366.0,81822.57546320152,71202.73644566743,93561.47276065669,1490.8632482601863,1263.7581123468358,1749.6430878477772,14908.632482601864,12637.581123468355,17496.43087847777
5763,2021-10-17,UK,41830.0,4583.0,66435548.0,689249.0,58371.0,82955.42891223461,72342.03846915417,94633.2893711265,1508.1037251325504,1281.7433126411188,1764.6859551467471,15081.037251325502,12817.43312641119,17646.859551467474
5774,2021-10-18,UK,41538.0,4654.0,66435548.0,688232.0,58030.0,84841.86736198465,74056.64956126185,96697.05176704636,1544.0692567165731,1315.1061104994847,1803.5563569014007,15440.69256716573,13151.061104994846,18035.563569014008
5785,2021-10-19,UK,41713.0,4766.0,66435548.0,688177.0,58081.0,86980.82414610851,76083.83479073842,98971.16120269147,1575.7459235409208,1346.3905104582257,1835.8592393292843,15757.45923540921,13463.905104582258,18358.592393292845
5796,2021-10-20,UK,41919.0,4890.0,66435548.0,688135.0,58458.0,88783.87273920023,77731.71774491473,100936.42033853047,1616.9300232700064,1381.4455940132661,1883.3337100621118,16169.30023270006,13814.45594013266,18833.337100621116
5807,2021-10-21,UK,41856.0,5019.0,66435548.0,687400.0,58205.0,91273.2069940371,80060.56356904913,103616.4140008381,1650.4178633754484,1412.675771407127,1920.1926548122901,16504.178633754484,14126.757714071267,19201.9265481229
5818,2021-10-22,UK,42248.0,5158.0,66435548.0,688005.0,58715.0,92524.20837123583,81291.85885234682,104853.52359080869,1674.2148717999153,1435.4673481405807,1944.2217947167746,16742.14871799915,14354.673481405805,19442.217947167745
5829,2021-10-23,UK,42795.0,5221.0,66435548.0,688219.0,59440.0,92953.78379127954,81694.36465689325,105297.29026389607,1685.586167676389,1444.8823537927751,1957.2022852650225,16855.86167676389,14448.823537927752,19572.022852650225
5840,2021-10-24,UK,42937.0,5261.0,66435548.0,688207.0,59830.0,93370.75772299519,82100.40678356976,105737.08558107889,1693.139517169792,1452.1958901461508,1965.5318991519785,16931.395171697917,14521.95890146151,19655.318991519787
5851,2021-10-25,UK,42800.0,5260.0,66435548.0,687251.0,59723.0,92444.2786469317,81226.29867870882,104722.8459840469,1682.1458453652815,1440.308988784466,1954.6278052735374,16821.458453652813,14403.08988784466,19546.278052735375
5862,2021-10-26,UK,42570.0,5299.0,66435548.0,686675.0,59471.0,92727.61724980362,81525.61362619395,104992.9780145824,1689.9388641958806,1448.5746122701792,1961.8661717178757,16899.38864195881,14485.746122701792,19618.66171717875
5873,2021-10-27,UK,42509.0,5324.0,66435548.0,687035.0,59515.0,91762.8798070535,80634.42412108683,103932.59332172858,1683.9403412062507,1441.3467378947403,1956.4938807868562,16839.403412062507,14413.467378947405,19564.938807868562
5884,2021-10-28,UK,42435.0,5322.0,66435548.0,686496.0,59378.0,90185.67431755022,79216.48468941281,102151.30515687577,1674.6370979132273,1432.3164566456712,1945.4000973828515,16746.370979132273,14323.164566456713,19454.00097382851
5895,2021-10-29,UK,42715.0,5314.0,66435548.0,686188.0,59700.0,88727.19490591958,77950.54256450891,100495.54900241409,1642.2448678741007,1405.5696017313371,1907.234623174902,16422.448678741006,14055.696017313372,19072.346231749016
5906,2021-10-30,UK,42592.0,5331.0,66435548.0,685141.0,59642.0,88592.43326549609,77841.83917967668,100359.97126623613,1651.8636929360725,1413.7867641467285,1918.3042024611773,16518.63692936073,14137.867641467285,19183.042024611776
5917,2021-10-31,UK,42312.0,5242.0,66435548.0,684574.0,59436.0,86401.19773276756,75791.10467151321,97995.7821034497,1620.91250080396,1383.9143801496639,1885.563852322192,16209.125008039598,13839.143801496639,18855.63852322192
5928,2021-11-01,UK,41950.0,5118.0,66435548.0,683876.0,58997.0,83689.59578567062,73270.07656898502,95097.61525822504,1572.1296297298627,1338.5803462842164,1833.6779963117087,15721.296297298628,13385.803462842163,18336.77996311709
5939,2021-11-02,UK,41398.0,4973.0,66435548.0,684735.0,58537.0,81309.22743290212,71026.10225363552,92553.0955338982,1542.648364116608,1310.1186700022188,1801.9428494936778,15426.483641166084,13101.18670002219,18019.428494936783
5950,2021-11-03,UK,40961.0,4823.0,66435548.0,685297.0,58055.0,78470.43287779429,68394.02711162594,89532.092103672,1486.7578944484596,1259.4637240072034,1741.6822517175237,14867.578944484594,12594.637240072036,17416.82251717524
5961,2021-11-04,UK,40863.0,4714.0,66435548.0,685213.0,58195.0,76896.97463234593,66901.88603179107,87867.32751243547,1464.1437038357328,1237.5676565032409,1718.0111304425227,14641.437038357328,12375.676565032409,17180.111304425223
5972,2021-11-05,UK,40430.0,4608.0,66435548.0,686013.0,58006.0,75204.02558457557,65298.93478783793,86107.89770248307,1442.046230785834,1215.947092656976,1695.9251846376903,14420.46230785834,12159.470926569764,16959.251846376905
5983,2021-11-06,UK,40310.0,4518.0,66435548.0,686461.0,57903.0,72546.53670827189,62888.770858996875,83192.7082868861,1390.944551202504,1170.0015883013587,1639.485950320071,13909.445512025037,11700.015883013586,16394.85950320071
5994,2021-11-07,UK,39869.0,4372.0,66435548.0,686555.0,57548.0,69298.92431757603,59919.38902675222,79642.63230568543,1332.5368019379803,1117.729147779614,1573.983064192972,13325.368019379805,11177.291477796141,15739.830641929719
6005,2021-11-08,UK,39741.0,4213.0,66435548.0,686060.0,57630.0,66445.84392989287,57300.1693247724,76557.75714162485,1274.0560172677208,1065.6893222169447,1509.4099850266548,12740.560172677207,10656.893222169447,15094.099850266553
6016,2021-11-09,UK,39611.0,4110.0,66435548.0,685292.0,57638.0,65617.97802673024,56503.92338872847,75719.6182567769,1249.0874394840957,1043.2365486402948,1482.3625670560969,12490.874394840957,10432.365486402949,14823.625670560967
6027,2021-11-10,UK,39460.0,4041.0,66435548.0,684756.0,57669.0,65019.470519553295,56015.9910924729,75048.86422981948,1211.303155527046,1013.9415141777456,1437.926328275981,12113.031555270461,10139.415141777456,14379.263282759806
6038,2021-11-11,UK,39546.0,3955.0,66435548.0,683305.0,57792.0,64296.965030496125,55269.19654130073,74348.64548531108,1216.981769182432,1015.4194304528473,1446.6933257638195,12169.817691824319,10154.194304528472,14466.933257638193
6049,2021-11-12,UK,39551.0,3959.0,66435548.0,683474.0,58078.0,64810.181858264106,55691.86758249092,74966.0102509149,1230.439172164033,1025.7187876696132,1463.9217488527038,12304.391721640328,10257.187876696133,14639.21748852704
6060,2021-11-13,UK,39623.0,3941.0,66435548.0,683033.0,58321.0,65058.77116733779,55881.933240214785,75274.20308306259,1234.2561045462933,1028.0560518280483,1469.196256405986,12342.561045462935,10280.560518280483,14691.962564059859
6071,2021-11-14,UK,39401.0,3965.0,66435548.0,682246.0,58337.0,66600.39749434213,57199.065285352306,77069.6839539474,1265.6147033799361,1053.1431391841636,1508.0771447693182,12656.147033799363,10531.431391841634,15080.771447693187
6082,2021-11-15,UK,39610.0,3928.0,66435548.0,681220.0,58629.0,68264.64972444848,58591.91892704006,79044.6919625408,1292.1266127606298,1074.3280835368328,1540.9209858828422,12921.266127606299,10743.280835368329,15409.209858828424
6093,2021-11-16,UK,39741.0,3935.0,66435548.0,679744.0,58938.0,69659.17701276079,59825.8804746554,80631.08154895707,1302.5648563471284,1083.219081790864,1553.8798903538961,13025.648563471284,10832.19081790864,15538.798903538958
6104,2021-11-17,UK,39846.0,3957.0,66435548.0,679510.0,59282.0,71548.12235252472,61470.44450399891,82782.10361577164,1338.338426822143,1113.0125452960817,1596.279612653232,13383.384268221433,11130.125452960816,15962.79612653232
6115,2021-11-18,UK,39963.0,4011.0,66435548.0,679050.0,59557.0,73426.56031996195,63159.20416815125,84852.0061511808,1363.2768439912227,1135.4047110958968,1624.1593113695224,13632.768439912223,11354.047110958967,16241.593113695224
6126,2021-11-19,UK,40494.0,4111.0,66435548.0,678090.0,60202.0,75597.4667322322,65130.2819984639,87187.18834261654,1405.6693968662416,1172.1392192709304,1671.1238822871082,14056.693968662414,11721.392192709305,16711.238822871084
6137,2021-11-20,UK,40707.0,4162.0,66435548.0,677501.0,60466.0,76727.99025890556,66169.7621779897,88460.02522472561,1420.228594788202,1185.2990735460248,1688.4467993643204,14202.285947882017,11852.990735460247,16884.467993643204
6148,2021-11-21,UK,40909.0,4217.0,66435548.0,676394.0,60773.0,79837.61190388637,68903.55527700728,91951.27270553252,1481.7833557532663,1237.2783829487594,1759.1004475861473,14817.833557532658,12372.783829487591,17591.00447586147
6159,2021-11-22,UK,40792.0,4183.0,66435548.0,676617.0,60776.0,80225.23181322057,69202.4227708647,92414.11083312379,1489.2240372198655,1242.8294376383499,1768.3524759161278,14892.240372198657,12428.294376383497,17683.52475916127
6170,2021-11-23,UK,41137.0,4204.0,66435548.0,676551.0,61189.0,80820.34579690314,69713.34393272719,93097.65607297502,1504.5643397168644,1254.885450349429,1787.1948884231142,15045.643397168642,12548.85450349429,17871.94888423114
6181,2021-11-24,UK,41471.0,4099.0,66435548.0,675295.0,61536.0,80502.3329829086,69292.7713616838,92927.55807523464,1495.0846257832734,1242.5486243622074,1781.9042924621103,14950.846257832733,12425.486243622076,17819.042924621106
6192,2021-11-25,UK,41711.0,4078.0,66435548.0,674620.0,61860.0,81035.95591332336,69759.32888093185,93503.22522046907,1487.4216236157572,1236.608863666639,1771.6702487923499,14874.216236157574,12366.088636666394,17716.7024879235
6203,2021-11-26,UK,42280.0,4083.0,66435548.0,673124.0,62397.0,80485.21097529645,69276.69285475794,92892.00113154056,1480.436001566167,1230.7647851096167,1763.649776865694,14804.360015661674,12307.64785109617,17636.49776865694
6214,2021-11-27,UK,42596.0,4113.0,66435548.0,673584.0,62730.0,80483.21603839983,69324.32165058899,92847.49422251787,1479.799577356099,1231.2473095961614,1761.7225298025548,14797.99577356099,12312.473095961614,17617.225298025547
6225,2021-11-28,UK,43037.0,4086.0,66435548.0,674330.0,63196.0,79702.81830902305,68627.9621216368,91977.2790236334,1460.7702103225686,1215.21052062913,1739.5574822105777,14607.70210322569,12152.105206291302,17395.57482210578
6236,2021-11-29,UK,43776.0,4101.0,66435548.0,674936.0,64150.0,79707.41575542519,68650.45617292848,91989.33916296485,1464.5149651783183,1219.8155469266212,1743.7583688024,14645.14965178318,12198.15546926621,17437.583688024
