,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
1019,2021-10-03,East of England,5161.0,432.0,6201214.0,83370.0,7027.0,6540.043408623548,5783.992782924682,7362.562940924375,105.46392059076736,93.27194292802477,118.72776751333487,1054.6392059076738,932.7194292802476,1187.2776751333488
1021,2021-10-04,East of England,5188.0,428.0,6201214.0,83242.0,7067.0,6309.956224060725,5576.954443342312,7107.015024742939,101.75356348064629,89.93326860421705,114.60683383516421,1017.5356348064627,899.3326860421704,1146.0683383516416
1023,2021-10-05,East of England,5173.0,427.0,6201214.0,82862.0,7035.0,6269.88094716805,5540.742809825792,7062.945860395084,101.10731458659625,89.34932433916637,113.89618001241504,1011.0731458659624,893.4932433916638,1138.9618001241506
1025,2021-10-06,East of England,5115.0,414.0,6201214.0,82493.0,6992.0,6104.231370663575,5383.214552633878,6888.177082380181,98.4360702704918,86.80904340075796,111.07788059531862,984.360702704918,868.0904340075795,1110.778805953186
1027,2021-10-07,East of England,5107.0,412.0,6201214.0,82307.0,6958.0,5898.704746188297,5200.291859652367,6658.246983323618,95.12177367509486,83.85925497253227,107.37005662638991,951.2177367509487,838.5925497253227,1073.700566263899
1029,2021-10-08,East of England,5083.0,419.0,6201214.0,82203.0,6960.0,6002.634655590723,5298.045442095944,6768.977969374218,96.79773437250714,85.43561699525195,109.15569063370847,967.9773437250709,854.3561699525197,1091.556906337085
1031,2021-10-09,East of England,5020.0,424.0,6201214.0,82124.0,6855.0,6089.538820661969,5379.272742070392,6863.158217286945,98.19914005002842,86.74547825748945,110.67442951149476,981.9914005002843,867.4547825748946,1106.7442951149474
1033,2021-10-10,East of England,4977.0,423.0,6201214.0,82055.0,6837.0,6032.437622084411,5328.080313299678,6799.592569639626,97.27833327610384,85.91995556514703,109.64937784181656,972.7833327610383,859.1995556514705,1096.4937784181657
1035,2021-10-11,East of England,4928.0,434.0,6201214.0,81952.0,6744.0,6182.006795209003,5468.710924868745,6957.5848176830295,99.69026702205412,88.18774718738533,112.19714103856165,996.9026702205413,881.8774718738533,1121.9714103856163
1037,2021-10-12,East of England,4924.0,453.0,6201214.0,81714.0,6780.0,6420.803541287888,5694.633138288244,7208.242221538553,103.54107342994273,91.83094049468771,116.2392109277079,1035.410734299427,918.309404946877,1162.392109277079
