,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
2549,2021-10-03,North East,1235.0,116.0,2657909.0,19755.0,1664.0,3149.029028290653,2464.517385610563,3914.6025426429746,118.47768408514558,92.7239189005554,147.28128550085702,1184.776840851456,927.2391890055541,1472.8128550085708
2554,2021-10-04,North East,1232.0,119.0,2657909.0,19697.0,1682.0,3190.369527621859,2504.886021088645,3954.464763037193,120.0330608618225,94.24273069878029,148.78104416054848,1200.3306086182256,942.427306987803,1487.8104416054846
2559,2021-10-05,North East,1210.0,113.0,2657909.0,19611.0,1661.0,3038.773057435176,2370.3257995297868,3787.549805290572,114.32946189787444,89.18009606535765,142.50110915349515,1143.294618978745,891.8009606535768,1425.0110915349514
2564,2021-10-06,North East,1214.0,121.0,2657909.0,19522.0,1666.0,3248.9990719707594,2557.298247926123,4019.434032248092,122.23891306928715,96.21466528485827,151.22541938975684,1222.3891306928715,962.1466528485826,1512.2541938975683
2569,2021-10-07,North East,1182.0,115.0,2657909.0,19464.0,1632.0,3029.4253166884114,2368.349257348587,3768.155730425373,113.97776660857879,89.1057315110708,141.7714350049371,1139.777666085788,891.057315110708,1417.7143500493708
2574,2021-10-08,North East,1158.0,117.0,2657909.0,19427.0,1605.0,3082.199384305508,2416.070258063071,3826.2387665285705,115.96331493311123,90.90116546740579,143.9567256263691,1159.6331493311125,909.011654674058,1439.5672562636912
2579,2021-10-09,North East,1151.0,119.0,2657909.0,19397.0,1608.0,3178.1328784219127,2497.4981109423848,3937.651998994687,119.57267455063032,93.96477121460458,148.14848811583417,1195.7267455063034,939.647712146046,1481.4848811583418
2584,2021-10-10,North East,1144.0,120.0,2657909.0,19395.0,1600.0,3164.4103843398384,2489.5949753530153,3916.9765331078574,119.05638546465805,93.66742711481152,147.370603474681,1190.5638546465805,936.6742711481149,1473.7060347468098
2589,2021-10-11,North East,1108.0,129.0,2657909.0,19337.0,1567.0,3453.9737546511046,2742.9167100710997,4243.2905992896885,129.9507904390671,103.19829272074776,159.64770047769463,1299.5079043906712,1031.9829272074776,1596.4770047769462
2594,2021-10-12,North East,1120.0,135.0,2657909.0,19271.0,1574.0,3553.752385235519,2838.7898558069073,4345.9931852531845,133.70481778102706,106.80538181731986,163.51173743168718,1337.0481778102705,1068.0538181731984,1635.1173743168722
2599,2021-10-13,North East,1123.0,143.0,2657909.0,19225.0,1583.0,3775.8820394957106,3041.20128943526,4590.579113145731,142.0621262614977,114.42082063137829,172.71393088122016,1420.6212626149768,1144.2082063137827,1727.1393088122018
2604,2021-10-14,North East,1120.0,149.0,2657909.0,19209.0,1591.0,3920.826086892104,3169.746902874587,4746.644594401855,147.51543739428644,119.25716429247906,178.5856699534053,1475.1543739428644,1192.5716429247905,1785.856699534053
2609,2021-10-15,North East,1151.0,144.0,2657909.0,19229.0,1626.0,3815.550799941739,3074.6444566524733,4636.970242354555,143.5546062691288,115.67907165566886,174.45933033653733,1435.5460626912882,1156.790716556689,1744.593303365373
2614,2021-10-16,North East,1147.0,142.0,2657909.0,19214.0,1615.0,3756.7371519881667,3020.704709313403,4571.76875524658,141.3418274285601,113.6496663096217,172.00621824323483,1413.4182742856005,1136.4966630962167,1720.062182432348
2619,2021-10-17,North East,1152.0,146.0,2657909.0,19191.0,1623.0,3822.8795591410576,3086.877915758811,4639.786999165272,143.83034028407508,116.13933794418135,174.56530675675018,1438.3034028407512,1161.3933794418133,1745.6530675675021
2624,2021-10-18,North East,1158.0,157.0,2657909.0,19169.0,1614.0,4115.871662600825,3344.3820040404607,4959.577120449635,154.8537464074513,125.82755858234655,186.5969497243749,1548.5374640745133,1258.2755858234657,1865.9694972437487
2629,2021-10-19,North East,1161.0,155.0,2657909.0,19164.0,1610.0,4092.303531181764,3320.9649865349743,4936.969050136389,153.9670293897106,124.94652700807193,185.7463536237091,1539.670293897106,1249.4652700807194,1857.4635362370911
2634,2021-10-20,North East,1159.0,155.0,2657909.0,19116.0,1616.0,4092.2475883939824,3321.546895335072,4936.836004306872,153.96492462285138,124.96842048900363,185.74134796589618,1539.6492462285134,1249.6842048900364,1857.4134796589624
2639,2021-10-21,North East,1164.0,153.0,2657909.0,19022.0,1622.0,4086.221818335329,3312.010741126208,4935.41839475791,153.73821369863788,124.60963641442233,185.6880124473001,1537.3821369863788,1246.0963641442231,1856.8801244730012
2644,2021-10-22,North East,1160.0,154.0,2657909.0,19040.0,1626.0,4084.0787425260137,3312.9135670862406,4929.827090106388,153.65758355632244,124.64360394152851,185.4776476586064,1536.5758355632245,1246.4360394152852,1854.776476586064
2649,2021-10-23,North East,1151.0,151.0,2657909.0,19041.0,1630.0,4026.3485209448,3258.7621840684446,4867.574998314735,151.48556707339492,122.60623610772396,183.13550231835384,1514.8556707339492,1226.0623610772398,1831.3550231835386
2654,2021-10-24,North East,1174.0,151.0,2657909.0,19045.0,1661.0,4008.9365416731175,3247.0314901334336,4848.469628068538,150.8304664182678,122.16488563503997,182.4166902654884,1508.3046641826782,1221.6488563503995,1824.166902654884
2659,2021-10-25,North East,1169.0,155.0,2657909.0,18971.0,1660.0,4092.635160676967,3321.7442140885537,4936.120177471534,153.97950647207887,124.97584432305824,185.71441601166683,1539.7950647207888,1249.7584432305823,1857.144160116668
2664,2021-10-26,North East,1162.0,162.0,2657909.0,18939.0,1640.0,4237.076683924347,3454.6845609427555,5091.549809393235,159.41391085715682,129.97753350256747,191.5622321679649,1594.1391085715675,1299.7753350256744,1915.622321679649
2669,2021-10-27,North East,1166.0,164.0,2657909.0,18988.0,1625.0,4148.047863071081,3386.214099635098,4978.9291835894155,156.06432963171733,127.40143096077023,187.3250432422409,1560.6432963171728,1274.0143096077022,1873.2504324224094
2674,2021-10-28,North East,1188.0,180.0,2657909.0,19002.0,1636.0,4396.202177653371,3621.2008063611343,5235.904040768235,165.40077849367194,136.24246753222678,196.99335232200332,1654.0077849367194,1362.4246753222678,1969.9335232200326
2679,2021-10-29,North East,1198.0,181.0,2657909.0,18997.0,1643.0,4355.243392309865,3589.194008322191,5185.001824375538,163.8597631562956,135.03825783058,195.07822970521332,1638.5976315629562,1350.3825783058,1950.782297052133
2684,2021-10-30,North East,1185.0,178.0,2657909.0,18944.0,1654.0,4320.213236271693,3554.5747133672407,5149.615682165345,162.54180396212558,133.73575669322165,193.74687704377183,1625.4180396212562,1337.3575669322165,1937.468770437718
2689,2021-10-31,North East,1171.0,182.0,2657909.0,18969.0,1646.0,4380.1692459993765,3614.8527017981496,5210.844118809209,164.79756251998762,136.00362923629626,196.0505088326654,1647.975625199876,1360.0362923629627,1960.5050883266545
2694,2021-11-01,North East,1150.0,183.0,2657909.0,18978.0,1636.0,4402.9825583658785,3634.4957085458345,5236.987356567676,165.6558805574562,136.74266908858937,197.0341105194977,1656.5588055745618,1367.4266908858935,1970.3411051949772
2699,2021-11-02,North East,1127.0,186.0,2657909.0,19026.0,1620.0,4466.067759599227,3693.020365890785,5301.874403780863,168.02937044117115,138.94457507351777,199.4753922644027,1680.2937044117114,1389.4457507351776,1994.7539226440272
2704,2021-11-03,North East,1126.0,179.0,2657909.0,18983.0,1615.0,4271.961839058975,3519.344347289077,5090.412872613143,160.72641460106328,132.41026488450422,191.51945655826228,1607.2641460106327,1324.1026488450418,1915.1945655826228
2709,2021-11-04,North East,1111.0,173.0,2657909.0,18940.0,1603.0,4138.313086906061,3398.2537472576,4943.660843377955,155.69807269195672,127.85440537119969,185.99812271142292,1556.9807269195674,1278.5440537119969,1859.9812271142293
2714,2021-11-05,North East,1107.0,174.0,2657909.0,18979.0,1598.0,4104.284336666322,3372.975463263071,4901.4422022874105,154.41778994940466,126.9033463246135,184.40970711515752,1544.1778994940466,1269.033463246135,1844.097071151575
2719,2021-11-06,North East,1111.0,170.0,2657909.0,18988.0,1608.0,3941.507045928916,3229.596424706804,4714.811858882426,148.2935287073002,121.50891639656601,177.38800910348803,1482.935287073002,1215.08916396566,1773.8800910348805
2724,2021-11-07,North East,1074.0,169.0,2657909.0,18999.0,1584.0,3915.96053776682,3209.105170293039,4687.427052808548,147.33237811252454,120.73796244690992,176.35769519605634,1473.3237811252454,1207.3796244690993,1763.576951960563
2729,2021-11-08,North East,1069.0,162.0,2657909.0,18966.0,1580.0,3725.2100638624343,3037.0501859109345,4473.584900533609,140.1556661218437,114.26464133689056,168.31219204771904,1401.5566612184368,1142.6464133689055,1683.1219204771905
2734,2021-11-09,North East,1072.0,156.0,2657909.0,18931.0,1584.0,3632.581575631765,2951.5727784126243,4377.8650078669425,136.6706525931386,111.04867692658493,164.7108688772619,1366.7065259313865,1110.4867692658493,1647.1086887726194
2739,2021-11-10,North East,1096.0,152.0,2657909.0,18900.0,1610.0,3567.7239634996527,2891.3891918281456,4310.549781179864,134.23047830078656,108.78435611708849,162.1782303750755,1342.3047830078654,1087.8435611708846,1621.7823037507544
2744,2021-11-11,North East,1092.0,146.0,2657909.0,18850.0,1621.0,3483.657207743357,2810.3804499025573,4223.454260373694,131.06758763160656,105.73651881620316,158.90138678087527,1310.6758763160656,1057.3651881620315,1589.0138678087524
2749,2021-11-12,North East,1057.0,147.0,2657909.0,18856.0,1575.0,3520.9706371853167,2843.484246158769,4266.081349427441,132.47145170076615,106.98200149661892,160.5051696437854,1324.7145170076615,1069.8200149661893,1605.0516964378544
2754,2021-11-13,North East,1061.0,142.0,2657909.0,18844.0,1564.0,3382.3422469449256,2719.987047978985,4111.112713025951,127.25575807692913,102.33559719234123,154.67469778032097,1272.557580769291,1023.3559719234123,1546.7469778032096
2759,2021-11-14,North East,1037.0,135.0,2657909.0,18831.0,1539.0,3289.123310523723,2633.9556565457474,4018.3554493355787,123.74852978501984,99.09878993395736,151.18483926032005,1237.4852978501985,990.9878993395738,1511.8483926032002
2764,2021-11-15,North East,1022.0,127.0,2657909.0,18797.0,1541.0,3252.47460692648,2580.167414825877,3997.719710001616,122.36967506887855,97.07508476873652,150.40844927353103,1223.6967506887856,970.7508476873653,1504.0844927353103
2769,2021-11-16,North East,1016.0,118.0,2657909.0,18791.0,1554.0,3118.717431770605,2449.8653747993108,3863.8230679471208,117.33725390036324,92.17265808570988,145.37078086372108,1173.3725390036325,921.7265808570987,1453.707808637211
2774,2021-11-17,North East,1013.0,116.0,2657909.0,18782.0,1551.0,3119.0804197552666,2445.103824481447,3871.449662054133,117.35091080075605,91.99351160936837,145.65772048832872,1173.5091080075604,919.9351160936836,1456.577204883287
2779,2021-11-18,North East,1010.0,112.0,2657909.0,18778.0,1557.0,3085.1104462085045,2407.033551867873,3844.120603654513,116.0728394466667,90.56117240537105,144.62950400689084,1160.728394466667,905.6117240537103,1446.2950400689083
2784,2021-11-19,North East,1010.0,103.0,2657909.0,18746.0,1535.0,2807.561267375411,2165.251295001161,3530.8540888953503,105.63045113190144,81.46446304223211,132.84330234388577,1056.3045113190144,814.6446304223211,1328.4330234388576
2789,2021-11-20,North East,1027.0,101.0,2657909.0,18713.0,1522.0,2704.1088081711373,2078.356558093575,3408.7877644050814,101.73820127668549,78.19517365318283,128.25073260239841,1017.3820127668547,781.9517365318283,1282.507326023984
2794,2021-11-21,North East,1030.0,104.0,2657909.0,18666.0,1532.0,2877.01836941048,2221.331481010694,3614.9906007647082,108.2436746107741,83.57439931204168,136.00881748640407,1082.4367461077409,835.7439931204169,1360.0881748640406
2799,2021-11-22,North East,1009.0,101.0,2657909.0,18661.0,1533.0,2888.9981312346595,2221.504821634307,3641.502962954069,108.6943959042488,83.58092100347706,137.00630694858512,1086.9439590424877,835.8092100347707,1370.0630694858512
2804,2021-11-23,North East,987.0,98.0,2657909.0,18633.0,1521.0,2860.719015123368,2190.1748918549,3617.950676150099,107.63043486904058,82.40217749572689,136.12018606167854,1076.304348690406,824.0217749572688,1361.2018606167853
