,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
3059,2021-10-03,North West,3644.0,384.0,7292093.0,56807.0,4854.0,9815.853855772275,8615.531416880196,11124.302408503368,134.6095538794181,118.14895143109386,152.55294204974302,1346.095538794181,1181.4895143109386,1525.5294204974305
3065,2021-10-04,North West,3651.0,375.0,7292093.0,56741.0,4904.0,9405.421269488399,8245.979680449353,10674.225637083946,128.98109321272233,113.08110964094057,146.38082148820573,1289.8109321272232,1130.8110964094055,1463.8082148820572
3071,2021-10-05,North West,3648.0,364.0,7292093.0,56534.0,4866.0,9036.628776500736,7903.828956459587,10276.277164629808,123.92366329530815,108.38903119391905,140.92356151560062,1239.2366329530819,1083.8903119391903,1409.2356151560064
3077,2021-10-06,North West,3604.0,371.0,7292093.0,56266.0,4822.0,9231.373547481859,8086.800190411242,10483.801858461276,126.59429257802746,110.89820426606244,143.7694480646541,1265.942925780275,1108.9820426606243,1437.6944806465413
3083,2021-10-07,North West,3629.0,386.0,7292093.0,56140.0,4830.0,9307.474839580225,8171.176995454503,10544.733967141705,127.63790642248013,112.05530422410278,144.60503955643057,1276.3790642248016,1120.5530422410277,1446.0503955643055
3089,2021-10-08,North West,3615.0,396.0,7292093.0,56079.0,4827.0,9535.950026346454,8386.556626328056,10785.586896944527,130.77109721922707,115.00890932586924,147.90797233310832,1307.7109721922714,1150.0890932586924,1479.0797233310834
3095,2021-10-09,North West,3585.0,393.0,7292093.0,56040.0,4833.0,9602.646807675706,8441.79410455932,10865.982142799236,131.68574245659929,115.76640759462776,149.01047124329375,1316.8574245659931,1157.6640759462775,1490.1047124329377
3101,2021-10-10,North West,3535.0,393.0,7292093.0,55939.0,4781.0,9518.066099164354,8368.261688611765,10769.361158743455,130.52584627163085,114.75802199192695,147.68546093341723,1305.2584627163085,1147.5802199192697,1476.8546093341727
3107,2021-10-11,North West,3479.0,399.0,7292093.0,55899.0,4733.0,9740.674990854466,8574.206288364063,11009.474197849297,133.57858972526085,117.582239946255,150.97824723092938,1335.7858972526085,1175.8223994625498,1509.7824723092938
3113,2021-10-12,North West,3468.0,397.0,7292093.0,55829.0,4760.0,9654.81766976728,8496.578265870468,10915.561929182022,132.40118673427892,116.51768930909776,149.6903828459404,1324.0118673427894,1165.1768930909775,1496.9038284594044
