,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
3569,2021-10-03,Northern Ireland,195.0,16.0,1881639.0,4382.0,296.0,1595.7158006958787,756.7498028509607,2743.43849359893,84.80456669402994,40.217587053146794,145.80046935671137,848.0456669402997,402.1758705314679,1458.0046935671137
3576,2021-10-04,Northern Ireland,200.0,16.0,1881639.0,4345.0,305.0,1571.4501738044587,745.0089182904248,2697.549025109378,83.51496614411472,39.5936159003095,143.36166635095137,835.1496614411471,395.9361590030951,1433.6166635095135
3583,2021-10-05,Northern Ireland,201.0,17.0,1881639.0,4327.0,295.0,1599.769789404445,778.7340620128232,2709.685905431361,85.02001656026712,41.385943956987674,144.00668276068689,850.2001656026712,413.85943956987677,1440.0668276068686
3590,2021-10-06,Northern Ireland,208.0,17.0,1881639.0,4315.0,301.0,1573.3068376363003,765.1120105920955,2666.826462363032,83.61363883488279,40.66199789609461,141.72891093153538,836.136388348828,406.61997896094607,1417.2891093153535
3597,2021-10-07,Northern Ireland,201.0,19.0,1881639.0,4306.0,299.0,1755.3332156245945,896.5859153733394,2894.5286263146186,93.28745926421564,47.649199202043505,153.83017817523012,932.8745926421564,476.491992020435,1538.3017817523016
3604,2021-10-08,Northern Ireland,196.0,18.0,1881639.0,4311.0,296.0,1678.9298279856355,838.9518266777006,2802.4766841402397,89.22698923574795,44.58622651197709,148.938063259756,892.2698923574794,445.8622651197709,1489.3806325975597
3611,2021-10-09,Northern Ireland,206.0,20.0,1881639.0,4314.0,307.0,1843.1250289520435,960.0091224309407,3001.055663817191,97.9531689634432,51.01983549612549,159.49157430395476,979.531689634432,510.1983549612549,1594.9157430395474
3618,2021-10-10,Northern Ireland,216.0,20.0,1881639.0,4301.0,322.0,1824.0570056244094,949.610990118054,2974.922344857409,96.93979587074936,50.46722512225002,158.10271496591054,969.3979587074936,504.67225122250017,1581.0271496591056
3625,2021-10-11,Northern Ireland,215.0,17.0,1881639.0,4283.0,320.0,1563.0371492417307,760.0268311444347,2649.617156612237,83.06785463320705,40.391745236170955,140.81431967620978,830.6785463320705,403.91745236170954,1408.1431967620981
3632,2021-10-12,Northern Ireland,214.0,18.0,1881639.0,4300.0,310.0,1579.8208201845373,786.8441313634086,2641.197576739884,83.95982545985376,41.81695486559369,140.36685978234317,839.5982545985376,418.16954865593686,1403.6685978234314
3639,2021-10-13,Northern Ireland,206.0,17.0,1881639.0,4298.0,313.0,1564.3766755871663,761.3681774619272,2650.7141600766563,83.13904397108941,40.4630312967539,140.8726200975137,831.3904397108938,404.630312967539,1408.7262009751373
3646,2021-10-14,Northern Ireland,207.0,16.0,1881639.0,4293.0,319.0,1479.96830663098,701.4019649610888,2540.9116033991972,78.65314795404326,37.27611752100635,135.03714598810916,786.5314795404328,372.7611752100634,1350.3714598810914
3653,2021-10-15,Northern Ireland,217.0,17.0,1881639.0,4284.0,334.0,1592.5602765164385,774.6001829494815,2696.1634202972737,84.63686586621762,41.16624830530625,143.2880281657254,846.3686586621764,411.6624830530625,1432.880281657254
3660,2021-10-16,Northern Ireland,216.0,17.0,1881639.0,4268.0,337.0,1621.813156334538,789.2698277756067,2744.522212560175,86.19151475572828,41.94586888216107,145.85806377100894,861.9151475572827,419.45868882161074,1458.5806377100894
3667,2021-10-17,Northern Ireland,223.0,18.0,1881639.0,4261.0,335.0,1634.130215382408,813.5692227315587,2730.833621398352,86.84610679213219,43.23726404116617,145.13058144513118,868.4610679213217,432.3726404116617,1451.305814451312
