,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
4079,2021-10-03,Scotland,2434.0,170.0,5438100.0,42519.0,3237.0,4326.4026608814775,3540.973186437264,5185.532698791083,79.5572472165182,65.11416094660385,95.3555966015903,795.5724721651821,651.1416094660384,953.5559660159033
4087,2021-10-04,Scotland,2442.0,170.0,5438100.0,42428.0,3260.0,4229.819121761625,3461.7978546974964,5069.532269937924,77.78119419947454,63.658223546780974,93.22249075849881,777.8119419947453,636.5822354678097,932.2249075849883
4095,2021-10-05,Scotland,2418.0,165.0,5438100.0,42278.0,3250.0,4119.621129017403,3361.062915564853,4951.154614778308,75.75478805129372,61.80583136692693,91.04567063456557,757.5478805129371,618.0583136692693,910.4567063456553
4103,2021-10-06,Scotland,2376.0,147.0,5438100.0,42126.0,3233.0,3709.7162350066637,2984.5733477698946,4510.7760440328275,68.21713898248771,54.88264922987614,82.94764796588566,682.1713898248771,548.8264922987614,829.4764796588563
4111,2021-10-07,Scotland,2345.0,153.0,5438100.0,42043.0,3194.0,3763.8521487351622,3044.967554553671,4556.732369239652,69.21263214606503,55.99322473940661,83.79272851252556,692.1263214606503,559.9322473940662,837.9272851252556
4119,2021-10-08,Scotland,2334.0,151.0,5438100.0,42010.0,3183.0,3701.495062532127,2989.485804382153,4487.322014876266,68.06596168757703,54.97298329163042,82.51635708935595,680.6596168757702,549.7298329163042,825.1635708935596
4127,2021-10-09,Scotland,2324.0,152.0,5438100.0,41923.0,3171.0,3751.671545875048,3032.965331177871,4544.499032939289,68.98864577472,55.77251854835091,83.5677724377869,689.8864577472,557.7251854835091,835.6777243778688
4135,2021-10-10,Scotland,2327.0,156.0,5438100.0,41841.0,3176.0,3805.584812024393,3085.5411922606468,4597.141069988931,69.98004472195056,56.73932425407123,84.53579503850483,699.8004472195057,567.3932425407123,845.3579503850482
4143,2021-10-11,Scotland,2298.0,163.0,5438100.0,41691.0,3134.0,3992.637221844589,3253.680224304458,4802.670724154188,73.41970949126697,59.8311951656729,88.31523370578306,734.1970949126696,598.311951656729,883.1523370578307
4151,2021-10-12,Scotland,2291.0,166.0,5438100.0,41576.0,3143.0,4044.5762588182747,3302.3632136467327,4858.1122869930605,74.37480478141768,60.726415726940175,89.33473615772164,743.7480478141767,607.2641572694016,893.3473615772161
4159,2021-10-13,Scotland,2254.0,178.0,5438100.0,41466.0,3111.0,4364.524235741206,3589.882711197464,5212.240432767261,80.25825629799391,66.0135472168122,95.84671912556335,802.582562979939,660.1354721681221,958.4671912556337
4167,2021-10-14,Scotland,2261.0,186.0,5438100.0,41385.0,3107.0,4495.519572142022,3713.702971873117,5350.5929505823415,82.66710012949419,68.29045019166836,98.39085251434031,826.6710012949419,682.9045019166837,983.9085251434033
4175,2021-10-15,Scotland,2237.0,197.0,5438100.0,41272.0,3078.0,4847.468823501195,4031.31657535075,5763.161930123542,89.1390158971184,74.13097543904581,105.977490853856,891.390158971184,741.3097543904581,1059.77490853856
4183,2021-10-16,Scotland,2247.0,196.0,5438100.0,41228.0,3107.0,4856.423359569438,4036.5767269898133,5776.301147037398,89.3036788505073,74.22770318658746,106.21910496381818,893.036788505073,742.2770318658746,1062.191049638182
4191,2021-10-17,Scotland,2232.0,189.0,5438100.0,41178.0,3102.0,4653.540657078357,3850.1413252960883,5531.47790437706,85.5729143833022,70.79938444118511,101.71710531945094,855.729143833022,707.9938444118512,1017.1710531945096
4199,2021-10-18,Scotland,2194.0,182.0,5438100.0,41122.0,3052.0,4541.597026738769,3743.779585107356,5414.585284007612,83.51440809729077,68.84352227997566,99.56759316687099,835.1440809729077,688.4352227997565,995.6759316687101
4207,2021-10-19,Scotland,2178.0,188.0,5438100.0,41038.0,3046.0,4782.077597600926,3954.459701393452,5686.654095841285,87.9365513249283,72.71767163887115,104.57060546590328,879.365513249283,727.1767163887115,1045.7060546590328
4215,2021-10-20,Scotland,2175.0,197.0,5438100.0,40952.0,3068.0,5027.344731557385,4181.335808434779,5975.945031406747,92.44671358668259,76.88964543562605,109.8903115317252,924.4671358668255,768.8964543562604,1098.9031153172518
4223,2021-10-21,Scotland,2164.0,204.0,5438100.0,40958.0,3082.0,5292.741265087377,4417.677936656989,6273.301292350168,97.327030857972,81.23568777067337,115.3583290551878,973.2703085797203,812.3568777067337,1153.583290551878
4231,2021-10-22,Scotland,2216.0,206.0,5438100.0,40958.0,3127.0,5232.304226394393,4371.1468958298465,6196.375661107626,96.21566772207926,80.38003890752005,113.9437608927314,962.1566772207927,803.8003890752003,1139.437608927314
4239,2021-10-23,Scotland,2242.0,198.0,5438100.0,40949.0,3160.0,5000.773613346578,4160.853790659034,5941.998403002777,91.95810325934751,76.51300620913615,109.26607460331324,919.5810325934752,765.1300620913615,1092.6607460331322
4247,2021-10-24,Scotland,2265.0,197.0,5438100.0,40919.0,3213.0,4995.377967482979,4154.024469240188,5938.433912769895,91.85888393893049,76.38742335080612,109.20052799267935,918.5888393893048,763.8742335080613,1092.0052799267937
4255,2021-10-25,Scotland,2263.0,199.0,5438100.0,40871.0,3211.0,4988.130862817604,4152.281302750202,5924.683301113958,91.72561855827593,76.35536865357757,108.94767108206831,917.2561855827594,763.5536865357758,1089.4767108206834
4263,2021-10-26,Scotland,2275.0,198.0,5438100.0,40826.0,3231.0,4948.713732438822,4117.279875348255,5880.620835567201,91.00078579722373,75.71173526320322,108.1374162955297,910.0078579722369,757.1173526320323,1081.374162955297
4271,2021-10-27,Scotland,2277.0,192.0,5438100.0,40872.0,3280.0,4770.980824197718,3953.3228818467146,5661.395614869654,87.73249525013733,72.69676691945192,104.10613293006115,877.3249525013733,726.9676691945192,1041.0613293006113
4279,2021-10-28,Scotland,2252.0,186.0,5438100.0,40759.0,3229.0,4512.862698522066,3727.9255701757934,5368.74878847726,82.98601898681645,68.55198635876123,98.72471614124895,829.8601898681646,685.5198635876122,987.2471614124896
4287,2021-10-29,Scotland,2264.0,194.0,5438100.0,40693.0,3243.0,4657.761823927568,3863.600313117088,5523.246543988322,85.65053647280425,71.04687874656751,101.56574068127323,856.5053647280424,710.4687874656752,1015.6574068127323
4295,2021-10-30,Scotland,2266.0,199.0,5438100.0,40632.0,3251.0,4739.282450270195,3945.099731662384,5628.588369401477,87.14960096854038,72.54555325687987,103.50284785865426,871.4960096854039,725.4555325687987,1035.0284785865426
4303,2021-10-31,Scotland,2248.0,188.0,5438100.0,40549.0,3258.0,4466.369805970759,3693.2963205890615,5308.479905209869,82.13107162374286,67.91519686267374,97.61644517772508,821.3107162374286,679.1519686267375,976.164451777251
4311,2021-11-01,Scotland,2262.0,184.0,5438100.0,40464.0,3264.0,4310.565793428111,3557.027290471495,5132.629928047641,79.26602661643057,65.40937626140554,94.38277942751404,792.6602661643058,654.0937626140554,943.8277942751404
4319,2021-11-02,Scotland,2275.0,181.0,5438100.0,40462.0,3280.0,4195.670982649714,3456.080504044054,5002.279701475327,77.15325173589514,63.553088469208994,91.98579837581741,771.5325173589514,635.5308846920899,919.857983758174
4327,2021-11-03,Scotland,2276.0,188.0,5438100.0,40493.0,3272.0,4314.727123169753,3567.8856475983557,5128.4753958209085,79.34254837479548,65.60904815281728,94.30638266712471,793.4254837479547,656.0904815281726,943.0638266712473
4335,2021-11-04,Scotland,2310.0,193.0,5438100.0,40520.0,3307.0,4381.480226207349,3632.1964713873263,5197.298078535535,80.5700561999108,66.79164545314221,95.57194752828258,805.700561999108,667.916454531422,955.7194752828258
4343,2021-11-05,Scotland,2334.0,212.0,5438100.0,40519.0,3333.0,4743.624965467299,3973.302369746648,5605.584262645208,87.22945450556809,73.06416523687774,103.07983050413208,872.294545055681,730.6416523687773,1030.7983050413209
4351,2021-11-06,Scotland,2405.0,219.0,5438100.0,40543.0,3405.0,4761.7025395032815,4000.621332139276,5612.87271341743,87.56187895594566,73.56652750297486,103.2138561890629,875.6187895594568,735.6652750297487,1032.138561890629
4359,2021-11-07,Scotland,2372.0,203.0,5438100.0,40483.0,3418.0,4415.761095392614,3682.520401338785,5236.2918319263645,81.20043940701007,67.71704090286653,96.2889949049551,812.0043940701006,677.1704090286655,962.8899490495512
4367,2021-11-08,Scotland,2407.0,206.0,5438100.0,40521.0,3496.0,4460.122497259836,3724.713665870455,5281.877036419613,82.01619126643195,68.49292337159035,97.12725099611286,820.1619126643194,684.9292337159036,971.2725099611284
4375,2021-11-09,Scotland,2421.0,207.0,5438100.0,40558.0,3532.0,4546.790341439164,3798.8068699928704,5382.004862941372,83.60990679537271,69.85540666763889,98.96847911846731,836.0990679537273,698.5540666763889,989.6847911846733
4383,2021-11-10,Scotland,2452.0,209.0,5438100.0,40563.0,3561.0,4624.820927245587,3867.5130966470533,5470.212103899917,85.0447937192326,71.11883004444665,100.59050226917336,850.4479371923259,711.1883004444664,1005.9050226917335
4391,2021-11-11,Scotland,2460.0,206.0,5438100.0,40489.0,3590.0,4603.8538392181545,3845.1888743669983,5451.344307851411,84.65923464478686,70.70831493291772,100.24354660361912,846.5923464478686,707.0831493291771,1002.4354660361912
4399,2021-11-12,Scotland,2474.0,206.0,5438100.0,40535.0,3613.0,4603.770304412497,3844.985683413593,5451.184210080688,84.6576985419999,70.70457850009366,100.24060260165659,846.5769854199991,707.0457850009366,1002.406026016566
4407,2021-11-13,Scotland,2469.0,200.0,5438100.0,40495.0,3631.0,4526.02366840963,3768.834932965474,5372.230285775101,83.22803310732849,69.30425944659852,98.78873661343302,832.2803310732849,693.0425944659853,987.88736613433
4415,2021-11-14,Scotland,2445.0,202.0,5438100.0,40505.0,3605.0,4651.103220516671,3876.925359946145,5516.030411519139,85.52809290959473,71.29191004111996,101.43304484138099,855.2809290959474,712.9191004111997,1014.33044841381
4423,2021-11-15,Scotland,2480.0,196.0,5438100.0,40417.0,3661.0,4675.895846514821,3885.568642218033,5559.372108575226,85.98399894291792,71.45084941832687,102.23004557796335,859.8399894291792,714.5084941832686,1022.3004557796336
4431,2021-11-16,Scotland,2495.0,203.0,5438100.0,40417.0,3693.0,4936.883661233133,4116.598179648838,5852.451653727738,90.78324527377455,75.69919971403316,107.61941953490627,907.8324527377454,756.9919971403316,1076.1941953490623
4439,2021-11-17,Scotland,2516.0,199.0,5438100.0,40457.0,3738.0,4929.661010385546,4102.35703225533,5853.432046689369,90.65042956888523,75.43732245187344,107.63744776097107,906.5042956888524,754.3732245187344,1076.3744776097108
4447,2021-11-18,Scotland,2506.0,188.0,5438100.0,40435.0,3740.0,4758.422870891941,3935.779108890409,5652.263275789485,87.50156986616541,72.37415841728561,103.93820039700421,875.015698661654,723.7415841728559,1039.382003970042
4455,2021-11-19,Scotland,2553.0,194.0,5438100.0,40408.0,3793.0,4899.291103266834,4064.4351573022054,5805.56023959714,90.0919641651833,74.73998560714597,106.75714384798256,900.919641651833,747.3998560714598,1067.5714384798257
4463,2021-11-20,Scotland,2563.0,200.0,5438100.0,40391.0,3780.0,5046.014013586797,4200.992057987532,5988.531978943414,92.7900188225078,77.25109979565529,110.12177008409948,927.900188225078,772.5109979565531,1101.2177008409951
4471,2021-11-21,Scotland,2521.0,197.0,5438100.0,40315.0,3731.0,5132.381898203908,4266.658935481765,6098.603828811401,94.37821846240246,78.45863326312067,112.1458566192494,943.7821846240247,784.5863326312068,1121.4585661924941
4479,2021-11-22,Scotland,2506.0,188.0,5438100.0,40301.0,3690.0,4929.942272860445,4076.765927890093,5856.82568988487,90.65560164139029,74.9667333791231,107.6998527037912,906.5560164139027,749.6673337912309,1076.998527037912
4487,2021-11-23,Scotland,2522.0,182.0,5438100.0,40355.0,3683.0,4748.7557821832615,3915.195044592607,5656.158314105657,87.32380394224566,71.99564268021197,104.00982538213086,873.2380394224566,719.9564268021197,1040.0982538213084
4495,2021-11-24,Scotland,2503.0,175.0,5438100.0,40349.0,3661.0,4682.8684631796195,3845.726225523148,5597.757737448322,86.1122168253548,70.71819616268822,102.93591028940844,861.122168253548,707.1819616268823,1029.3591028940843
4503,2021-11-25,Scotland,2484.0,168.0,5438100.0,40337.0,3624.0,4559.123224245411,3726.346350949279,5472.174322837995,83.83669340845904,68.52294645095307,100.62658507269072,838.3669340845903,685.2294645095308,1006.2658507269072
4511,2021-11-26,Scotland,2499.0,168.0,5438100.0,40221.0,3609.0,4493.381646100269,3672.7004483756514,5393.641815550941,82.62778628749506,67.53646399249097,99.1824684274092,826.2778628749505,675.3646399249096,991.824684274092
