,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
4589,2021-10-03,South East,9847.0,723.0,9133625.0,154777.0,13240.0,8575.629642112868,7783.082753312265,9407.40656057388,93.89075686940146,85.2135132908595,102.99751260396481,938.9075686940146,852.1351329085949,1029.9751260396479
4598,2021-10-04,South East,9846.0,730.0,9133625.0,154229.0,13283.0,8473.323306212082,7693.556449486824,9291.426412625233,92.7706502753516,84.23332958695833,101.72769752015472,927.7065027535159,842.3332958695835,1017.2769752015472
4607,2021-10-05,South East,9781.0,723.0,9133625.0,153806.0,13283.0,8412.325806827583,7635.052230866711,9228.362887822374,92.10281576950644,83.59279290387673,101.03724302040398,921.0281576950644,835.9279290387675,1010.3724302040398
4616,2021-10-06,South East,9656.0,745.0,9133625.0,152998.0,13127.0,8675.149488269935,7887.69680929787,9504.517914434879,94.9803554259118,86.35888608627864,104.06074164896064,949.8035542591177,863.5888608627865,1040.6074164896063
4625,2021-10-07,South East,9543.0,729.0,9133625.0,152542.0,13036.0,8316.229971752557,7552.6678648514735,9119.79402028102,91.05070518827473,82.69080310228931,99.84857075127368,910.5070518827472,826.9080310228932,998.4857075127368
4634,2021-10-08,South East,9488.0,742.0,9133625.0,152214.0,12959.0,8433.866102495558,7667.428431824659,9242.46378496298,92.33865089157436,83.94726553613334,101.19162747499465,923.3865089157435,839.4726553613333,1011.9162747499464
4643,2021-10-09,South East,9362.0,747.0,9133625.0,152179.0,12820.0,8551.23259705616,7777.692934455951,9369.457454070274,93.62364446817291,85.15450256011114,102.58202470618484,936.2364446817293,851.5450256011114,1025.8202470618485
4652,2021-10-10,South East,9232.0,754.0,9133625.0,152077.0,12748.0,8589.499316671167,7817.2469496542335,9407.796541547834,94.04260977072263,85.58756188976704,103.00178233229231,940.4260977072264,855.8756188976704,1030.017823322923
4661,2021-10-11,South East,9236.0,764.0,9133625.0,151740.0,12711.0,8705.729177435422,7928.856677775611,9529.680208319878,95.31515884914721,86.80952718964937,104.33623241943785,953.151588491472,868.0952718964937,1043.3623241943783
4670,2021-10-12,South East,9139.0,785.0,9133625.0,151265.0,12618.0,8877.169022101516,8093.91295593883,9705.40784054424,97.1921774990928,88.61665500761013,106.26019614933,971.9217749909282,886.1665500761014,1062.6019614933
