,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
5099,2021-10-03,South West,5349.0,393.0,5599735.0,85332.0,7253.0,5228.0643532285085,4593.405760809092,5918.013350205555,93.36271007875388,82.02898460032647,105.68381093400947,933.6271007875388,820.2898460032648,1056.8381093400947
5109,2021-10-04,South West,5379.0,388.0,5599735.0,85130.0,7293.0,5027.9487122831015,4413.603343147865,5695.443117721697,89.78904737961889,78.8180751972703,101.70915441037292,897.890473796189,788.1807519727031,1017.0915441037292
5119,2021-10-05,South West,5398.0,383.0,5599735.0,84906.0,7338.0,4954.7784075249265,4345.366896328346,5617.1034988583215,88.4823729609513,77.5995095540833,100.31016644284632,884.8237296095128,775.995095540833,1003.1016644284633
5129,2021-10-06,South West,5378.0,378.0,5599735.0,84470.0,7319.0,4893.932755013815,4288.091525893626,5552.725362100194,87.39579203326255,76.57668668059516,99.16050245413746,873.9579203326256,765.7668668059517,991.6050245413746
5139,2021-10-07,South West,5339.0,378.0,5599735.0,84244.0,7289.0,4784.991538342731,4192.690010198549,5429.073592878227,85.45032110167233,74.87300756551069,96.95233065275816,854.5032110167232,748.7300756551068,969.5233065275817
5149,2021-10-08,South West,5314.0,369.0,5599735.0,84091.0,7269.0,4662.538559744341,4077.693728640799,5297.954934424444,83.26355728877064,72.81940535830354,94.61081523365738,832.6355728877063,728.1940535830354,946.1081523365738
5159,2021-10-09,South West,5202.0,363.0,5599735.0,84030.0,7180.0,4651.496514750435,4063.834205889923,5290.692891129447,83.0663685826282,72.5719021684048,94.48112975220164,830.6636858262821,725.7190216840481,944.8112975220163
5169,2021-10-10,South West,5180.0,369.0,5599735.0,83847.0,7228.0,4724.5165094965305,4132.735630607256,5367.480013904353,84.37035876691543,73.80234297885983,95.85239326333037,843.7035876691541,738.0234297885982,958.5239326333037
5179,2021-10-11,South West,5157.0,374.0,5599735.0,83710.0,7219.0,4818.399498689637,4219.178604428535,5469.927787167201,86.0469200540675,75.34604056135754,97.68190436095995,860.4692005406749,753.4604056135754,976.8190436095996
5189,2021-10-12,South West,5184.0,400.0,5599735.0,83482.0,7223.0,5071.722487405168,4462.5278766072115,5733.467374817518,90.57075892707724,79.69176892490825,102.38819113435758,905.7075892707724,796.9176892490825,1023.8819113435758
5199,2021-10-13,South West,5125.0,409.0,5599735.0,83304.0,7183.0,5216.134601969606,4596.242076915149,5889.029477845161,93.14966872485226,82.07963549909324,105.16621729144613,931.4966872485227,820.7963549909323,1051.6621729144613
5209,2021-10-14,South West,5152.0,452.0,5599735.0,83145.0,7179.0,5673.7610078705775,5032.745528080419,6370.747482246427,101.32195555451423,89.87470885819452,113.76873159616352,1013.2195555451424,898.7470885819451,1137.6873159616352
5219,2021-10-15,South West,5139.0,497.0,5599735.0,83078.0,7167.0,6329.652481822502,5651.6822423343665,7059.399544299267,113.03485757491205,100.92767322622171,126.06667180320616,1130.3485757491205,1009.2767322622173,1260.6667180320615
5229,2021-10-16,South West,5170.0,545.0,5599735.0,83038.0,7224.0,6970.044961939471,6240.667940448086,7743.15213921597,124.47097875059215,111.44577270974584,138.2771173853043,1244.7097875059214,1114.4577270974582,1382.7711738530431
5239,2021-10-17,South West,5217.0,587.0,5599735.0,82818.0,7257.0,7403.187960897698,6659.883504871606,8189.351636014001,132.20604119476542,118.93211919620492,146.24534261021284,1322.0604119476545,1189.3211919620492,1462.4534261021286
5249,2021-10-18,South West,5181.0,624.0,5599735.0,82762.0,7195.0,7948.782125630943,7178.796986015776,8764.545750127892,141.9492551992361,128.19886987537404,156.51715215323392,1419.4925519923609,1281.9886987537404,1565.1715215323388
5259,2021-10-19,South West,5249.0,680.0,5599735.0,82767.0,7239.0,8703.498153875662,7900.830493124546,9556.429972368216,155.42696491665518,141.09293552506585,170.65861103013296,1554.2696491665522,1410.9293552506585,1706.5861103013297
