,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
6119,2021-10-03,Wales,2080.0,227.0,3138631.0,35765.0,3069.0,4397.246091561444,3710.5128313668256,5163.835301120459,140.1007665941439,118.22074118833422,164.52508437979677,1401.0076659414385,1182.207411883342,1645.2508437979675
6131,2021-10-04,Wales,2028.0,215.0,3138631.0,35729.0,3064.0,4149.356715117989,3483.5036594408116,4892.994709319604,132.20275703381466,110.98799634110578,155.895825578719,1322.027570338147,1109.8799634110578,1558.9582557871902
6143,2021-10-05,Wales,1977.0,221.0,3138631.0,35633.0,3021.0,4295.043790123027,3615.7794576502656,5052.516389278283,136.84449653759958,115.2024388228583,160.9783497734612,1368.444965375996,1152.0243882285831,1609.7834977346122
6155,2021-10-06,Wales,1955.0,224.0,3138631.0,35462.0,2966.0,4319.058194959205,3640.2843242480494,5074.672280360539,137.60962008465492,115.98318898424343,161.6842591677881,1376.096200846549,1159.8318898424345,1616.8425916778808
6167,2021-10-07,Wales,1933.0,227.0,3138631.0,35396.0,2947.0,4283.193103769194,3614.2764353775647,5027.114374893968,136.46692152627034,115.15455099301462,160.16901556423701,1364.6692152627033,1151.5455099301462,1601.6901556423702
6179,2021-10-08,Wales,1928.0,220.0,3138631.0,35334.0,2934.0,4127.8061810281415,3473.5728092601316,4856.559439392525,131.51613493361089,110.67158927762236,154.73496054147571,1315.1613493361094,1106.7158927762237,1547.3496054147574
6191,2021-10-09,Wales,1884.0,207.0,3138631.0,35313.0,2903.0,3952.4071811601725,3307.1116658415626,4673.905433662408,125.92774305613415,105.36796666577123,148.91541674259915,1259.2774305613416,1053.6796666577125,1489.1541674259915
6203,2021-10-10,Wales,1866.0,213.0,3138631.0,35283.0,2886.0,4029.032967969609,3380.7088245923546,4751.33179993251,128.3691191468385,107.71284756291374,151.3823001153213,1283.6911914683853,1077.1284756291373,1513.823001153213
6215,2021-10-11,Wales,1863.0,215.0,3138631.0,35280.0,2887.0,4080.7758804402447,3427.000640924284,4808.8076945382645,130.0177013621622,109.18775226919901,153.21354101639426,1300.177013621622,1091.8775226919902,1532.1354101639427
6227,2021-10-12,Wales,1845.0,225.0,3138631.0,35167.0,2855.0,4218.457709913104,3556.9864988659483,4951.207451025036,134.40438553984535,113.32923490738314,157.75054318347827,1344.0438553984536,1133.2923490738315,1577.5054318347827
