,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
6629,2021-10-03,West Midlands,2969.0,283.0,5900757.0,44737.0,3975.0,7474.114560923337,6412.98046271747,8644.605750454752,126.6636562211143,108.68063983515114,146.49994484529276,1266.636562211143,1086.8063983515112,1464.9994484529275
6642,2021-10-04,West Midlands,3013.0,285.0,5900757.0,44709.0,4019.0,7292.771794081821,6260.9517098835995,8430.235342269903,123.5904443121759,106.10421188135011,142.86701421986882,1235.904443121759,1061.0421188135012,1428.6701421986882
6655,2021-10-05,West Midlands,2966.0,288.0,5900757.0,44604.0,3997.0,7410.874426935024,6367.329912579811,8559.723328929016,125.59192705164816,107.90700095902628,145.06144430162124,1255.9192705164814,1079.070009590263,1450.6144430162124
6668,2021-10-06,West Midlands,2943.0,293.0,5900757.0,44401.0,3988.0,7573.988501864754,6518.6241477295325,8735.013190578324,128.35621771689213,110.47098105767674,148.03207775846934,1283.5621771689216,1104.7098105767673,1480.3207775846936
6681,2021-10-07,West Midlands,2950.0,293.0,5900757.0,44260.0,3985.0,7362.59547359103,6336.291367450741,8491.3642212763,124.77374468379278,107.38099141263979,143.9029639972685,1247.7374468379278,1073.809914126398,1439.029639972685
6694,2021-10-08,West Midlands,2932.0,290.0,5900757.0,44213.0,3994.0,7315.188441072461,6290.07832442612,8442.431705000781,123.97033873912213,106.59781998184505,143.07370571268706,1239.7033873912212,1065.9781998184503,1430.7370571268705
6707,2021-10-09,West Midlands,2867.0,276.0,5900757.0,44115.0,3922.0,7037.8078775560025,6027.570105067611,8153.944639564557,119.26957638750422,102.14909892184359,138.18472171561305,1192.6957638750418,1021.490989218436,1381.8472171561307
6720,2021-10-10,West Midlands,2847.0,285.0,5900757.0,44034.0,3893.0,7176.891967118473,6164.56883828093,8292.624775949345,121.62663141557044,104.47081346140725,140.53493095799985,1216.2663141557045,1044.7081346140724,1405.3493095799984
6733,2021-10-11,West Midlands,2795.0,287.0,5900757.0,43958.0,3855.0,7312.53770911547,6287.866063553353,8444.158274244119,123.92541684254186,106.5603288451525,143.10296584394368,1239.254168425419,1065.6032884515246,1431.0296584394373
6746,2021-10-12,West Midlands,2766.0,290.0,5900757.0,43869.0,3818.0,7307.038572254158,6289.597943566106,8431.66260058156,123.83222309026041,106.58967897790241,142.89120193530354,1238.3222309026041,1065.8967897790242,1428.9120193530355
6759,2021-10-13,West Midlands,2762.0,303.0,5900757.0,43857.0,3796.0,7586.6088551648145,6548.694758609688,8728.042775463917,128.57009456862593,110.98058704348759,147.91395028576704,1285.7009456862593,1109.8058704348757,1479.13950285767
6772,2021-10-14,West Midlands,2707.0,304.0,5900757.0,43736.0,3728.0,7558.070668504915,6526.54536947041,8691.531627256443,128.08645854260593,110.60522182951121,147.29519665453844,1280.864585426059,1106.052218295112,1472.9519665453845
6785,2021-10-15,West Midlands,2641.0,293.0,5900757.0,43642.0,3653.0,7431.303791836584,6398.5655883665195,8567.54902411713,125.93814305243522,108.43635127436228,145.19406618705244,1259.3814305243525,1084.3635127436226,1451.9406618705245
6798,2021-10-16,West Midlands,2607.0,296.0,5900757.0,43552.0,3622.0,7563.2571244466735,6518.475288543608,8712.301669411765,128.17435329817295,110.46845834430412,147.64718610530417,1281.7435329817301,1104.6845834430412,1476.471861053042
6811,2021-10-17,West Midlands,2608.0,298.0,5900757.0,43550.0,3617.0,7510.2848719465455,6476.284977114977,8647.040093077916,127.27663369202536,109.75346005800571,146.5411995965588,1272.7663369202535,1097.5346005800573,1465.4119959655884
6824,2021-10-18,West Midlands,2565.0,299.0,5900757.0,43496.0,3588.0,7694.085125987345,6637.8693715429845,8855.382043659776,130.39149258285582,112.49182726119687,150.07196608265306,1303.9149258285581,1124.9182726119686,1500.7196608265303
6837,2021-10-19,West Midlands,2574.0,303.0,5900757.0,43535.0,3584.0,7846.381343987133,6776.156029187665,9022.124276586605,132.97245326298187,114.83536822796913,152.89774306223092,1329.7245326298187,1148.3536822796914,1528.977430622309
6850,2021-10-20,West Midlands,2619.0,312.0,5900757.0,43579.0,3620.0,7948.398499574692,6879.510749310236,9121.373668552624,134.7013357705578,116.58691841250601,154.57972034016353,1347.0133577055776,1165.86918412506,1545.7972034016354
6863,2021-10-21,West Midlands,2592.0,318.0,5900757.0,43559.0,3613.0,8231.865720695383,7136.475836476895,9433.027833532502,139.50524857565534,120.9417001323202,159.861316667209,1395.0524857565533,1209.4170013232022,1598.61316667209
6876,2021-10-22,West Midlands,2647.0,344.0,5900757.0,43588.0,3665.0,8733.270683350953,7612.149901516175,9948.356909849312,148.00254752654538,129.002938123298,168.59458726819818,1480.0254752654535,1290.02938123298,1685.9458726819814
6889,2021-10-23,West Midlands,2665.0,352.0,5900757.0,43566.0,3681.0,8876.212865319267,7746.62336189879,10098.375394799172,150.42498556234847,131.28185691935442,171.1369472560753,1504.2498556234846,1312.818569193544,1711.3694725607531
6902,2021-10-24,West Midlands,2674.0,355.0,5900757.0,43585.0,3728.0,9002.81978517952,7862.00632254316,10236.691007284377,152.57059026798626,133.2372494333043,173.48097891989752,1525.7059026798627,1332.3724943330424,1734.8097891989753
6915,2021-10-25,West Midlands,2705.0,348.0,5900757.0,43552.0,3748.0,8664.859859489243,7559.709192161136,9862.568816013176,146.84319078872838,128.11422656722075,167.14073831566316,1468.4319078872836,1281.1422656722075,1671.4073831566316
