,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
7139,2021-10-03,Yorkshire and The Humber,3024.0,281.0,5479615.0,45813.0,4109.0,6830.226210251313,5858.839366091214,7904.51396047828,124.6479216195173,106.920638878666,144.25309005246314,1246.4792161951732,1069.20638878666,1442.5309005246318
7153,2021-10-04,Yorkshire and The Humber,3054.0,282.0,5479615.0,45685.0,4187.0,6740.387526051864,5784.104988600112,7799.092857171171,123.00841438772369,105.5567770472946,142.3292121284282,1230.0841438772368,1055.567770472946,1423.2921212842816
7167,2021-10-05,Yorkshire and The Humber,3084.0,276.0,5479615.0,45561.0,4229.0,6570.63046483284,5628.978284188697,7614.552315306102,119.91044014648548,102.7257988779996,138.96144738829466,1199.1044014648544,1027.2579887799961,1389.6144738829464
7181,2021-10-06,Yorkshire and The Humber,3032.0,284.0,5479615.0,45309.0,4168.0,6777.771484827386,5819.251030257664,7838.202245209201,123.69065134735537,106.19817323402582,143.04293723572184,1236.9065134735538,1061.981732340258,1430.4293723572187
7195,2021-10-07,Yorkshire and The Humber,3011.0,293.0,5479615.0,45205.0,4125.0,6789.024803933041,5841.8481958226685,7832.508881687535,123.89601831393337,106.61055924225822,142.9390364412013,1238.9601831393338,1066.1055924225825,1429.3903644120135
7209,2021-10-08,Yorkshire and The Humber,3000.0,283.0,5479615.0,45138.0,4107.0,6525.9694437900625,5601.033079522799,7548.479249014427,119.09540074968882,102.21581405852051,137.75564978587778,1190.9540074968884,1022.1581405852053,1377.5564978587781
7223,2021-10-09,Yorkshire and The Humber,2925.0,271.0,5479615.0,45110.0,4039.0,6334.884634735449,5418.806517666341,7349.943852883822,115.60820668487568,98.89027819776285,134.13248655031094,1156.0820668487568,988.9027819776284,1341.3248655031095
7237,2021-10-10,Yorkshire and The Humber,2898.0,281.0,5479615.0,45105.0,4006.0,6485.3357397850705,5562.661839958827,7503.741614055635,118.3538577032341,101.51555976029024,136.93921222669175,1183.538577032341,1015.1555976029024,1369.3921222669176
7251,2021-10-11,Yorkshire and The Humber,2862.0,279.0,5479615.0,45071.0,3970.0,6475.554813247752,5551.124197956764,7494.989853512085,118.1753611019707,101.30500405515284,136.7794973462932,1181.7536110197068,1013.0500405515284,1367.794973462932
7265,2021-10-12,Yorkshire and The Humber,2843.0,284.0,5479615.0,44878.0,3943.0,6527.009167671488,5604.999501796811,7543.151069877878,119.11437514627373,102.2881991124707,137.65841340820256,1191.1437514627373,1022.881991124707,1376.5841340820255
